order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,0,99813c665d3be53e497e54f47e4546ca5c25403b44a9ce608de4fa3c5f465f25,3,committee3,1789831969041917000,1789831969241077000,1789831969304801000,1789831969238250000,1789831969247954000,1789831969248107000,1789831969774863000,1789831970148061000,1789831970158954000,1789831970221109000,0.063,55.239,199.16,5.699,145.099,0.194,48.168,6.977,105.145,38.558,66.551,-56.883,-57.164,-56.847,2.414,0.037,2.16,129.464,0.211,295.912,4.277,0.003,0.047,0.495,42.154,52.032,206.037,732.946,533.786,526.756,254.377,4.518,0.225,0.01,9.311,104.748,0.123,384.091,62.155,373.321,1106.267,1179.192
2,63,65e8a78ed8c56e1f75312fac3fbb2f9a7d19e6bb8d7bed88f5212273e87bd3e2,3,committee3,1789831969041945000,1789831969219800000,1789831969237785000,1789831969199325000,1789831969212962000,1789831969213135000,1789831969774863000,1789831970148061000,1789831970158954000,1789831970197973000,0.091,34.887,177.855,1.792,134.338,0.305,41.42,0.156,59.658,21.094,38.46,-24.928,-25.163,-24.823,2.395,0.056,2.175,164.421,0.211,295.912,1.925,0.006,0.065,2.826,42.154,52.032,171.017,732.918,555.063,561.728,254.377,4.518,0.225,0.01,9.311,104.748,-0.125,384.091,39.019,373.073,1105.991,1156.028
3,27,1660bc49e6d382776b4765dfc547c11d65e232ba0ae6e3e9e41e2b9d7c587b19,3,committee3,1789831969041952000,1789831969119950000,1789831969112809000,1789831969096443000,1789831969097231000,1789831969097584000,1789831969774863000,1789831970148061000,1789831970158954000,1789831970156018000,0.098,1.137,77.998,1.481,52.661,0.308,23.548,0.145,16.587,0.204,16.366,-15.595,-16.325,-15.578,1.574,0.23,1.174,280.973,0.211,295.912,0.008,0.007,0.104,4.703,42.154,52.032,55.279,732.911,654.913,677.279,254.377,4.518,0.225,0.01,9.311,104.748,0.032,384.091,-2.936,373.23,1106.141,1114.066
4,1,d52a5e76a08ea622e9def99da1bb3b920879bb24b7a8b2d078f56492273c6521,3,committee3,1789831969041953000,1789831969241060000,1789831969304801000,1789831969238211000,1789831969242435000,1789831969242587000,1789831969774863000,1789831970148061000,1789831970158954000,1789831970165878000,0.099,43.071,199.107,3.206,154.205,0.211,41.485,0.129,105.346,38.718,66.59,-62.404,-62.685,-62.366,2.432,0.036,2.243,134.901,0.211,295.912,3.66,0.004,0.054,1.104,42.154,52.032,200.482,732.91,533.803,532.276,254.377,4.518,0.225,0.01,9.311,104.748,0.039,384.091,6.924,373.237,1106.147,1123.925
5,14,7e3a5b77c04d552cd2f1b7038c3eeb7955d51a8c152104b2c0292298b4204052,3,committee3,1789831969041954000,1789831969140800000,1789831969177801000,1789831969112823000,1789831969097250000,1789831969097584000,1789831969774863000,1789831970148061000,1789831970158954000,1789831970179265000,0.1,1.138,98.846,0.786,53.372,0.205,44.483,0.134,81.746,16.577,64.978,-80.743,-81.32,-80.551,2.256,0.213,1.884,280.263,0.211,295.912,0.13,0.004,0.074,4.614,42.154,52.032,55.296,732.909,634.063,677.279,254.377,4.518,0.225,0.01,9.311,104.748,17.76,384.091,20.311,390.958,1123.867,1137.311
6,2,e1b8c6654f6080114e6d6eda6f23ff16183b0f8d21b2df1309cded3dda1fa86f,3,committee3,1789831969041957000,1789831969241024000,1789831969304801000,1789831969238130000,1789831969203058000,1789831969203213000,1789831969774863000,1789831970148061000,1789831970158954000,1789831970165365000,0.103,10.883,199.067,2.497,147.721,0.576,48.273,0.144,112.504,45.811,66.671,-101.765,-102.072,-101.743,2.463,0.039,2.269,174.249,0.211,295.912,0.712,0.003,0.047,4.061,42.154,52.032,161.101,732.906,533.839,571.65,254.377,4.518,0.225,0.01,9.311,104.748,0.124,384.091,6.411,373.322,1106.228,1123.408
7,45,81e64f6bc909112f486c8a72d04416263dbbd8619cac6bd220eae395ffdba003,3,committee3,1789831969041969000,1789831969240941000,1789831969237785000,1789831969199717000,1789831969199730000,1789831969200686000,1789831969774863000,1789831970148061000,1789831970158954000,1789831970221225000,0.115,7.662,198.972,9.304,140.795,0.563,48.31,0.14,45.628,7.509,38.068,-38.114,-45.085,-38.055,2.225,0.438,1.146,177.899,0.211,295.912,0.417,0.003,0.046,4.356,42.154,52.032,157.761,732.894,533.922,574.177,254.377,4.518,0.225,0.01,9.311,104.748,0.265,384.091,62.271,373.463,1106.357,1179.256
8,9,17ab415f86e6ffde0e7e48d45fa650f4510bc1f85246578d9a06377edcf618b6,3,committee3,1789831969042016000,1789831969240899000,1789831969304801000,1789831969238344000,1789831969230592000,1789831969230776000,1789831969774863000,1789831970148061000,1789831970158954000,1789831970156146000,0.162,29.718,198.883,5.774,153.084,5.039,34.986,0.582,103.391,36.888,66.457,-74.256,-74.879,-74.209,7.313,0.043,1.29,147.665,0.211,295.912,2.987,0.004,0.051,1.78,42.154,52.032,188.576,732.847,533.964,544.087,254.377,4.518,0.225,0.01,9.311,104.748,0.109,384.091,-2.808,373.307,1106.154,1114.13
9,28,fae8e64f618af21d577b90af50533fcf83fb0f7ad8eb1eb82edab95469c85f9a,3,committee3,1789831969042021000,1789831969241041000,1789831969304801000,1789831969238239000,1789831969230390000,1789831969230618000,1789831969774863000,1789831970148061000,1789831970158954000,1789831970179236000,0.167,30.972,199.02,1.101,156.296,0.142,41.481,0.148,105.265,38.673,66.562,-74.443,-81.992,-74.411,1.062,0.049,0.79,148.323,0.211,295.912,2.928,0.004,0.051,1.84,42.154,52.032,188.369,732.842,533.822,544.245,254.377,4.518,0.225,0.01,9.311,104.748,0.086,384.091,20.282,373.284,1106.126,1137.215
10,22,cb64d5921bc9cc9bb40ebf9e0423ff09323d0a6ba525c5f62985fe0280aa0cfd,3,committee3,1789831969042022000,1789831969241037000,1789831969237785000,1789831969199425000,1789831969219091000,1789831969219241000,1789831969774863000,1789831970148061000,1789831970158954000,1789831970197966000,0.168,40.694,199.015,7.98,128.395,0.224,62.416,0.179,59.35,20.849,38.36,-18.836,-19.012,-18.694,2.493,0.035,2.171,158.319,0.211,295.912,2.53,0.004,0.06,2.228,42.154,52.032,177.069,732.841,533.826,555.622,254.377,4.518,0.225,0.01,9.311,104.748,-7.016,384.091,39.012,366.182,1099.023,1155.944
