member,fact,attempt,validation_ms,store_ms
org0-member0,012a77aff4936fecc855165f1a938ce5b6329709dfbab789ab3545568249fe2a,1,0.54,35.657
org0-member0,024884a4e85f79c4e75ce74097601ad5a39165330da047fe976692bc12a008ac,1,0.569,25.689
org0-member0,02dec80782c6ff16c0ffe1d503cd34e44639719ab3309185ebadf62bfafb0c8f,1,0.623,36.474
org0-member0,065bacb855d29078258730d477552827cc114387bce10dcaf2f0d6fb1c770bf0,1,6.257,27.004
org0-member0,07f5137438f8c27e791ad567fb19ab96eacc770e4cc871c8a4da0c10c3415b57,1,0.793,36.965
org0-member0,07f5137438f8c27e791ad567fb19ab96eacc770e4cc871c8a4da0c10c3415b57,2,0.633,1.826
org0-member0,081ed5599489b6ad2d48f9de554315f52562b1f1b2dfc36bbfba7438c0809571,1,0.624,37.81
org0-member0,0867ae36735374cfbec81882e7c8a166a86233ec8c3849dd767a1ba201c3e1fe,1,0.683,19.61
org0-member0,0905a5fded568d95a9085cf4391b444020e027848b4e4f61371f9d620e761246,1,0.629,26.665
org0-member0,0b2747cd215cb5487bd094de451f102ee140bccf7423b9be2633f49824c9deb6,1,0.824,23.322
org0-member0,1a9f7941d54c291c52d367debd29e8e70e04a554f553651179c6e14fd5119b88,1,0.557,50.8
org0-member0,1cbaca117641b2e2f20737a98782ee6a9c4cc6e5ccfc4665c152b56bfc44a1e6,1,0.668,18.8
org0-member0,1dd4efd60ee192c8dc03ffb3c0b2cd8cd388d0ec82a9555604ba37408c9433b0,1,0.659,21.682
org0-member0,2328de1b9768b9f2f84670f4eb9a1a38cb4e0efbb0f217559c196e0d1bde3df8,1,0.634,44.131
org0-member0,2464533c1e5f7642633ce31ec953599c5562acf201b1de1b8fa017be622931e2,1,0.625,20.365
org0-member0,3018012f43cc7a5b82be70f09f6e8c8aa8953cdfc67e7b0ccd5b7fd5cfc7c9a5,1,0.635,36.715
