order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,2,62e822dd8721d5d4e5b1dd3ea6e507d7e30de598dadfbd462056d74d6d5acb58,3,committee1,1789832352263040000,1789832352431979000,1789832352534925000,1789832352401061000,1789832352430339000,1789832352430509000,1789832353189908000,1789832353518992000,1789832353563939000,1789832353588533000,0.056,58.612,168.939,2.286,106.401,3.545,56.707,0.129,163.11,29.205,133.864,-104.628,-104.919,-104.586,2.315,0.056,2.112,259.476,0.211,345.658,4.449,0.004,0.049,0.206,15.448,131.785,167.299,926.868,757.929,759.399,254.539,19.538,0.221,0.015,9.222,45.547,-11.818,374.031,24.594,317.266,1244.134,1325.493
2,3,2e1abf0c3e811e19754126ef19d2ccb87457218e16a3648e1576a8f38c9da0bc,3,committee1,1789832352263058000,1789832352431954000,1789832352534925000,1789832352400975000,1789832352396465000,1789832352396623000,1789832353189908000,1789832353518992000,1789832353563939000,1789832353588199000,0.074,27.018,168.896,2.05,104.339,0.29,62.217,0.704,164.841,30.824,133.95,-138.527,-138.804,-138.46,2.387,0.042,2.192,293.282,0.211,345.658,0.867,0.003,0.051,3.787,15.448,131.785,133.407,926.85,757.954,793.285,254.539,19.538,0.221,0.015,9.222,45.547,0.417,374.031,24.26,329.501,1256.351,1325.141
3,0,012a77aff4936fecc855165f1a938ce5b6329709dfbab789ab3545568249fe2a,3,committee1,1789832352263059000,1789832352384947000,1789832352534925000,1789832352400905000,1789832352419642000,1789832352419805000,1789832353189908000,1789832353518992000,1789832353563939000,1789832353588251000,0.075,61.248,121.888,2.271,93.064,0.179,26.374,10.291,166.27,32.22,134.02,-115.313,-115.605,-115.283,2.378,0.048,2.176,270.116,0.211,345.658,3.501,0.004,0.051,1.152,15.448,131.785,156.583,926.849,804.961,770.103,254.539,19.538,0.221,0.015,9.222,45.547,0.433,374.031,24.312,329.517,1256.366,1325.192
4,1,a22ae6f3fc6484bbe3b727e4bc3bb0b1cf44240eff7df1527b6aeed7dff83409,3,committee1,1789832352263060000,1789832352431977000,1789832352534925000,1789832352400921000,1789832352401272000,1789832352401624000,1789832353189908000,1789832353518992000,1789832353563939000,1789832353587509000,0.076,32.53,168.917,1.949,103.733,0.534,62.701,0.146,166.067,32.033,134.004,-133.685,-134.062,-133.653,2.234,0.062,1.851,288.622,0.211,345.658,1.29,0.004,0.058,3.356,15.448,131.785,138.212,926.848,757.931,788.284,254.539,19.538,0.221,0.015,9.222,45.547,-11.862,374.031,23.57,317.222,1244.07,1324.449
5,12,065bacb855d29078258730d477552827cc114387bce10dcaf2f0d6fb1c770bf0,3,committee1,1789832352263132000,1789832352496930000,1789832352534925000,1789832352401273000,1789832352413941000,1789832352414094000,1789832353189908000,1789832353518992000,1789832353563939000,1789832353587498000,0.148,43.247,233.798,1.945,105.617,14.929,111.307,8.447,155.851,22.132,133.652,-121.052,-121.314,-120.984,2.457,0.036,2.271,275.732,0.211,345.658,2.489,0.003,0.051,2.166,15.448,131.785,150.809,926.776,692.978,775.814,254.539,19.538,0.221,0.015,9.222,45.547,3.232,374.031,23.559,332.316,1259.092,1324.366
6,23,a5f3b9767e23be54da7067e51a34052686dd2fba499cd65b9a83131cc9dcf469,3,committee1,1789832352263150000,1789832352496958000,1789832352534925000,1789832352401008000,1789832352413282000,1789832352413432000,1789832353189908000,1789832353518992000,1789832353563939000,1789832353588747000,0.166,41.843,233.808,3.439,104.85,13.704,111.815,0.131,163.426,29.438,133.917,-121.715,-121.96,-121.643,2.447,0.035,2.251,276.414,0.211,345.658,2.428,0.004,0.051,2.225,15.448,131.785,150.132,926.758,692.95,776.476,254.539,19.538,0.221,0.015,9.222,45.547,3.177,374.031,24.808,332.261,1259.019,1325.597
7,63,d52bdf761b7543f70c10545cb8c860dbb2669f7d75158859238c70cafaac30f3,3,committee1,1789832352263153000,1789832352496949000,1789832352534925000,1789832352400997000,1789832352395074000,1789832352395226000,1789832353189908000,1789832353518992000,1789832353563939000,1789832353587391000,0.169,24.784,233.796,1.673,105.464,14.801,111.858,0.158,164.546,30.549,133.928,-139.921,-140.183,-139.851,2.423,0.036,2.235,294.636,0.211,345.658,0.738,0.003,0.055,3.912,15.448,131.785,131.921,926.755,692.959,794.682,254.539,19.538,0.221,0.015,9.222,45.547,3.244,374.031,23.452,332.328,1259.083,1324.238
8,4,82a75e58e3c6659cbfab67d6b8c55cdd98f3c5c892250aaa4c5d6a4517b482ba,3,committee1,1789832352263183000,1789832352432036000,1789832352534925000,1789832352401057000,1789832352399190000,1789832352399349000,1789832353189908000,1789832353518992000,1789832353563939000,1789832353587374000,0.199,27.478,168.853,1.482,107.047,3.412,56.912,0.119,163.142,29.226,133.868,-135.784,-136.056,-135.735,2.374,0.039,2.145,290.603,0.211,345.658,1.103,0.004,0.059,3.542,15.448,131.785,136.007,926.725,757.872,790.559,254.539,19.538,0.221,0.015,9.222,45.547,0.056,374.031,23.435,329.14,1255.865,1324.191
9,24,5292673d42fde21b44f2fa6415ea12df70b2cd1d2de155ce16ea10370c896668,3,committee1,1789832352263184000,1789832352496943000,1789832352534925000,1789832352401231000,1789832352393067000,1789832352393266000,1789832353189908000,1789832353518992000,1789832353563939000,1789832353564327000,0.2,25.033,233.759,1.582,103.268,7.378,121.531,3.384,163.555,29.813,133.694,-141.907,-155.563,-141.858,1.672,0.06,1.435,297.396,0.211,345.658,0.491,0.004,0.053,4.16,15.448,131.785,129.883,926.724,692.965,796.642,254.539,19.538,0.221,0.015,9.222,45.547,3.172,374.031,0.388,332.256,1258.98,1301.143
10,53,97859d4c6e32564c97555d0abc89f72da9a6de8855860558798088940a718d54,3,committee1,1789832352263186000,1789832352432024000,1789832352534925000,1789832352401011000,1789832352425645000,1789832352425797000,1789832353189908000,1789832353518992000,1789832353563939000,1789832353587504000,0.202,56.007,168.838,1.642,104.81,5.475,56.911,0.6,164.763,30.773,133.914,-109.356,-109.599,-109.28,1.686,0.037,1.463,264.837,0.211,345.658,3.968,0.004,0.05,0.686,15.448,131.785,162.459,926.722,757.884,764.111,254.539,19.538,0.221,0.015,9.222,45.547,13.682,374.031,23.565,342.766,1269.488,1324.318
11,58,2d4b876896d57d9272ed523058223d371c86f677adb7deb869da6f90a96d14ab,3,committee1,1789832352263191000,1789832352496943000,1789832352534925000,1789832352401323000,1789832352422348000,1789832352422509000,1789832353189908000,1789832353518992000,1789832353563939000,1789832353587297000,0.207,50.389,233.752,1.448,107.32,13.32,111.664,0.124,162.902,29.24,133.602,-112.637,-112.901,-112.577,2.969,0.045,2.128,267.46,0.211,345.658,3.735,0.006,0.05,0.918,15.448,131.785,159.157,926.717,692.965,767.399,254.539,19.538,0.221,0.015,9.222,45.547,3.235,374.031,23.358,332.319,1259.036,1324.106
