fact,member_url,validation_ms,storage_queue_ms,storage_callback_ms,storage_return_ms,vote_sign_ms
f48d8f492979ef08735f9a48ef72d1915649ab5868c711c7f25fc832c9e35914,http://127.0.0.1:28003,1.231333,29.268833,0.233208,44.971209,0.013125
f48d8f492979ef08735f9a48ef72d1915649ab5868c711c7f25fc832c9e35914,http://127.0.0.1:28001,19.223209,14.628875,0.0425,84.758125,0.039292
f48d8f492979ef08735f9a48ef72d1915649ab5868c711c7f25fc832c9e35914,http://127.0.0.1:28000,0.529541,18.126416,0.03875,31.962084,0.01325
1bde9ad18c9a799e122f20c6f796494db45d21083c9f092e2b36e6f23e09aa04,http://127.0.0.1:28000,17.854834,28.226042,0.252708,35.767375,0.013667
1bde9ad18c9a799e122f20c6f796494db45d21083c9f092e2b36e6f23e09aa04,http://127.0.0.1:28002,11.78575,12.302417,0.043875,75.805625,0.013458
1bde9ad18c9a799e122f20c6f796494db45d21083c9f092e2b36e6f23e09aa04,http://127.0.0.1:28003,15.553167,16.494542,0.111541,43.580209,0.013291
0c8104171e75365b3ee721394bfacf65d7c9d83f9f4346e5ec516fe1b3294a9f,http://127.0.0.1:28000,1.606791,27.508875,0.04625,35.574375,0.0135
0c8104171e75365b3ee721394bfacf65d7c9d83f9f4346e5ec516fe1b3294a9f,http://127.0.0.1:28001,1.137958,15.425792,0.04675,83.685333,0.013209
0c8104171e75365b3ee721394bfacf65d7c9d83f9f4346e5ec516fe1b3294a9f,http://127.0.0.1:28003,14.929458,3.438459,0.050583,42.69375,0.016333
686fe7c7bee09b6bd55d8021982154735f65cce353d6b694c118598df837d7b1,http://127.0.0.1:28003,15.413916,16.575708,0.052375,44.311834,0.0135
686fe7c7bee09b6bd55d8021982154735f65cce353d6b694c118598df837d7b1,http://127.0.0.1:28002,0.466208,17.2,0.179875,30.870541,1.881792
686fe7c7bee09b6bd55d8021982154735f65cce353d6b694c118598df837d7b1,http://127.0.0.1:28000,19.405917,27.469458,0.049334,35.60275,0.013375
59ec920cb3322c1188ad6cf1dfd594a2ee604905b612483d849b3561377f2075,http://127.0.0.1:28003,10.358708,29.545917,0.255958,45.396542,0.013792
59ec920cb3322c1188ad6cf1dfd594a2ee604905b612483d849b3561377f2075,http://127.0.0.1:28002,13.228584,22.202292,0.05775,77.448833,0.01575
59ec920cb3322c1188ad6cf1dfd594a2ee604905b612483d849b3561377f2075,http://127.0.0.1:28000,0.63925,17.443875,0.077834,32.862916,0.0135
a3e44b37ad6020d5ab0fb1651f101c58379b5e7a26c1521d349b65d9e36dc019,http://127.0.0.1:28003,0.461584,0.008125,0.174875,14.363666,1.846792
a3e44b37ad6020d5ab0fb1651f101c58379b5e7a26c1521d349b65d9e36dc019,http://127.0.0.1:28002,0.445209,0.008333,0.150375,18.317917,31.844458
a3e44b37ad6020d5ab0fb1651f101c58379b5e7a26c1521d349b65d9e36dc019,http://127.0.0.1:28000,0.4455,25.412,0.069292,28.490875,0.216333
