member,fact,attempt,validation_ms,store_ms
org0-member0,071d851ccdd9f08852e0f230cb33338a90eb47c9f176c0d13117833718f8dc8d,1,0.669,37.642
org0-member0,076d54b2ef996fadc8e75d55e959cfac90399abd8496ea51cca5c0c57d350445,1,0.674,38.253
org0-member0,0abad9129bcc714d2e806c0490da038e398fa8889781f1f8ef25fd4840cc0fc9,1,1.339,17.709
org0-member0,0abad9129bcc714d2e806c0490da038e398fa8889781f1f8ef25fd4840cc0fc9,2,0.634,0.035
org0-member0,0c8104171e75365b3ee721394bfacf65d7c9d83f9f4346e5ec516fe1b3294a9f,1,0.627,19.695
org0-member0,11fc0e0a056358c658dccce469e79815e84dc44092d953162308ce66c60de857,1,0.635,23.715
org0-member0,12fc077b2cd9e73c7c80ca54a12d5caaaa5cbcf012758d7b6b4c863046d6cae4,1,0.609,19.638
org0-member0,15867127af1ab20f187a1027843fd1ef31275a14abd47bb3a5ac854ee1c54f1e,1,0.879,27.428
org0-member0,1af8213b534bd32a5f670eefd3c3c794c0dcc98a7adcd1c94e7aa76a9e5f2de0,1,0.621,45.807
org0-member0,1bde9ad18c9a799e122f20c6f796494db45d21083c9f092e2b36e6f23e09aa04,1,0.569,27.819
org0-member0,1d33d097ed87d75a2bfe2ec206a470d2b1d4a3b93b7001f119200c92d018c19d,1,0.624,55.679
org0-member0,1f4565da99e3c5be3484df9acde9ba37f2e8818c2021fc3324d2e9174706ffd3,1,0.646,18.666
org0-member0,1fdc0e01088c34a8973aa70a92685fb6febf25eb9df71d1c80965ed5a06fc36b,1,0.624,28.767
org0-member0,268488f8aa64b40eb82ae21ee9f63485ecab25071de37d8262bde40671ed95f3,1,0.63,19.766
org0-member0,297a29a6468a20d22955da447573d74e183db0d828173372c317b0d0856c168f,1,0.623,20.775
org0-member0,30135ba5521b666a4daeb961515c6801f2a883a1717762a7ec16280eb54f80fb,1,0.631,17.831
org0-member0,314554a51b12ea2144c4b3fab73e5b18e4c7c8fe4d7fd2e3d4b6a3206a57df75,1,0.625,23.463
org0-member0,344112cda981c15b00d7bcda83b64872a3283d3cde424b7c476778716543cae1,1,0.622,37.595
org0-member0,356a55516a9b5bb84597ccae8937cf3237cedcc18827abb1c34629e9ca19beee,1,0.628,33.699
org0-member0,377ece224b4b28bfaa98d9831e6aad28d32906bafcb6b792a10d53eab7870993,1,0.62,56.554
org0-member0,3905f795975873b87ea22f6ac8269028eb83eed186e00baf6ee60c404204fbf2,1,0.617,16.655
org0-member0,3c6fc8b5e6c1d4cc681c45ea82064ac1d8230b2643cffec2ca550a81fd807694,1,0.639,16.503
org0-member0,402118b4480d3144575346fbe23ab6ee153b0e9c6fbdb5aa4fc23544b23aafbc,1,0.621,34.663
org0-member0,40c7f8ca4d3ba2ef6235be8aeaa6532f851279d6a71b82fbf1944786f7a5bf9a,1,0.624,21.786
org0-member0,4139653f4864844f0f26a5a4643942369884bef1dc7b7334451f3fdd5d503ee9,1,0.999,23.381
org0-member0,46c2e0e85ab53e706ecdce408790cb45fe5db68fad758916d9c60fccec0867b9,1,0.62,46.721
org0-member0,477ff0d285c726021b80cac377147851048f83fc450a22f0ea0e42154b71d7a0,1,0.565,56.743
org0-member0,477ff0d285c726021b80cac377147851048f83fc450a22f0ea0e42154b71d7a0,2,0.64,0.039
org0-member0,4cb158ac981134f97b0ef5e2961bc4b128b9296d857945a3a344b110774d51f6,1,0.627,19.77
org0-member0,51f00b2a1fc969ede2bf3dc70f97b8469630f1bb3bffb09cbede6221daa7bf6b,1,0.646,19.544
org0-member0,5224cc0ea7acbe9164314adb874a42b8e4e9891d3d35d24f5deaf7a7523bf299,1,0.644,26.829
org0-member0,53eb11c673c1e4e528320d0ace05c173fc4ce4fb11e7be69f0c8a6127caa2874,1,0.638,30.352
org0-member0,53f05d9fa7dc02b8bcbf6941ab1a7a68e57b52ea94d27bddec97e4b5dc17c5fb,1,0.632,26.64
org0-member0,56f926703b88dc66051b9b63d3b65a1790998bb18483ebefe1a0d15bacafd465,1,0.633,16.875
org0-member0,572c6117d6889bb179cbbb244488df20b98c473761b056bc469732b7ac747c25,1,0.617,26.609
org0-member0,5855018c42583758f2460e6dee1d6b7ff638018cc6d32353cdae346923a944b2,1,0.622,24.724
org0-member0,58f07a00c1d9f5e3f165d84ef5b5cdd661061343c04888cf0b32426eea9cf7a0,1,0.575,26.655
org0-member0,59ec920cb3322c1188ad6cf1dfd594a2ee604905b612483d849b3561377f2075,1,0.601,36.692
org0-member0,5b913f1a29ca0cf69ec580f3ca1c1fc351cbebd58daf6c88bb17d48c35ffcfb8,1,0.624,28.597
org0-member0,5ed7279448fbf4420ec11295bece3e91fd53998fa9a74b3b7fa655756966a7b6,1,0.651,19.737
org0-member0,61148cc2661b3e271356387adc8b271c52fa7e3bf758c3dd3fc8bf58a24a84d0,1,0.791,24.985
org0-member0,6156e47148a75d49224aff364376f6626250178ab61f8d17d9bf61846fbb1c24,1,0.624,19.706
org0-member0,6283e779ccb2f9e524240899e0e302268c0bc42a343c6fde87bd75f6862404a3,1,0.627,26.745
org0-member0,70b7e27450247d16228adb5758bf76c3476c17229059e10f49cfa3ae32dddab2,1,0.619,30.741
org0-member0,72fe976f2b14fc0874027ff197e9cfa8bfde4eb2a7b3d95f9c0b51c9ca850fb2,1,0.624,14.779
org0-member0,81c26001d555b995d68690f02c804ac44a56e641f2b842aa89518b6cab3bb27b,1,0.849,26.013
org0-member0,81c26001d555b995d68690f02c804ac44a56e641f2b842aa89518b6cab3bb27b,2,1.52,0.041
org0-member0,8e3682d351ed932d00550dae46cbc53d5b207ba8577d883b10d07a6f3b0b5b9d,1,0.568,52.791
org0-member0,8f05b88daeb8beb6463439743a60aef1e74000228dabd1f2622d870c28ff8a27,1,0.628,39.815
org0-member0,9490ce121044fb584ed90ccd07c3754071a933c837458b2bacb519df3de743d3,1,0.759,26.983
org0-member0,95c902e1b21f7cb07c06363a95734c19e451014f3a9012fbc7022d74169807ef,1,0.62,47.304
org0-member0,97d38a6ce3ea49df5787eecfa4940f494fa4ad9ac636eeec80dfde844b89f7e5,1,0.567,28.709
org0-member0,9a8c307e130706f43c676ad9030294fba50758bd1237391a4e658e31e6e85624,1,0.625,31.518
org0-member0,9f91d970d0671745cd82cf91e0ac46bdab4f12d79dd470b0f2f3d77554e41868,1,0.621,38.771
org0-member0,a112eca5e28919e8cf163386c606b97715679d76bb3d454badeb90fbbef7198b,1,0.615,26.718
