elapsed_ms,sent,fast,durable,submitted,received,commit,wallet_durable,members_durable,saved_not_submitted,received_not_committed
0,0,0,0,0,0,0,0,0,0,0
250,64,64,15,64,64,0,0,0,0,64
500,64,64,64,64,64,1,0,0,0,63
750,64,64,64,64,64,1,0,0,0,63
1000,65,64,64,65,65,1,1,1,0,64
1250,65,65,65,65,65,64,1,1,0,1
1500,65,65,65,65,65,65,1,1,0,0
1750,100,100,100,100,100,65,64,64,0,35
2000,100,100,100,100,100,65,65,65,0,35
2250,100,100,100,100,100,65,65,65,0,35
2500,100,100,100,100,100,100,65,65,0,0
2750,100,100,100,100,100,100,100,100,0,0
