order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,5,f48d8f492979ef08735f9a48ef72d1915649ab5868c711c7f25fc832c9e35914,3,committee0,1789831860809036000,1789831861019920000,1789831861111852000,1789831861024789000,1789831860977109000,1789831860977272000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862415148000,0.072,4.803,210.884,4.13,159.14,0.605,47.009,0.681,138.879,51.802,87.063,-134.757,-135.081,-134.743,2.349,0.061,2.153,286.572,53.822,368.121,41.09,0.542,0.579,38.285,19.47,122.081,168.073,1100.952,890.068,932.716,299.392,3.107,0.228,0.01,9.813,110.291,12.284,453.818,51.342,435.133,1536.085,1606.112
2,7,1bde9ad18c9a799e122f20c6f796494db45d21083c9f092e2b36e6f23e09aa04,3,committee0,1789831860809041000,1789831861019984000,1789831861111852000,1789831861024413000,1789831861024158000,1789831861024329000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862358644000,0.077,59.53,210.943,5.857,149.73,0.368,54.988,0.135,147.323,59.65,87.439,-87.93,-101.322,-87.694,2.436,0.05,2.226,239.442,53.822,368.121,51.818,0.629,0.669,27.38,19.47,122.081,215.117,1100.947,890.004,885.659,299.392,3.107,0.228,0.01,9.813,110.291,12.487,453.818,-5.162,435.336,1536.283,1549.603
3,4,0c8104171e75365b3ee721394bfacf65d7c9d83f9f4346e5ec516fe1b3294a9f,3,committee0,1789831860809044000,1789831861019998000,1789831861111852000,1789831861024778000,1789831861026228000,1789831861026408000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862428778000,0.08,54.261,210.954,4.107,158.816,0.106,47.925,0.917,139.393,51.894,87.074,-86.05,-86.19,-85.624,2.476,0.046,2.262,237.327,53.822,368.121,55.728,0.634,0.663,23.471,19.47,122.081,217.184,1100.944,889.99,883.58,299.392,3.107,0.228,0.01,9.813,110.291,12.303,453.818,64.972,435.152,1536.096,1619.734
4,8,686fe7c7bee09b6bd55d8021982154735f65cce353d6b694c118598df837d7b1,3,committee0,1789831860809050000,1789831860954929000,1789831861023864000,1789831860954947000,1789831860923335000,1789831860923493000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862397533000,0.086,3.886,145.879,0.94,109.459,0.18,35.3,0.204,104.44,35.294,68.917,-100.759,-100.869,-100.529,2.337,0.041,2.146,340.358,53.822,368.121,11.02,0.637,0.614,68.225,19.47,122.081,114.285,1100.938,955.059,986.495,299.392,3.107,0.228,0.01,9.813,110.291,-2.564,453.818,33.727,420.285,1521.223,1588.483
5,0,59ec920cb3322c1188ad6cf1dfd594a2ee604905b612483d849b3561377f2075,3,committee0,1789831860809052000,1789831861019979000,1789831861111852000,1789831861024403000,1789831860974347000,1789831860974503000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862358683000,0.088,11.275,210.927,3.747,150.273,2.077,54.83,1.71,147.096,59.621,87.449,-137.531,-137.832,-137.505,2.419,0.036,2.233,289.261,53.822,368.121,36.526,0.541,0.58,42.849,19.47,122.081,165.295,1100.936,890.009,935.485,299.392,3.107,0.228,0.01,9.813,110.291,12.524,453.818,-5.123,435.373,1536.309,1549.631
6,3,a3e44b37ad6020d5ab0fb1651f101c58379b5e7a26c1521d349b65d9e36dc019,2,committee1,1789831860809066000,1789831860886897000,1789831860886928000,1789831860868906000,1789831860869381000,1789831860869594000,1789831861209927000,1789831861683885000,1789831861727922000,1789831861738794000,0.102,0.819,77.831,0.537,58.959,0.42,17.915,0.146,18.462,0.198,18.022,-17.79,-17.949,-17.547,1.206,0.092,0.875,11.808,0.669,262.018,0.008,0.662,0.715,0.017,43.493,20.067,60.315,400.861,323.03,340.333,455.5,0.801,0.238,0.007,0.187,17.213,3.713,517.995,10.872,477.671,878.532,929.728
7,6,5b913f1a29ca0cf69ec580f3ca1c1fc351cbebd58daf6c88bb17d48c35ffcfb8,3,committee0,1789831860809070000,1789831861020005000,1789831861111852000,1789831861024734000,1789831861029103000,1789831861029256000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862358711000,0.106,57.205,210.935,3.833,158.995,0.107,48.0,0.158,139.957,52.678,87.118,-82.911,-83.073,-82.749,2.402,0.038,2.214,234.527,53.822,368.121,61.033,0.566,0.587,18.31,19.47,122.081,220.033,1100.918,889.983,880.732,299.392,3.107,0.228,0.01,9.813,110.291,12.553,453.818,-5.095,435.402,1536.32,1549.641
8,1,749366df868cd7df214605efe956ccee7333cc74e4d05f93cb057941320b47bc,3,committee0,1789831860809071000,1789831860954892000,1789831861023864000,1789831860954956000,1789831860919446000,1789831860919659000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862371997000,0.107,0.927,145.821,2.265,107.183,0.383,35.99,0.13,105.448,36.307,68.908,-104.653,-105.188,-104.418,1.443,0.092,1.185,345.153,53.822,368.121,2.469,0.567,0.728,76.732,19.47,122.081,110.375,1100.917,955.096,990.329,299.392,3.107,0.228,0.01,9.813,110.291,-2.474,453.818,8.191,420.375,1521.292,1562.926
9,2,8f05b88daeb8beb6463439743a60aef1e74000228dabd1f2622d870c28ff8a27,3,committee0,1789831860809078000,1789831860899947000,1789831860917941000,1789831860886995000,1789831860871373000,1789831860871545000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862364699000,0.114,0.635,90.869,0.894,60.766,0.319,28.89,0.127,47.197,16.13,30.946,-46.69,-46.888,-46.568,0.994,0.052,0.772,393.68,53.822,368.121,0.008,0.62,0.651,79.218,19.47,122.081,62.295,1100.91,1010.041,1038.443,299.392,3.107,0.228,0.01,9.813,110.291,-7.355,453.818,0.893,415.494,1516.404,1555.621
10,9,46c2e0e85ab53e706ecdce408790cb45fe5db68fad758916d9c60fccec0867b9,3,committee0,1789831860809097000,1789831860921891000,1789831860954885000,1789831860917955000,1789831860887830000,1789831860888047000,1789831861909988000,1789831862332837000,1789831862363806000,1789831862428673000,0.133,0.793,112.794,0.804,77.136,0.165,34.689,0.175,67.692,30.743,36.93,-67.076,-67.592,-67.055,1.019,0.072,0.748,377.202,53.822,368.121,1.284,0.573,0.606,78.033,19.47,122.081,78.733,1100.891,988.097,1021.941,299.392,3.107,0.228,0.01,9.813,110.291,14.119,453.818,64.867,436.968,1537.859,1619.576
