fact,member_url,validation_ms,storage_queue_ms,storage_callback_ms,storage_return_ms,vote_sign_ms
7a6655efc8f6b67ffae0795bc29e433ac1bbab5b0db49703f37fbb8f0253e203,http://127.0.0.1:28003,9.956459,15.394542,0.043292,25.911583,0.013208
7a6655efc8f6b67ffae0795bc29e433ac1bbab5b0db49703f37fbb8f0253e203,http://127.0.0.1:28002,0.476292,23.343083,0.056334,31.001833,0.015792
7a6655efc8f6b67ffae0795bc29e433ac1bbab5b0db49703f37fbb8f0253e203,http://127.0.0.1:28000,0.483334,12.01725,0.04825,33.163,0.019292
fd292b5abe9a8f03a4afd44474e89246e384763989add3ac890b669b59c813b6,http://127.0.0.1:28003,2.194917,27.470875,0.056041,18.523542,0.054917
fd292b5abe9a8f03a4afd44474e89246e384763989add3ac890b669b59c813b6,http://127.0.0.1:28001,0.466125,0.008083,1.061375,19.846542,6.185083
fd292b5abe9a8f03a4afd44474e89246e384763989add3ac890b669b59c813b6,http://127.0.0.1:28002,0.876084,19.738083,0.054792,24.782833,1.856417
7133ced03deff61cd39e09aaf8fed7e1fc67f8232d22e7b835024be6544e71eb,http://127.0.0.1:28003,35.763208,29.020541,0.053459,15.681541,0.01425
7133ced03deff61cd39e09aaf8fed7e1fc67f8232d22e7b835024be6544e71eb,http://127.0.0.1:28001,5.917167,18.679167,0.05375,55.014042,0.013541
7133ced03deff61cd39e09aaf8fed7e1fc67f8232d22e7b835024be6544e71eb,http://127.0.0.1:28000,2.922,21.223,0.051292,35.600625,0.015583
6f65e40ffade0bfe2cc475d8a405ef769f679e41c0428a8ceb39051860dd6400,http://127.0.0.1:28000,0.735041,12.360792,0.049541,33.519584,0.013375
6f65e40ffade0bfe2cc475d8a405ef769f679e41c0428a8ceb39051860dd6400,http://127.0.0.1:28001,2.154958,18.754709,0.043458,54.879708,0.041042
6f65e40ffade0bfe2cc475d8a405ef769f679e41c0428a8ceb39051860dd6400,http://127.0.0.1:28003,2.271167,21.612666,0.047292,27.769125,0.013208
fd1d560aab8c394dcb466cff23cb9fecd65c1b9cc9259491e0e0c25d22513a1a,http://127.0.0.1:28000,23.060125,36.03925,0.356375,35.303292,0.282875
fd1d560aab8c394dcb466cff23cb9fecd65c1b9cc9259491e0e0c25d22513a1a,http://127.0.0.1:28003,12.649541,28.88175,0.171042,16.684916,0.013375
fd1d560aab8c394dcb466cff23cb9fecd65c1b9cc9259491e0e0c25d22513a1a,http://127.0.0.1:28001,6.891375,18.438959,0.042458,54.324917,0.013458
fd1d560aab8c394dcb466cff23cb9fecd65c1b9cc9259491e0e0c25d22513a1a,http://127.0.0.1:28002,2.588333,23.420917,0.054167,31.35875,0.01675
578b8821a5d58ec13cd3ed0a7744d8ac5cdcc366999b1ce3f7e16cabff936a28,http://127.0.0.1:28000,23.253375,36.870916,0.049959,34.048333,0.013708
578b8821a5d58ec13cd3ed0a7744d8ac5cdcc366999b1ce3f7e16cabff936a28,http://127.0.0.1:28001,1.926708,19.389375,0.051916,56.231584,0.018041
578b8821a5d58ec13cd3ed0a7744d8ac5cdcc366999b1ce3f7e16cabff936a28,http://127.0.0.1:28003,2.469292,21.136083,0.0475,27.46775,0.013292
18d84d8df16bee7ebc341ec93820a1ab0b2f8b35b72db186c69e841546214b9a,http://127.0.0.1:28003,15.979625,20.494834,0.05125,27.08175,0.019666
18d84d8df16bee7ebc341ec93820a1ab0b2f8b35b72db186c69e841546214b9a,http://127.0.0.1:28002,1.700292,17.859167,2.071375,24.967625,1.762375
18d84d8df16bee7ebc341ec93820a1ab0b2f8b35b72db186c69e841546214b9a,http://127.0.0.1:28000,13.240584,22.516542,0.078708,35.882708,0.013542
36e52dd70e041ee6b75c83eba0eede622f010ba2f2f1dbfd2277ee234f839b84,http://127.0.0.1:28000,12.786292,11.743167,0.064,34.168625,0.013916
36e52dd70e041ee6b75c83eba0eede622f010ba2f2f1dbfd2277ee234f839b84,http://127.0.0.1:28001,17.909708,19.491292,0.044792,55.271583,0.024542
36e52dd70e041ee6b75c83eba0eede622f010ba2f2f1dbfd2277ee234f839b84,http://127.0.0.1:28003,23.220125,28.934583,0.054292,15.644166,0.04
ab8702d845ddf2435be7a4100fe6b95ba46084ae785588635a4f7b5239213ca4,http://127.0.0.1:28000,10.435625,11.892708,0.043,34.606167,0.013708
ab8702d845ddf2435be7a4100fe6b95ba46084ae785588635a4f7b5239213ca4,http://127.0.0.1:28001,0.807042,19.4685,0.044208,55.216292,0.013875
ab8702d845ddf2435be7a4100fe6b95ba46084ae785588635a4f7b5239213ca4,http://127.0.0.1:28003,0.716333,21.001875,0.051167,27.592333,0.013875
4dd8914f3a32a30f8d64f4618c82cff94980cb3e528e4c49be09b134e001ffbc,http://127.0.0.1:28003,3.701167,20.187041,0.108209,26.817,0.02275
