member,fact,attempt,validation_ms,store_ms
org0-member0,00e5a8f49ce213bd202e32e2a2dcac76578674fd54d7bab599883f250f798ebb,1,0.625,45.799
org0-member0,00e5a8f49ce213bd202e32e2a2dcac76578674fd54d7bab599883f250f798ebb,2,0.661,154.42
org0-member0,05da0fb48b8cb5755872b076ff90c2773ee74541f7e8dde3c4627df72a14d51b,1,0.673,26.424
org0-member0,06e0167968fb2976a4b14b8de852b8cb86325d2fc9427312dbd57a52bac242e8,1,0.655,42.866
org0-member0,0878df76af746ac70a3c5c9638642e9c876f1753d547cff9835af70ad6fd35bf,1,0.632,29.642
org0-member0,0ec8f8aed157adf32332f3e8e596284d72a78447c119cbedf9c310d2774e1a66,1,0.626,24.697
org0-member0,103714d39c0cd0001cd3de57b1b92542e483e8e930288f8ce06e8fbe052f403f,1,0.637,27.363
org0-member0,110aaed2b488ff02276c4be98134bbaa3145bccb759de3f4b325955286e24382,1,0.627,35.846
org0-member0,11430634704e191881972fa60061396a3c543ea2deba951f95b00dbb97b31fa9,1,0.63,39.672
org0-member0,12d9392df12d6532f4e368e0a3162658aa03a4bff3799abd7fe00d7c3bd700a5,1,0.591,29.645
org0-member0,132e13216b90196bbae2464bb858b9d5a1819d4ac9cfe4e113f2619aea5cd7b6,1,0.677,33.877
org0-member0,15349fd0f23b32840a3910fd893eaf28077c8284de41bc4fcc288da4ebd5a67e,1,0.671,76.577
org0-member0,204ef406c7a1a3cc92de36726c7f49e21cf33007e2dc5e678382b4b8b26ee86e,1,5.207,26.837
org0-member0,2201c310062f3ea6f104ef46393b265cc6b9121a5175e19f147c8f6624add7e6,1,0.627,23.801
org0-member0,31b08c21fd3619972d23f2f49960f2d3e279bf63598809178034c735b5f87dec,1,0.625,21.857
org0-member0,32e6cacb22111be48a69435bb039c3ce6d78053cd6620b9437f74c660b156b7e,1,0.66,40.951
org0-member0,3711235b0067c9796bcb58252fe428e5c6d9b52f3f956a621e58d21b27e5a391,1,0.629,45.756
org0-member0,3886e9d4661fc0d381518e0cd9217cbfa82b3e539c41abb2e3f61c71db92f515,1,0.736,38.238
org0-member0,3d5fb2bdd13cffe89a5222f7c94fc9512aa85f0dcf5b57e012a543337d144404,1,0.622,26.673
org0-member0,3e1b14cab82b9c324dc7c2c9cb385132674e80143e04ccc0ae6f0dc310aec2e7,1,0.634,19.775
org0-member0,4343c76667f1419bd7c2b07378d58d7f0c3a3d53c50d6d2fb26f79569736fb78,1,0.628,22.819
org0-member0,4dd8914f3a32a30f8d64f4618c82cff94980cb3e528e4c49be09b134e001ffbc,1,0.632,30.839
