order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,63,7a6655efc8f6b67ffae0795bc29e433ac1bbab5b0db49703f37fbb8f0253e203,3,committee1,1789831905009115000,1789831905168981000,1789831905208946000,1789831905131255000,1789831905096541000,1789831905096675000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906287262000,0.107,1.314,159.866,2.177,83.935,5.795,67.959,0.13,113.625,35.898,77.691,-112.441,-112.726,-112.405,2.524,0.034,2.334,276.111,0.214,311.655,0.562,0.004,0.048,3.884,40.462,101.098,87.426,823.932,664.066,736.372,259.254,4.123,0.234,0.008,9.154,92.398,-0.021,407.3,46.915,365.159,1189.091,1278.147
2,0,fd292b5abe9a8f03a4afd44474e89246e384763989add3ac890b669b59c813b6,2,committee2,1789831905009119000,1789831905078886000,1789831905081116000,1789831905066080000,1789831905066249000,1789831905075096000,1789831905380927000,1789831905709964000,1789831905741957000,1789831905746504000,0.111,0.541,69.767,1.936,54.653,0.086,13.092,0.155,15.262,0.217,15.036,-14.878,-15.235,-14.867,9.978,0.078,1.071,11.049,0.016,233.749,0.009,0.02,0.122,0.019,45.759,14.016,57.13,371.808,302.041,305.831,304.236,0.57,0.1,0.006,0.176,23.943,-4.05,361.03,4.547,324.987,696.795,737.385
3,39,7133ced03deff61cd39e09aaf8fed7e1fc67f8232d22e7b835024be6544e71eb,3,committee1,1789831905009122000,1789831905189957000,1789831905253944000,1789831905209068000,1789831905141975000,1789831905142123000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906270348000,0.114,13.372,180.835,3.751,115.73,0.142,61.212,0.369,124.992,80.096,44.876,-111.99,-112.311,-111.969,7.07,0.033,2.143,230.854,0.214,311.655,2.024,0.003,0.044,2.426,40.462,101.098,132.853,823.925,643.09,690.924,259.254,4.123,0.234,0.008,9.154,92.398,-0.092,407.3,30.001,365.088,1189.013,1261.226
4,28,6f65e40ffade0bfe2cc475d8a405ef769f679e41c0428a8ceb39051860dd6400,3,committee1,1789831905009194000,1789831905190017000,1789831905253944000,1789831905209540000,1789831905149892000,1789831905150156000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906270452000,0.186,21.354,180.823,6.815,112.529,0.215,61.264,0.619,124.838,80.383,44.404,-104.104,-104.833,-104.052,2.787,0.099,2.482,222.482,0.214,311.655,2.336,0.004,0.046,2.111,40.462,101.098,140.698,823.853,643.03,682.891,259.254,4.123,0.234,0.008,9.154,92.398,-0.083,407.3,30.105,365.097,1188.95,1261.258
5,1,fd1d560aab8c394dcb466cff23cb9fecd65c1b9cc9259491e0e0c25d22513a1a,3,committee1,1789831905009226000,1789831905212000000,1789831905253944000,1789831905209331000,1789831905172317000,1789831905172517000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906237999000,0.218,42.783,202.774,1.768,118.54,40.244,42.222,0.2,124.232,79.597,44.613,-81.652,-82.042,-81.627,2.255,0.079,2.016,200.587,0.214,311.655,3.855,0.004,0.108,0.53,40.462,101.098,163.091,823.821,621.047,660.53,259.254,4.123,0.234,0.008,9.154,92.398,-11.179,407.3,-2.348,354.001,1177.822,1228.773
6,49,578b8821a5d58ec13cd3ed0a7744d8ac5cdcc366999b1ce3f7e16cabff936a28,3,committee1,1789831905009239000,1789831905211956000,1789831905253944000,1789831905208989000,1789831905138623000,1789831905138774000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906246332000,0.231,10.185,202.717,4.789,114.41,0.471,83.047,0.124,125.404,80.427,44.955,-115.344,-115.647,-115.321,2.333,0.036,2.148,234.198,0.214,311.655,1.764,0.003,0.046,2.684,40.462,101.098,129.384,823.808,621.091,694.273,259.254,4.123,0.234,0.008,9.154,92.398,-11.222,407.3,5.985,353.958,1177.766,1237.093
7,40,18d84d8df16bee7ebc341ec93820a1ab0b2f8b35b72db186c69e841546214b9a,3,committee1,1789831905009249000,1789831905108929000,1789831905208946000,1789831905131138000,1789831905093436000,1789831905093807000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906234871000,0.241,0.767,99.68,2.593,80.827,0.127,16.133,0.127,116.194,38.342,77.808,-115.556,-116.063,-115.51,1.274,0.13,0.836,280.477,0.214,311.655,0.007,0.007,0.094,4.389,40.462,101.098,84.187,823.798,724.118,739.24,259.254,4.123,0.234,0.008,9.154,92.398,10.834,407.3,-5.476,376.014,1199.812,1225.622
8,58,36e52dd70e041ee6b75c83eba0eede622f010ba2f2f1dbfd2277ee234f839b84,3,committee1,1789831905009253000,1789831905211997000,1789831905253944000,1789831905209410000,1789831905165789000,1789831905165950000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906270320000,0.245,35.959,202.744,3.577,117.0,39.934,42.233,0.131,124.026,79.449,44.534,-88.199,-88.492,-88.155,2.535,0.047,2.335,206.835,0.214,311.655,2.798,0.003,0.046,1.65,40.462,101.098,156.536,823.794,621.05,667.097,259.254,4.123,0.234,0.008,9.154,92.398,-11.166,407.3,29.973,354.014,1177.808,1261.067
9,17,ab8702d845ddf2435be7a4100fe6b95ba46084ae785588635a4f7b5239213ca4,3,committee1,1789831905009266000,1789831905190031000,1789831905253944000,1789831905209043000,1789831905152551000,1789831905152707000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906287244000,0.258,31.745,180.765,13.095,98.445,0.225,69.0,7.725,125.446,80.512,44.901,-101.427,-101.718,-101.393,2.167,0.053,1.973,220.44,0.214,311.655,2.493,0.002,0.055,1.947,40.462,101.098,143.285,823.781,643.016,680.34,259.254,4.123,0.234,0.008,9.154,92.398,0.315,407.3,46.897,365.495,1189.276,1277.978
10,50,4dd8914f3a32a30f8d64f4618c82cff94980cb3e528e4c49be09b134e001ffbc,3,committee1,1789831905009295000,1789831905212002000,1789831905253944000,1789831905209368000,1789831905167990000,1789831905168155000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906246192000,0.287,38.855,202.707,9.486,110.354,40.642,42.225,1.693,123.165,78.54,44.576,-86.003,-86.269,-85.954,2.534,0.051,2.336,204.629,0.214,311.655,2.966,0.003,0.052,1.477,40.462,101.098,158.695,823.752,621.045,664.892,259.254,4.123,0.234,0.008,9.154,92.398,-11.186,407.3,5.845,353.994,1177.746,1236.897
11,52,05da0fb48b8cb5755872b076ff90c2773ee74541f7e8dde3c4627df72a14d51b,3,committee1,1789831905009316000,1789831905168965000,1789831905127931000,1789831905092864000,1789831905093849000,1789831905094261000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906270322000,0.308,1.308,159.649,1.709,81.516,0.413,76.011,0.132,37.627,0.191,35.067,-36.452,-35.053,-34.082,2.367,0.181,1.916,278.943,0.214,311.655,0.266,0.007,0.073,4.151,40.462,101.098,84.533,823.731,664.082,738.786,259.254,4.123,0.234,0.008,9.154,92.398,0.779,407.3,29.975,365.959,1189.69,1261.006
12,4,ea5095c05fab31bb1ec4f53e404b866379a16cf34c99584abebaeb712d0f262b,3,committee1,1789831905009322000,1789831905190030000,1789831905253944000,1789831905209355000,1789831905136604000,1789831905136768000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906288230000,0.314,15.746,180.708,9.772,101.764,0.146,69.026,9.932,123.191,78.565,44.589,-117.378,-117.669,-117.34,2.351,0.043,2.154,236.198,0.214,311.655,1.604,0.003,0.052,2.838,40.462,101.098,127.282,823.725,643.017,696.279,259.254,4.123,0.234,0.008,9.154,92.398,0.31,407.3,47.883,365.49,1189.215,1278.908
13,18,97f95994e338177b69f6d1a9d7c4bf6aae0179de6cccbdf5fd12fff08af594dd,3,committee1,1789831905009323000,1789831905189989000,1789831905253944000,1789831905209620000,1789831905154387000,1789831905154544000,1789831905833047000,1789831906198227000,1789831906240347000,1789831906270347000,0.315,23.149,180.666,5.191,116.724,18.045,40.706,0.173,122.587,78.209,44.324,-99.612,-99.885,-99.557,12.584,0.041,12.345,208.231,0.214,311.655,2.682,0.003,0.055,1.758,40.462,101.098,145.064,823.724,643.058,678.503,259.254,4.123,0.234,0.008,9.154,92.398,0.371,407.3,30.0,365.551,1189.275,1261.024
