label,target_tps,count,successful,execution_failed,send_span_s,complete_observed_s,completed_batch_tps,drain_observed_s,max_block_transactions,accepted,http_failed,accepted_uncommitted,actual_send_tps,dispatch_p95_ms,http_p95_ms,arm,entrypoints,route,storage,trace,state_equal,rss_start_gib,rss_peak_gib,rss_end_gib,backlog_sample_max,commit_window_min,commit_window_max
base4-1500,1500.0,90000,90000,0,59.999086,60.723788,1482.120977037862,0.724702,1413,90000,0,0,1500.0061834275275,10.125334,98.535,current,4,round-robin,synchronous-bbolt,False,True,3.68804931640625,6.0615234375,6.0615234375,1247,1436.6,1505.5
base4-2000,2000.0,120000,120000,0,60.102985,60.606042,1980.0006078601866,0.503057,2232,120000,0,0,1996.5564106341806,79.582,137.913,current,4,round-robin,synchronous-bbolt,False,True,3.4285125732421875,6.4805908203125,6.4805908203125,1828,1859.6,2100.0
cache1500,1500.0,90000,78166,0,59.999185,63.477416,1231.3985811898833,3.478231,7053,78168,11832,2,1500.0037083837055,320.826334,60.488,cache32,1,round-robin,synchronous-bbolt,False,True,3.4950103759765625,7.8136749267578125,7.8136749267578125,8780,974.4,1379.7
cache2000,2000.0,120000,82415,0,59.999247,66.266131,1243.6971761637933,6.266884,7000,82674,37326,259,2000.008433439173,320.864,36.832,cache32,1,round-robin,synchronous-bbolt,False,True,3.5163726806640625,8.207412719726562,8.207412719726562,10002,717.9,1855.3
cc-smoke,100.0,100,100,0,0.98998,1.255571,79.64503799466537,0.265591,55,100,0,0,100.00202024283318,1.034,0.911,current,1,round-robin,synchronous-bbolt,False,True,3.8252105712890625,3.8252105712890625,3.8252105712890625,,,
cc1000,1000.0,60000,60000,0,59.998782,60.662468,989.0794420035796,0.663686,701,60000,0,0,1000.0036334070915,0.058,60.205,current,1,round-robin,synchronous-bbolt,False,True,3.4475860595703125,5.8516998291015625,5.8516998291015625,743,964.5,1026.0
cc1200,1200.0,72000,72000,0,59.998931,60.470884,1190.6556550421853,0.471953,988,72000,0,0,1200.0047134173108,0.069334,80.498,current,1,round-robin,synchronous-bbolt,False,True,3.3049774169921875,5.396270751953125,5.396270751953125,1130,1127.9,1227.3
cc2000,2000.0,120000,27109,0,68.482103,90.715798,298.8343882506551,22.233695,7075,27491,92509,382,1752.268034175294,8584.87,21.593,current,1,round-robin,synchronous-bbolt,False,True,3.33782958984375,5.091705322265625,4.514678955078125,10255,0.0,710.8
clone2500,2500.0,150000,150000,0,60.112544,61.108307,2454.6580876475596,0.995763,4055,150000,0,0,2495.3028106745905,164.465,130.585,clonecache,4,hash,synchronous-bbolt,False,True,3.583831787109375,7.8158416748046875,7.8158416748046875,4452,2315.8,2532.9
clone3000,3000.0,180000,177615,0,59.999676,62.990069,2819.730202232355,2.990393,5556,177619,2381,4,2999.9995333308134,259.013,27.316,clonecache,4,hash,synchronous-bbolt,False,True,3.6145172119140625,12.240341186523438,12.240341186523438,10345,2539.8,2960.9
clonediag3000,3000.0,180000,177372,0,59.999155,62.38547,2843.1620375706075,2.386315,5397,177379,2621,7,3000.025583693637,260.494334,41.203,clonediag,4,hash,synchronous-bbolt,True,True,3.5364837646484375,12.15093994140625,12.15093994140625,8422,2558.1,2944.9
clonesingle1500,1500.0,90000,90000,0,59.999087,60.472223,1488.2866138392167,0.473136,1453,90000,0,0,1500.006158427044,19.366334,102.538,clonecache,1,hash,synchronous-bbolt,False,True,3.370086669921875,6.0024566650390625,6.0024566650390625,1278,1419.6,1520.9
diagspread2000,2000.0,120000,120000,0,59.999246,60.554029,1981.7013332011318,0.554783,1878,120000,0,0,2000.0084667730657,73.617,136.259,cachediag,4,round-robin,synchronous-bbolt,True,True,3.547607421875,7.8258514404296875,7.8258514404296875,1881,1848.7,2091.6
memory3000,3000.0,180000,180000,0,59.999562,60.83345,2958.8984349893026,0.833888,3588,180000,0,0,3000.005233371537,10.11,9.818,memory,4,hash,ephemeral-memory,False,True,3.5175018310546875,7.9158172607421875,7.9158172607421875,2796,2845.9,3137.1
memory3000long,3000.0,540000,540000,0,180.033882,180.829272,2986.242183179281,0.79539,3415,540000,0,0,2999.429851765347,35.241667,10.822,finalprobe,4,hash,ephemeral-memory,False,True,10.263839721679688,30.028915405273438,30.028915405273438,3810,2822.0,3161.1
memory3000repeat,3000.0,540000,540000,0,180.000241,180.827739,2986.2674995897614,0.827498,3486,540000,0,0,2999.990427790594,3.217334,10.715,finalprobe,4,hash,ephemeral-memory,False,True,10.264816284179688,30.06756591796875,30.06756591796875,3155,2853.4,3192.1
