case,mode,length,fast_chain_ms,public_chain_ms,closed_chain_ms,fast_p50_ms,fast_p95_ms,first_hop_ms,successor_count,certificate_inputs,submit_attempts,progress_errors,missing_input_obligations,peak_open_at_block_end,parent_uncommitted,unknown_parent_commit,successor_gap_p50_ms,request_min_bytes,request_max_bytes,certificate_min_bytes,certificate_max_bytes,error
v3-diagnostic10,fast,10,43.782084,728.956917,769.258375,2.638146,4.71475,2.132667,9,9,10,0,2,0,9,0,0.34895799999999966,1891,2840,941,941,
v3-fast-1-r1,fast,1,1.748667,426.958542,480.775709,1.748667,,1.748667,0,0,1,0,0,0,0,0,,1891,1891,941,941,
v3-fast-1-r2,fast,1,2.017334,427.356417,445.948292,2.017334,,2.017334,0,0,1,0,0,0,0,0,,1891,1891,941,941,
v3-fast-1-r3,fast,1,2.273625,427.325375,445.093708,2.273625,,2.273625,0,0,1,0,0,0,0,0,,1891,1891,941,941,
v3-fast-10-r1,fast,10,26.559041,756.643708,774.780541,1.5135835,2.75425,2.083166,9,9,10,0,2,1,9,0,0.2541669999999998,1891,2840,941,941,
v3-fast-10-r2,fast,10,17.523916,752.796375,779.683583,1.4579795,1.946792,2.032208,9,9,10,0,3,1,9,0,0.25175000000000125,1891,2840,941,941,
v3-fast-10-r3,fast,10,19.87775,754.91625,795.897208,1.5056665,2.164208,1.842833,9,9,10,0,4,1,9,0,0.22908299999999926,1891,2840,941,941,
v3-fast-100-r1,fast,100,193.291708,768.331583,785.519166,1.2958955,1.984084,1.806041,99,99,100,0,30,1,99,0,0.24045800000000028,1891,2840,941,941,
v3-fast-100-r2,fast,100,198.629917,763.649292,815.08775,1.3138125,2.996333,2.103667,99,99,100,0,28,0,99,0,0.23620800000000486,1891,2840,941,941,
v3-fast-100-r3,fast,100,201.717791,766.765125,785.267083,1.2977085000000002,2.063583,2.11225,99,99,100,0,29,0,99,0,0.24466699999999264,1891,2840,941,941,
v3-wait_final-1-r1,wait_final,1,2.003917,402.159958,419.913208,2.003917,,2.003917,0,0,1,0,0,0,0,0,,1891,1891,941,941,
v3-wait_final-1-r2,wait_final,1,1.981291,427.09425,480.944541,1.981291,,1.981291,0,0,1,0,0,0,0,0,,1891,1891,941,941,
v3-wait_final-1-r3,wait_final,1,2.195834,427.30675,446.037834,2.195834,,2.195834,0,0,1,0,0,0,0,0,,1891,1891,941,941,
v3-wait_final-10-r1,wait_final,10,5655.026458,6280.534708,6299.845333,1.9529165000000002,28.584416,2.142875,9,0,14,0,0,0,0,0,645.270708,1891,1891,941,941,
v3-wait_final-10-r2,wait_final,10,5655.574209,6305.688,6324.934417,1.017083,1.274792,2.325959,9,0,10,0,0,0,0,0,650.2749170000002,1891,1891,941,941,
v3-wait_final-10-r3,wait_final,10,5630.872959,6256.033209,6275.097417,14.6142915,28.621292,1.822042,9,0,15,0,0,0,0,0,625.3213750000004,1891,1891,941,941,
v3-wait_final-100-r1,wait_final,100,64383.576667,65003.714542,65020.836292,26.791103999999997,29.551792,2.190917,99,0,157,0,0,0,0,0,625.9928750000036,1891,1891,941,941,
v3-wait_final-100-r2,wait_final,100,64380.811209,65050.8705,65070.669625,1.112792,28.772125,1.918209,99,0,140,0,0,0,0,0,645.3381249999993,1891,1891,941,941,
v3-wait_final-100-r3,wait_final,100,64652.333083,65277.455042,65295.03475,26.782812999999997,28.173375,2.089167,99,0,156,0,0,0,0,0,645.3217499999992,1891,1891,941,941,
