case,mode,length,hop,build_ms,fast_ms,ready_offset_ms,final_offset_ms,member_offset_ms,respending_gap_ms,attempts,progress_errors,certificate_input,parent_uncommitted_at_send,request_bytes,certificate_bytes,commit_offset_ms
v3-diagnostic10,fast,10,1,1.358125,2.132667,2.132667,402.26375,448.971542,,1,0,False,,1891,941,68.665
v3-diagnostic10,fast,10,2,0.27275,1.611916,4.019375,729.084875,749.861042,0.2747919999999997,1,0,True,True,2840,941,391.777
v3-diagnostic10,fast,10,3,2.586917,3.914833,10.522542,730.619084,749.862417,2.5883339999999997,1,0,True,True,2840,941,391.777
v3-diagnostic10,fast,10,4,0.265333,4.71475,15.508834,730.599334,749.862625,0.27154200000000017,1,0,True,True,2840,941,391.777
v3-diagnostic10,fast,10,5,0.227542,3.761792,19.500292,729.606834,749.862167,0.22966599999999993,1,0,True,True,2840,941,391.777
v3-diagnostic10,fast,10,6,0.345292,1.261042,21.110292,726.165709,769.258375,0.34895799999999966,1,0,True,True,2840,941,391.777
v3-diagnostic10,fast,10,7,0.211208,1.347958,22.671,727.7815,769.257375,0.21274999999999977,1,0,True,True,2840,941,391.777
v3-diagnostic10,fast,10,8,1.862375,1.658125,26.192834,726.267459,769.256334,1.863709,1,0,True,True,2840,941,391.777
v3-diagnostic10,fast,10,9,2.329917,3.143625,31.668959,726.825084,769.257667,2.3324999999999996,1,0,True,True,2840,941,391.777
v3-diagnostic10,fast,10,10,3.956209,8.152709,43.782084,728.956917,749.861959,3.960416000000002,1,0,True,True,2840,941,391.777
v3-fast-1-r1,fast,1,1,0.433709,1.748667,1.748667,426.958542,480.775709,,1,0,False,,1891,941,96.789
v3-fast-1-r2,fast,1,1,0.554791,2.017334,2.017334,427.356417,445.948292,,1,0,False,,1891,941,92.903
v3-fast-1-r3,fast,1,1,0.406042,2.273625,2.273625,427.325375,445.093708,,1,0,False,,1891,941,83.701
v3-fast-10-r1,fast,10,1,0.4105,2.083166,2.083166,752.268791,769.842208,,1,0,False,,1891,941,410.585
v3-fast-10-r1,fast,10,2,0.689,1.179416,3.954916,754.012958,769.831416,0.6923340000000002,1,0,True,True,2840,941,410.585
v3-fast-10-r1,fast,10,3,0.235375,1.818042,6.010458,756.380416,774.779958,0.23749999999999982,1,0,True,True,2840,941,410.585
v3-fast-10-r1,fast,10,4,0.252,1.611875,7.8765,752.982666,769.832916,0.2541669999999998,1,0,True,True,2840,941,410.585
v3-fast-10-r1,fast,10,5,0.2305,1.208125,9.319083,754.408125,769.83175,0.23445800000000006,1,0,True,True,2840,941,410.585
v3-fast-10-r1,fast,10,6,0.223708,1.108875,10.653208,430.721375,764.865791,0.22525000000000084,1,0,True,True,2840,941,81.69
v3-fast-10-r1,fast,10,7,0.34975,1.415292,12.419458,752.503416,769.834333,0.3509580000000003,1,0,True,True,2840,941,410.585
v3-fast-10-r1,fast,10,8,3.162541,1.120208,16.703916,751.755125,769.829916,3.164249999999999,1,0,True,True,2840,941,410.585
v3-fast-10-r1,fast,10,9,2.916542,3.940375,23.5625,753.675041,769.830875,2.918209000000001,1,0,True,True,2840,941,410.585
v3-fast-10-r1,fast,10,10,0.240292,2.75425,26.559041,756.643708,774.780541,0.2422910000000016,1,0,True,True,2840,941,410.585
v3-fast-10-r2,fast,10,1,0.476792,2.032208,2.032208,402.330083,464.734166,,1,0,False,,1891,941,81.79
v3-fast-10-r2,fast,10,2,0.264875,1.449209,3.748,753.80675,769.766833,0.26658300000000024,1,0,True,True,2840,941,403.088
v3-fast-10-r2,fast,10,3,0.247333,1.946792,5.9435,756.010291,774.753583,0.2487079999999997,1,0,True,True,2840,941,403.088
v3-fast-10-r2,fast,10,4,0.250833,1.46675,7.668625,752.786833,769.767625,0.258375,1,0,True,True,2840,941,403.088
v3-fast-10-r2,fast,10,5,0.215709,1.204,9.089583,754.188083,769.767458,0.21695799999999998,1,0,True,True,2840,941,403.088
v3-fast-10-r2,fast,10,6,0.753542,1.0405,10.885416,755.935666,774.754458,0.7553330000000003,1,0,True,True,2840,941,403.088
v3-fast-10-r2,fast,10,7,0.225834,1.307375,12.420625,402.531833,779.683583,0.22783400000000142,1,0,True,True,2840,941,81.79
v3-fast-10-r2,fast,10,8,0.24025,1.140583,13.803708,753.870291,769.767083,0.2425000000000015,1,0,True,True,2840,941,403.088
v3-fast-10-r2,fast,10,9,0.28,1.528958,15.615666,755.894666,774.75425,0.2829999999999995,1,0,True,True,2840,941,403.088
v3-fast-10-r2,fast,10,10,0.249667,1.6565,17.523916,752.796375,769.766125,0.25175000000000125,1,0,True,True,2840,941,403.088
v3-fast-10-r3,fast,10,1,0.414958,1.842833,1.842833,757.04075,774.818583,,1,0,False,,1891,941,409.968
v3-fast-10-r3,fast,10,2,0.795917,1.526875,4.167333,754.256875,769.887875,0.7976250000000003,1,0,True,True,2840,941,409.968
v3-fast-10-r3,fast,10,3,0.235209,1.252292,5.656375,755.909667,774.817375,0.2367499999999998,1,0,True,True,2840,941,409.968
v3-fast-10-r3,fast,10,4,0.255875,1.805458,7.719958,427.779708,795.897208,0.2581250000000006,1,0,True,True,2840,941,72.765
v3-fast-10-r3,fast,10,5,0.219334,3.720375,11.662458,751.689375,769.886208,0.22212500000000013,1,0,True,True,2840,941,409.968
