ok  	utxo/cmd/bench	2.197s
ok  	utxo/cmd/committee	5.494s
ok  	utxo/cmd/gateway	5.376s
ok  	utxo/cmd/internal/config	3.982s
?   	utxo/cmd/member	[no test files]
ok  	utxo/cmd/payctl	3.092s
ok  	utxo/crypto/chameleon	7.538s
?   	utxo/docs/experiments/database-audit-2026-09-20/probe	[no test files]
ok  	utxo/finality	9.338s
ok  	utxo/internal/blockfollow	3.370s
ok  	utxo/internal/budgetprobe	6.997s
ok  	utxo/internal/committee	16.719s
ok  	utxo/internal/gateway	17.786s
ok  	utxo/internal/member	10.861s
ok  	utxo/internal/redaction	3.235s
ok  	utxo/internal/requesttrace	6.465s
ok  	utxo/internal/reservecontrol	10.389s
ok  	utxo/internal/rules	6.285s
?   	utxo/internal/state	[no test files]
ok  	utxo/internal/store	9.941s
?   	utxo/internal/testkit	[no test files]
ok  	utxo/internal/transport	9.358s
ok  	utxo/internal/wallet	8.978s
ok  	utxo/protocol	10.376s
