order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,63,61e2de4c8e76189f68bb29be7da8e3a51b3d245ae56296efd983355badc360c0,3,committee1,1789836512183507000,1789836512365150000,1789836512438133000,1789836512361228000,1789836512315218000,1789836512315380000,1789836513017249000,1789836513317338000,1789836513416245000,1789836513452759000,0.281,6.551,181.643,2.795,122.365,4.679,51.804,1.005,128.587,51.556,76.905,-123.042,-123.229,-122.915,2.376,0.047,2.172,289.758,0.217,262.603,1.31,0.003,0.055,3.513,36.141,106.096,131.711,833.742,652.099,701.869,249.111,20.455,0.268,0.02,9.288,20.938,-1.863,398.996,36.514,298.226,1131.968,1269.252
2,32,320c6a9d903c718494c02dfdcb04940fd2a08bf1c08bac45119182077c253b3e,3,committee1,1789836512183514000,1789836512473191000,1789836512501222000,1789836512438456000,1789836512386771000,1789836512386902000,1789836513017249000,1789836513317338000,1789836513416245000,1789836513405892000,0.288,10.391,289.677,2.766,190.1,17.265,79.546,0.608,124.413,61.468,62.766,-114.631,-114.774,-114.451,2.373,0.03,2.205,218.203,0.217,262.603,2.549,0.004,0.048,2.28,36.141,106.096,203.257,833.735,544.058,630.347,249.111,20.455,0.268,0.02,9.288,20.938,6.028,398.996,-10.353,306.117,1139.852,1222.378
3,46,0a93a2b02e9874eeecf67cadef4e94f95f83a71b67d4bf2f15a955ead813afb5,3,committee1,1789836512183519000,1789836512473177000,1789836512501222000,1789836512438433000,1789836512386303000,1789836512386518000,1789836513017249000,1789836513317338000,1789836513416245000,1789836513435516000,0.293,11.93,289.658,3.38,187.474,35.166,63.638,2.008,125.024,62.052,62.789,-115.103,-115.272,-114.919,2.169,0.088,1.92,218.872,0.217,262.603,2.492,0.003,0.049,2.337,36.141,106.096,202.784,833.73,544.072,630.731,249.111,20.455,0.268,0.02,9.288,20.938,5.954,398.996,19.271,306.043,1139.773,1251.997
4,35,2beb252f8c81db40aa7e9fdcffd56f51444b63a8abbc104ff2e99c29db05406f,3,committee1,1789836512183520000,1789836512434335000,1789836512501222000,1789836512438410000,1789836512392579000,1789836512392733000,1789836513017249000,1789836513317338000,1789836513416245000,1789836513453688000,0.294,19.0,250.815,2.699,187.36,0.45,60.306,0.147,127.545,64.684,62.812,-108.693,-108.958,-108.643,2.492,0.04,2.302,212.275,0.217,262.603,3.053,0.003,0.274,1.551,36.141,106.096,209.059,833.729,582.914,624.516,249.111,20.455,0.268,0.02,9.288,20.938,17.041,398.996,37.443,317.13,1150.859,1270.168
5,44,561b8489b6271536300026e0ecac7b9d86bb2ccc6768168b715243196fc50137,3,committee1,1789836512183529000,1789836512365187000,1789836512438133000,1789836512361205000,1789836512309865000,1789836512310028000,1789836513017249000,1789836513317338000,1789836513416245000,1789836513441903000,0.303,1.702,181.658,3.742,120.892,0.469,56.555,0.163,129.922,52.879,76.928,-128.385,-129.561,-128.268,1.595,0.043,1.383,295.899,0.217,262.603,0.735,0.004,0.052,4.09,36.141,106.096,126.336,833.72,652.062,707.221,249.111,20.455,0.268,0.02,9.288,20.938,0.162,398.996,25.658,300.251,1133.971,1258.374
6,48,bc43e817bfbf023bc0151c823d7f0fc7a850e8e479d8f8155328dd1380bf7502,2,committee2,1789836512183534000,1789836512269133000,1789836512269142000,1789836512244551000,1789836512244761000,1789836512256434000,1789836512578136000,1789836512897161000,1789836512939194000,1789836512925668000,0.308,0.57,85.599,0.731,59.926,0.171,24.771,0.15,25.13,0.21,24.591,-24.712,-24.771,-24.381,12.659,0.091,0.888,11.033,0.016,232.863,0.015,0.008,0.132,0.021,51.727,24.997,61.227,394.602,309.003,321.702,280.941,0.38,0.092,0.01,0.184,37.416,-2.848,361.058,-13.526,316.177,710.779,742.134
7,31,ba254f2138769689b561b00c32122a2b297180d104b126c9c579b5259f5d900e,3,committee1,1789836512183546000,1789836512320154000,1789836512361162000,1789836512307234000,1789836512280140000,1789836512280452000,1789836513017249000,1789836513317338000,1789836513416245000,1789836513453833000,0.32,0.573,136.608,1.654,94.367,0.158,40.429,0.192,81.425,27.475,53.928,-81.044,-81.381,-81.022,2.262,0.185,1.904,324.954,0.217,262.603,0.233,0.004,0.092,4.552,36.141,106.096,96.594,833.703,697.095,736.797,249.111,20.455,0.268,0.02,9.288,20.938,2.905,398.996,37.588,302.994,1136.697,1270.287
8,47,39f9c899083e103d69e211d77af19c0a3d50b60d08d77079a01209a9be7b2302,3,committee1,1789836512183549000,1789836512434410000,1789836512501222000,1789836512438301000,1789836512397048000,1789836512397210000,1789836513017249000,1789836513317338000,1789836513416245000,1789836513453524000,0.323,22.282,250.861,5.452,185.765,18.905,40.739,0.126,126.501,63.409,62.921,-104.346,-104.682,-104.174,2.169,0.04,1.972,208.128,0.217,262.603,3.905,0.004,0.054,0.919,36.141,106.096,213.499,833.7,582.839,620.039,249.111,20.455,0.268,0.02,9.288,20.938,17.092,398.996,37.279,317.181,1150.881,1269.975
9,15,91a244ea544a5346dd1a8d08fdc708e54e2c8649ed24fa38c6d92fb245d17811,3,committee1,1789836512183558000,1789836512473127000,1789836512501222000,1789836512438321000,1789836512390928000,1789836512391091000,1789836513017249000,1789836513317338000,1789836513416245000,1789836513406035000,0.332,16.136,289.569,9.228,182.006,34.413,63.922,0.12,126.485,63.409,62.901,-110.47,-110.632,-110.294,2.79,0.047,2.492,213.727,0.217,262.603,2.921,0.003,0.056,1.901,36.141,106.096,207.37,833.691,544.122,626.158,249.111,20.455,0.268,0.02,9.288,20.938,5.969,398.996,-10.21,306.058,1139.749,1222.477
10,16,4e0ad9a1a41dcdf1aca03de179a9f5e0d6a55d90050ad3ace32b279693509ea9,3,committee1,1789836512183563000,1789836512473200000,1789836512501222000,1789836512438347000,1789836512389469000,1789836512389621000,1789836513017249000,1789836513317338000,1789836513416245000,1789836513405918000,0.337,14.372,289.637,2.587,188.947,34.537,63.566,0.126,126.184,63.124,62.875,-111.939,-112.073,-111.753,2.753,0.037,2.561,215.128,0.217,262.603,2.792,0.003,0.057,2.029,36.141,106.096,205.906,833.686,544.049,627.628,249.111,20.455,0.268,0.02,9.288,20.938,5.917,398.996,-10.327,306.006,1139.692,1222.355
11,43,f0f27006901f31e3e81713149bc6ee05cc32cd47190ffad08ffd8efacb4e31ba,3,committee1,1789836512183649000,1789836512434383000,1789836512501222000,1789836512438370000,1789836512385590000,1789836512385933000,1789836513017249000,1789836513317338000,1789836513416245000,1789836513423055000,0.423,10.343,250.734,1.742,189.856,18.375,40.761,0.122,126.006,63.001,62.852,-115.788,-116.113,-115.632,2.222,0.196,1.839,219.538,0.217,262.603,2.424,0.003,0.06,2.394,36.141,106.096,201.941,833.6,582.866,631.316,249.111,20.455,0.268,0.02,9.288,20.938,17.065,398.996,6.81,317.154,1150.754,1239.406
12,33,c0b8cb7f2722fdf9f36ec9cdc04b6808cb43498c4172c61495f7a0ef2d8df8d8,3,committee1,1789836512183693000,1789836512473172000,1789836512501222000,1789836512438402000,1789836512383442000,1789836512383596000,1789836513017249000,1789836513317338000,1789836513416245000,1789836513416608000,0.467,8.134,289.479,8.48,183.135,18.348,79.516,0.13,125.947,62.964,62.82,-117.944,-118.103,-117.78,2.338,0.038,2.139,221.575,0.217,262.603,2.251,0.003,0.049,2.578,36.141,106.096,199.749,833.556,544.077,633.653,249.111,20.455,0.268,0.02,9.288,20.938,5.928,398.996,0.363,306.017,1139.573,1232.915
