fact,member_url,validation_ms,storage_queue_ms,storage_callback_ms,storage_return_ms,vote_sign_ms
7668adff559134f621942ac2f77aaa1a957a7d9d3628a670be651ee1a483e231,http://127.0.0.1:28002,3.363625,20.509541,0.090084,39.028791,0.013875
7668adff559134f621942ac2f77aaa1a957a7d9d3628a670be651ee1a483e231,http://127.0.0.1:28000,17.932667,21.815125,0.04475,32.0265,0.013292
7668adff559134f621942ac2f77aaa1a957a7d9d3628a670be651ee1a483e231,http://127.0.0.1:28003,29.459291,20.67275,0.107041,34.052542,0.014833
5ddef4e9cf15e029d5faaeab3d559ca4e4dc5a0853f11124880e43a4d6878150,http://127.0.0.1:28002,7.570625,13.93025,0.047125,37.940625,0.015375
5ddef4e9cf15e029d5faaeab3d559ca4e4dc5a0853f11124880e43a4d6878150,http://127.0.0.1:28000,0.484708,21.518375,0.045667,33.542,0.01325
5ddef4e9cf15e029d5faaeab3d559ca4e4dc5a0853f11124880e43a4d6878150,http://127.0.0.1:28003,0.955834,21.153417,0.044708,32.2515,0.013459
4693c2501e6751a3dc9c71b2b5d0c28180e88f87c10396626792c3b4f60714e4,http://127.0.0.1:28001,27.9985,8.897792,0.05325,19.682667,0.0375
4693c2501e6751a3dc9c71b2b5d0c28180e88f87c10396626792c3b4f60714e4,http://127.0.0.1:28000,0.466709,21.593958,0.044792,31.553542,0.013416
4693c2501e6751a3dc9c71b2b5d0c28180e88f87c10396626792c3b4f60714e4,http://127.0.0.1:28003,28.666291,20.983875,0.0465,33.504875,0.027291
a4da93149f19a91483733ef456bba978c09aa4b9c8a12584db5bf2ab96b8ccf9,http://127.0.0.1:28002,1.6915,20.831667,0.044458,38.529792,0.013708
a4da93149f19a91483733ef456bba978c09aa4b9c8a12584db5bf2ab96b8ccf9,http://127.0.0.1:28000,1.236917,21.831125,0.042458,31.77275,0.015
a4da93149f19a91483733ef456bba978c09aa4b9c8a12584db5bf2ab96b8ccf9,http://127.0.0.1:28003,0.9675,3.556292,0.054833,18.829917,0.013417
55699972654d2b1129eecd048752289f5841bc6d237e2fbbfff8bfb949b73425,http://127.0.0.1:28002,19.929167,20.61375,0.126166,38.78125,0.013542
55699972654d2b1129eecd048752289f5841bc6d237e2fbbfff8bfb949b73425,http://127.0.0.1:28000,2.4605,21.537708,0.0455,33.590083,0.01325
55699972654d2b1129eecd048752289f5841bc6d237e2fbbfff8bfb949b73425,http://127.0.0.1:28003,0.440792,21.220583,0.047292,31.732041,0.013459
fef4cafa0676323ae20b21120459fc8cd6aaa7f1db8858f69520a0fd67e0870d,http://127.0.0.1:28002,0.46025,3.221792,0.056917,19.487958,0.074792
fef4cafa0676323ae20b21120459fc8cd6aaa7f1db8858f69520a0fd67e0870d,http://127.0.0.1:28001,0.457125,23.455917,0.113792,20.340791,1.504459
fef4cafa0676323ae20b21120459fc8cd6aaa7f1db8858f69520a0fd67e0870d,http://127.0.0.1:28000,3.535042,22.0345,0.052958,32.129834,0.056041
372f5f89d7493188a20341bccd193a16f899d55dc21e9ac81c12f24a3918ed5d,http://127.0.0.1:28002,19.505625,20.336791,0.042917,40.025542,0.013416
372f5f89d7493188a20341bccd193a16f899d55dc21e9ac81c12f24a3918ed5d,http://127.0.0.1:28000,5.711083,21.63425,0.044,31.529333,0.013292
372f5f89d7493188a20341bccd193a16f899d55dc21e9ac81c12f24a3918ed5d,http://127.0.0.1:28003,2.673667,3.179125,0.283042,18.370875,0.013583
c2a2cb9674feeb524ae2f3a99c35561e90df91a62008fda33d6045115af96263,http://127.0.0.1:28002,2.21375,20.466125,0.059292,39.778417,0.013041
c2a2cb9674feeb524ae2f3a99c35561e90df91a62008fda33d6045115af96263,http://127.0.0.1:28000,15.278167,12.563167,0.043708,30.749167,0.014792
c2a2cb9674feeb524ae2f3a99c35561e90df91a62008fda33d6045115af96263,http://127.0.0.1:28003,0.456709,30.15425,0.085125,20.546084,0.017125
fcb8d83e518118cf778fb5f033597a6b32b360688ed99184f255d3a93090581c,http://127.0.0.1:28002,1.726833,20.552541,0.050209,39.623041,0.014542
fcb8d83e518118cf778fb5f033597a6b32b360688ed99184f255d3a93090581c,http://127.0.0.1:28000,0.4345,21.484333,0.04175,31.065583,0.01375
fcb8d83e518118cf778fb5f033597a6b32b360688ed99184f255d3a93090581c,http://127.0.0.1:28003,19.323542,21.163625,0.188875,32.994375,0.013333
7f83bbf65445f3f09a1e12787fa47256a3ca0e32db3042ec0c8167ecc02d11f5,http://127.0.0.1:28002,9.750834,13.966541,0.042834,37.958041,0.039584
7f83bbf65445f3f09a1e12787fa47256a3ca0e32db3042ec0c8167ecc02d11f5,http://127.0.0.1:28000,4.009417,21.49075,0.186959,33.185666,0.015875
