member,fact,attempt,validation_ms,store_ms
org0-member0,06d3b14650a0409c2f988ce5d7dfa353ccc332f837678a31302d86bf45426b39,1,0.622,30.571
org0-member0,0d3d97beccf591c336b2c2ba1b02793484f5396ef38b6c99402babf3a31069a4,1,0.63,23.557
org0-member0,0dadee36e0669413ce2b2722e00f120e748ba00fba155853642715efd3550315,1,0.623,19.789
org0-member0,0f5608e4ab38febac4247041b9dde9b6f6fd408c7866e429161066b7e3ff7577,1,0.629,30.79
org0-member0,1191be79d82774e67514270f8c51af522da9afd7e46401dbc3e97658cf0821e2,1,5.422,23.058
org0-member0,1d44931e602d208c6c7b646e5853088acb447bae606f42b7a96930baa1ea054b,1,0.684,17.485
org0-member0,1e77504fb4ad7f6d67fb492a94fff2071a5327ace994df3f3b73b11598b8b32c,1,0.645,19.616
org0-member0,20494897300c720b3f9a5c94191a3c516b94451f8119651107a0056a7bbf2289,1,0.762,72.95
org0-member0,20494897300c720b3f9a5c94191a3c516b94451f8119651107a0056a7bbf2289,2,0.636,37.85
org0-member0,205862bb8b88bb2bed9f75378e0cf3eec116ddc7a9882e598c93db3581a25da5,1,0.588,34.616
org0-member0,206ba600d346cfcde1b35d2fac7ea7e2bef404be6337952f9a237af5bb089681,1,0.629,31.75
org0-member0,209d1124316243953ceacb610e13ea1dad41e5df6f27d3d0e53cf0c4b0a27cf9,1,0.627,20.858
org0-member0,23ec14bea1168a0c42376b6cefe9bf17385934abf3ffe9801b656f74c7f035eb,1,0.64,47.853
org0-member0,2766f464fa81e6e8c1481678400fc264e720a84d2764708721dade5d5ffdf43f,1,0.621,25.606
org0-member0,2bdb65017a852958b6123e04afd317b085624870d974128310a456bb63295200,1,0.628,23.248
org0-member0,2f2671fd49c791c6b372eb2ea1d42e2a3e7564ae3305f2b32428b23e1d5d1d5a,1,1.016,20.407
org0-member0,36b3d17e231d03871f90526c7353bd041e69624adf39f8f180443f7a9146dbf5,1,0.625,30.065
org0-member0,372f5f89d7493188a20341bccd193a16f899d55dc21e9ac81c12f24a3918ed5d,1,0.624,17.84
org0-member0,372f5f89d7493188a20341bccd193a16f899d55dc21e9ac81c12f24a3918ed5d,2,0.627,84.427
org0-member0,38a50ee75ec277396832f3e8ca5352eafabb18b80a2ec1faa3e9728e082dd1e1,1,0.635,20.5
org0-member0,3c0a536b8336e8a85ceecf1af48da8c7d8330469152d75b62130b64229a09b60,1,0.627,30.181
org0-member0,3c555ba85243e6165843042e7842819948c171a8d1c72da37fc1d8b9e7adf6e0,1,0.622,16.724
org0-member0,3cdc753ef1d1dbe95021c1d62ae9ae2028fcd7fb8bc44be904090b9168d22b02,1,0.649,19.944
org0-member0,3f2b695521b0af728a9bf9f2634bb27d287a56ba0e2ea827c0a7a4db861e8cae,1,0.627,22.76
org0-member0,41525879041ac369d90c6e8c5c12f6cee989010b9f4687f5ad55d42ed8102675,1,0.68,24.832
org0-member0,424be0f78e6c51a7dd080116a7c92af92bcfdb57c4ac067e1e0e97fad7be6da6,1,0.666,38.02
org0-member0,426e27696f2737b37bff573bb37ddbfb96e2fc4b7ecc2666225d4f41d10d0614,1,0.637,25.781
org0-member0,4b398974942e27c5d4c3660632437cc61de2ab65d6b38b4910de9ef5ab771c15,1,0.634,41.492
org0-member0,4fcb7f4fa0461ef6f6bb302cb87d707728572b653b219f9a43e28475220069b3,1,0.926,24.445
org0-member0,588bd8f8ead50992fd0b7cfcb8f44c328b865d076cc1497dad4bcf93d4351edd,1,0.637,34.717
org0-member0,596e84cab6ac536c8144b08062f1926697006690301f2bdcd1a9c78da56d353e,1,0.622,18.748
org0-member0,5bdb55b56c0104bdbac92ee9fa8200f3aaad0a1e71406313d2cb5c0d0c634f29,1,1.834,23.958
org0-member0,5fe9139574c00d0e3674a94a45055d15be099eeef540cb5faa9f07f539046039,1,0.537,37.986
org0-member0,6236cb4c97c56030ae1f297b07d984232c33d4ce7f8b3c620303f43368fdeb1c,1,0.624,32.579
org0-member0,63966be012ec57de7179eebcd60793accdd84f283c4ce585f93e7cbc061ff9b7,1,0.652,23.659
org0-member0,6d1394f559b2061f52c029ebb5722f7b20b3103ab116e8eb69e28b35da9a85ba,1,0.616,32.637
org0-member0,6d1394f559b2061f52c029ebb5722f7b20b3103ab116e8eb69e28b35da9a85ba,2,0.619,84.411
org0-member0,7141d649f8a23787adeb41611264900ed9c8e18edc9d026010399f4d196b38af,1,0.548,20.526
org0-member0,71e6512235f265c92ad3b9e6b68d6be14e7cde8c4c941b561156e658b7e111c6,1,0.619,29.788
org0-member0,7668adff559134f621942ac2f77aaa1a957a7d9d3628a670be651ee1a483e231,1,0.622,33.804
org0-member0,77a9ed7a36fcf64c6e8354d85dbd3ab02c496d994bbdb39e41075bd9dd941b3d,1,0.617,37.748
org0-member0,7e846ad2beedecc87c9fa355414c3c794036b43d19d3974f1aa5531b4593fc93,1,0.64,72.874
org0-member0,7e846ad2beedecc87c9fa355414c3c794036b43d19d3974f1aa5531b4593fc93,2,0.633,37.832
org0-member0,7f81a51b55a933d74d1b35e1803d5152ce2fa13a7e7cab6317ba0e1c0425e226,1,0.629,33.778
org0-member0,893a373b35fce034df1c5a9794807049d81bff9672c90461281cb9a4b58bf1ad,1,0.925,38.375
org0-member0,8af3e406ff12eadc8440480af58675e5f6dd4fbc7036f91c81970dcbda9616f1,1,0.561,39.694
org0-member0,97fae1ca9ca847bb55a3d834dd4aa9eef4d7fad1023e27fbc12f812e2c40618a,1,0.606,25.74
org0-member0,9fd8f4f2fadf6f2d5f9b2523fd77929001a71b7ee3d536c6b16b98418a33203b,1,0.66,15.758
org0-member0,a4470377d36c727daf73be9b699f3dd9098fd2fc2a527d6211888990d3472eda,1,0.711,38.497
org0-member0,a60f9170491ee8f2d0d8abcd09dbcd887a1b7073606a5cb37742a709bc9184ce,1,0.643,22.171
org0-member0,a6c8b68457474b145becdf9aa6f531def1e27680283de2529eacb5e7cca7b707,1,0.629,25.357
org0-member0,a6d6a1efce8068e22e868a89dac679980959fd69d840a7aabd99e72976cc724f,1,0.62,26.578
org0-member0,ac64796a6fa3ddaf07b792da21cf8eb355b49415167e00654255e09b7455d403,1,0.652,33.87
org0-member0,af71841bf17cbaea3c7fe63142d8c6748dd85505f2e2b7596ccd7b3a097795f7,1,0.617,32.706
org0-member0,b52a623dbaf4b01ac4c7dc7c5c8931cd82db940bcc3f00595faa050870d426fb,1,0.629,48.716
org0-member0,bd37e0cf6ffbca9b5216e41f38cbff8c813a48a0f70dd51e16fbed1cfb0812d9,1,0.617,37.785
org0-member0,beef0e330b9444d7e027f18841acdf086612f55421ac53ce63e505ffbc62791c,1,0.637,43.851
org0-member0,c2a2cb9674feeb524ae2f3a99c35561e90df91a62008fda33d6045115af96263,1,5.464,22.937
org0-member0,c938034ce92f28efbbce9f3c470e3516f610d28da758ab262991d7aa212537e7,1,0.621,21.776
org0-member0,cdcd4350ec582e1758f2da2227a7dc2b3fcfd0e1dd5a8c4703b5f222e9f1242f,1,0.621,22.613
org0-member0,d24b5b5d4bbf67e7c9269ef95a518d275a35319cc483da11d2ff05d98e7cd49e,1,6.461,28.015
org0-member0,db811108d45741e58550f68898232e6ca08dfdb01a1789b8cc41aaf02d63620e,1,0.638,41.721
org0-member0,db9071dd6a50789a182640c895e9d7b6a957450056415e554ac963fbace32b01,1,0.823,29.269
org0-member0,e2768ef5742a89a397818d544346613f9a8ae7b197cf1793879554a277bfc08c,1,0.654,37.746
org0-member0,e461a5565b9194de7e232014e451ba5ba51efb404009eae51ddd9dd3c6ed0011,1,0.639,72.769
org0-member0,ec0b4f95104d60a0242ff456d8d306214ae5df6f2245c2ec971837539e7cd77a,1,14.139,38.946
org0-member0,ec0b4f95104d60a0242ff456d8d306214ae5df6f2245c2ec971837539e7cd77a,2,0.668,31.882
org0-member0,ef3230cb31f8fe7754286ecec75a997bb7c677210f1a823ea7fe8e9a693d3c53,1,0.618,19.842
org0-member0,f44b9bff064c6bde198b731ece966ae3f15826b64ac55089a6e9ea98916b8b5d,1,0.658,20.719
org0-member1,06d3b14650a0409c2f988ce5d7dfa353ccc332f837678a31302d86bf45426b39,1,0.632,27.788
org0-member1,0d3d97beccf591c336b2c2ba1b02793484f5396ef38b6c99402babf3a31069a4,1,0.62,20.344
org0-member1,0dadee36e0669413ce2b2722e00f120e748ba00fba155853642715efd3550315,1,0.633,16.932
org0-member1,0f5608e4ab38febac4247041b9dde9b6f6fd408c7866e429161066b7e3ff7577,1,0.632,19.708
org0-member1,1191be79d82774e67514270f8c51af522da9afd7e46401dbc3e97658cf0821e2,1,0.616,42.709
org0-member1,1d44931e602d208c6c7b646e5853088acb447bae606f42b7a96930baa1ea054b,1,0.633,26.314
org0-member1,1e77504fb4ad7f6d67fb492a94fff2071a5327ace994df3f3b73b11598b8b32c,1,0.648,50.869
