order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,1,7668adff559134f621942ac2f77aaa1a957a7d9d3628a670be651ee1a483e231,3,committee1,1789836533710889000,1789836533878905000,1789836533992769000,1789836533869132000,1789836533869802000,1789836533870110000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534941801000,0.038,52.93,168.016,1.355,104.628,0.438,61.595,0.124,175.837,52.136,123.637,-123.033,-123.493,-122.967,2.832,0.186,2.382,250.405,0.216,260.747,3.734,0.003,0.051,1.064,27.184,104.888,158.913,809.896,641.88,650.675,266.51,3.128,0.225,0.01,1.046,100.217,4.524,361.985,59.031,383.522,1193.418,1230.912
2,0,5ddef4e9cf15e029d5faaeab3d559ca4e4dc5a0853f11124880e43a4d6878150,3,committee1,1789836533710893000,1789836533878929000,1789836533992769000,1789836533869333000,1789836533869464000,1789836533869802000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534941783000,0.042,41.432,168.036,5.158,111.981,0.384,50.513,0.185,164.631,41.116,123.436,-123.385,-123.662,-123.305,1.677,0.221,1.3,251.795,0.216,260.747,3.614,0.004,0.053,1.181,27.184,104.888,158.571,809.892,641.856,650.983,266.51,3.128,0.225,0.01,1.046,100.217,4.485,361.985,59.013,383.483,1193.375,1230.89
3,13,4693c2501e6751a3dc9c71b2b5d0c28180e88f87c10396626792c3b4f60714e4,3,committee1,1789836533710911000,1789836533844799000,1789836533992769000,1789836533869075000,1789836533834455000,1789836533834614000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534896268000,0.06,33.095,133.888,1.549,88.9,0.061,43.378,14.968,176.484,52.747,123.694,-158.357,-158.642,-158.314,2.281,0.041,2.094,286.189,0.216,260.747,1.219,0.004,0.051,3.578,27.184,104.888,123.544,809.874,675.986,686.171,266.51,3.128,0.225,0.01,1.046,100.217,-4.446,361.985,13.498,374.552,1184.426,1185.357
4,63,a4da93149f19a91483733ef456bba978c09aa4b9c8a12584db5bf2ab96b8ccf9,3,committee1,1789836533710914000,1789836533878907000,1789836533992769000,1789836533869286000,1789836533842480000,1789836533842627000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534924975000,0.063,25.453,167.993,0.641,105.472,2.015,59.865,3.231,172.615,49.028,123.483,-150.394,-150.612,-150.289,2.335,0.033,2.128,278.142,0.216,260.747,2.59,0.004,0.057,2.201,27.184,104.888,131.566,809.871,641.878,678.158,266.51,3.128,0.225,0.01,1.046,100.217,4.425,361.985,42.205,383.423,1193.294,1214.061
5,44,55699972654d2b1129eecd048752289f5841bc6d237e2fbbfff8bfb949b73425,3,committee1,1789836533710920000,1789836533878928000,1789836533992769000,1789836533869345000,1789836533877467000,1789836533877629000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534925510000,0.069,49.207,168.008,0.663,116.677,0.307,50.361,0.15,164.446,40.935,123.424,-115.39,-115.635,-115.302,2.366,0.045,2.165,243.103,0.216,260.747,4.356,0.003,0.051,0.442,27.184,104.888,166.547,809.865,641.857,643.156,266.51,3.128,0.225,0.01,1.046,100.217,4.556,361.985,42.74,383.554,1193.419,1214.59
6,26,fef4cafa0676323ae20b21120459fc8cd6aaa7f1db8858f69520a0fd67e0870d,3,committee1,1789836533710923000,1789836533844780000,1789836533868849000,1789836533815975000,1789836533816587000,1789836533816762000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534906667000,0.072,18.078,133.857,1.358,86.228,0.372,45.899,0.434,70.112,17.032,52.874,-52.469,-66.884,-52.262,2.359,0.055,2.073,304.062,0.216,260.747,0.528,0.004,0.051,4.27,27.184,104.888,105.664,809.862,676.005,704.023,266.51,3.128,0.225,0.01,1.046,100.217,-4.428,361.985,23.897,374.57,1184.432,1195.744
7,45,372f5f89d7493188a20341bccd193a16f899d55dc21e9ac81c12f24a3918ed5d,3,committee1,1789836533711085000,1789836533878883000,1789836533992769000,1789836533869290000,1789836533848084000,1789836533848238000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534945517000,0.234,27.875,167.798,3.947,105.177,0.048,58.626,0.126,172.477,48.955,123.479,-144.729,-145.027,-144.685,10.789,0.038,2.192,272.467,0.216,260.747,3.111,0.004,0.057,1.68,27.184,104.888,136.999,809.7,641.902,672.547,266.51,3.128,0.225,0.01,1.046,100.217,4.541,361.985,62.747,383.539,1193.239,1234.432
8,7,c2a2cb9674feeb524ae2f3a99c35561e90df91a62008fda33d6045115af96263,3,committee1,1789836533711093000,1789836533878859000,1789836533992769000,1789836533869275000,1789836533878112000,1789836533878277000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534959252000,0.242,58.662,167.766,1.214,107.143,0.646,58.763,0.73,172.69,49.095,123.494,-114.759,-114.974,-114.657,2.431,0.051,2.226,242.394,0.216,260.747,4.416,0.003,0.05,0.383,27.184,104.888,167.019,809.692,641.926,642.508,266.51,3.128,0.225,0.01,1.046,100.217,4.532,361.985,76.482,383.53,1193.222,1248.159
9,8,fcb8d83e518118cf778fb5f033597a6b32b360688ed99184f255d3a93090581c,3,committee1,1789836533711100000,1789836533878923000,1789836533992769000,1789836533869215000,1789836533840021000,1789836533840182000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534925008000,0.249,20.628,167.823,1.285,107.008,0.207,59.323,0.444,173.027,49.378,123.554,-152.845,-153.266,-152.748,2.121,0.041,1.925,280.79,0.216,260.747,2.088,0.008,0.26,2.496,27.184,104.888,128.921,809.685,641.862,680.603,266.51,3.128,0.225,0.01,1.046,100.217,5.02,361.985,42.238,384.018,1193.703,1213.908
10,27,7f83bbf65445f3f09a1e12787fa47256a3ca0e32db3042ec0c8167ecc02d11f5,3,committee1,1789836533711101000,1789836533878888000,1789836533992769000,1789836533869211000,1789836533872348000,1789836533872602000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534959616000,0.25,52.95,167.787,0.511,107.786,0.189,59.301,0.169,173.29,49.644,123.558,-120.51,-120.744,-120.421,2.394,0.14,2.1,248.195,0.216,260.747,3.909,0.003,0.049,0.891,27.184,104.888,161.247,809.684,641.897,648.183,266.51,3.128,0.225,0.01,1.046,100.217,4.555,361.985,76.846,383.553,1193.237,1248.515
