fact,member_url,validation_ms,storage_queue_ms,storage_callback_ms,storage_return_ms,vote_sign_ms
f83f33a3ca885eebcfd4d5e7d281e6d7d724603faf24e405f00313140659266f,http://127.0.0.1:28002,7.393708,24.164,0.098708,88.8435,0.014542
f83f33a3ca885eebcfd4d5e7d281e6d7d724603faf24e405f00313140659266f,http://127.0.0.1:28001,0.877709,52.821625,0.044584,22.275791,0.4315
f83f33a3ca885eebcfd4d5e7d281e6d7d724603faf24e405f00313140659266f,http://127.0.0.1:28003,0.440709,13.440083,0.529458,18.436625,29.894917
a7775a0fa1693ad2bf6d99e44b9198bb989d67f2633e8e01db4c20f2c92c661c,http://127.0.0.1:28002,11.046417,14.701208,0.044542,85.9935,0.013333
a7775a0fa1693ad2bf6d99e44b9198bb989d67f2633e8e01db4c20f2c92c661c,http://127.0.0.1:28001,0.48675,29.553,0.047625,54.297666,0.018417
a7775a0fa1693ad2bf6d99e44b9198bb989d67f2633e8e01db4c20f2c92c661c,http://127.0.0.1:28000,1.301041,25.023209,0.050708,65.289292,0.017166
19e10ce7d05a0325f7154eb9c26d6a27344d098f6e4b4af810538806a25c00d9,http://127.0.0.1:28002,3.341875,8.093375,4.737916,19.849375,0.014542
19e10ce7d05a0325f7154eb9c26d6a27344d098f6e4b4af810538806a25c00d9,http://127.0.0.1:28001,0.438542,12.573792,0.04925,30.62925,0.014708
19e10ce7d05a0325f7154eb9c26d6a27344d098f6e4b4af810538806a25c00d9,http://127.0.0.1:28000,0.435584,15.032167,0.069375,24.54,0.629625
71d43e5b1b438bd61d256a9c075691b50cd590e4d28fa32396e3d2ab6d804d44,http://127.0.0.1:28002,7.86,14.574542,0.043,86.348125,0.015292
71d43e5b1b438bd61d256a9c075691b50cd590e4d28fa32396e3d2ab6d804d44,http://127.0.0.1:28001,17.932,53.346833,0.04425,22.951417,0.013333
71d43e5b1b438bd61d256a9c075691b50cd590e4d28fa32396e3d2ab6d804d44,http://127.0.0.1:28000,1.990583,23.442541,0.043459,64.251291,0.055709
2f4d1e88132bb5ed8241e4262a19b4bbb814ea7490abb47878a84689ecadb019,http://127.0.0.1:28002,2.616375,20.9405,0.046708,86.7055,0.013334
2f4d1e88132bb5ed8241e4262a19b4bbb814ea7490abb47878a84689ecadb019,http://127.0.0.1:28001,0.442375,13.889791,0.057084,30.900625,0.013416
2f4d1e88132bb5ed8241e4262a19b4bbb814ea7490abb47878a84689ecadb019,http://127.0.0.1:28000,0.462208,0.008875,0.145083,16.27975,10.118584
607ecfae8cdc46b286966f8b3603d7abb3cf1f802ddb77861ce7d860d2099e69,http://127.0.0.1:28002,8.177167,14.599291,0.045084,86.061208,0.024833
607ecfae8cdc46b286966f8b3603d7abb3cf1f802ddb77861ce7d860d2099e69,http://127.0.0.1:28001,1.826333,53.4085,0.045417,23.180667,0.013375
607ecfae8cdc46b286966f8b3603d7abb3cf1f802ddb77861ce7d860d2099e69,http://127.0.0.1:28000,0.934625,24.250667,0.135916,64.81675,0.013834
f29e9646f81819b452f65d1697be034e95eaa7e5cdc707d515fd0292f2ea92a1,http://127.0.0.1:28002,9.9075,22.985375,0.047792,88.770708,0.014375
f29e9646f81819b452f65d1697be034e95eaa7e5cdc707d515fd0292f2ea92a1,http://127.0.0.1:28001,17.541375,53.478917,0.048166,23.260709,0.485791
f29e9646f81819b452f65d1697be034e95eaa7e5cdc707d515fd0292f2ea92a1,http://127.0.0.1:28000,1.308958,25.066917,0.045875,65.207208,0.028
2bf380414f99b8503b063271c9d029f3073a31f6b6a20bacacc7e3dc4fc3bb41,http://127.0.0.1:28002,0.470667,14.297125,0.09075,24.663333,0.0135
2bf380414f99b8503b063271c9d029f3073a31f6b6a20bacacc7e3dc4fc3bb41,http://127.0.0.1:28001,2.153833,53.146708,0.045917,22.486666,0.017375
2bf380414f99b8503b063271c9d029f3073a31f6b6a20bacacc7e3dc4fc3bb41,http://127.0.0.1:28000,0.475834,16.056417,0.185916,24.7135,0.58175
cc63e3e20441b89b6d3f6da0328cde154799220c9c12494124268ce0f8b7046e,http://127.0.0.1:28002,2.4245,20.205375,0.054,87.628,0.013833
cc63e3e20441b89b6d3f6da0328cde154799220c9c12494124268ce0f8b7046e,http://127.0.0.1:28001,6.731542,30.74625,0.088,55.660125,0.0165
cc63e3e20441b89b6d3f6da0328cde154799220c9c12494124268ce0f8b7046e,http://127.0.0.1:28000,2.246542,24.173834,0.047333,64.58975,0.015
42ea220e45b9aaecca42ca65d5622563a4457918721bbe4c46d0998e2ae62e2f,http://127.0.0.1:28002,0.473542,0.014375,0.169583,14.15725,1.341625
42ea220e45b9aaecca42ca65d5622563a4457918721bbe4c46d0998e2ae62e2f,http://127.0.0.1:28000,0.445209,13.67625,0.052542,24.485,1.441041
42ea220e45b9aaecca42ca65d5622563a4457918721bbe4c46d0998e2ae62e2f,http://127.0.0.1:28003,0.447042,0.008291,0.152125,14.174417,0.039208
a3e42a8aeeba9615127e2ef24c00dd719a0da1c4516aabdbedf90b7a391d82ee,http://127.0.0.1:28002,0.7885,21.021292,0.048291,87.886792,0.015
a3e42a8aeeba9615127e2ef24c00dd719a0da1c4516aabdbedf90b7a391d82ee,http://127.0.0.1:28001,17.836291,53.297333,0.047834,23.1085,0.013375
a3e42a8aeeba9615127e2ef24c00dd719a0da1c4516aabdbedf90b7a391d82ee,http://127.0.0.1:28000,6.522792,18.897084,0.044333,63.588125,0.0255
502bf502c583ea2c3c562dc95d8faabf3b7019bc3c47108c63cf00799b115dbd,http://127.0.0.1:28002,3.317083,20.983917,0.047375,86.500625,0.013375
502bf502c583ea2c3c562dc95d8faabf3b7019bc3c47108c63cf00799b115dbd,http://127.0.0.1:28001,0.4495,17.985166,0.136667,52.189292,0.013833
502bf502c583ea2c3c562dc95d8faabf3b7019bc3c47108c63cf00799b115dbd,http://127.0.0.1:28000,9.150625,18.941541,0.043292,63.666375,0.01325
9c00e4f84d2d06fac6f6440b6c95323a4536a8f1bc0feef5fa10d5fa214f2911,http://127.0.0.1:28002,4.273667,20.171917,0.045625,87.774416,0.01375
9c00e4f84d2d06fac6f6440b6c95323a4536a8f1bc0feef5fa10d5fa214f2911,http://127.0.0.1:28001,1.740959,30.001208,0.051459,54.482375,0.015
9c00e4f84d2d06fac6f6440b6c95323a4536a8f1bc0feef5fa10d5fa214f2911,http://127.0.0.1:28003,17.332375,28.688375,0.197417,25.767167,0.014416
5d20af3889f8e0a15695db86bae845f1a30907bca445dd897cb35a7f122266fc,http://127.0.0.1:28002,2.202958,22.477709,0.045416,88.53175,0.013459
5d20af3889f8e0a15695db86bae845f1a30907bca445dd897cb35a7f122266fc,http://127.0.0.1:28001,2.0025,54.635417,0.0475,23.340583,0.013458
5d20af3889f8e0a15695db86bae845f1a30907bca445dd897cb35a7f122266fc,http://127.0.0.1:28000,8.172666,25.190166,0.057084,24.400291,0.043
6f1b90578219b34aa2e837f070b4917202732ecdb1e3f43885431ac770d3a0b2,http://127.0.0.1:28002,6.866875,14.5535,0.074041,86.059125,0.013625
6f1b90578219b34aa2e837f070b4917202732ecdb1e3f43885431ac770d3a0b2,http://127.0.0.1:28001,0.4535,13.077709,0.051125,30.570708,0.080125
6f1b90578219b34aa2e837f070b4917202732ecdb1e3f43885431ac770d3a0b2,http://127.0.0.1:28000,17.2015,65.941584,0.0385,19.389791,0.013292
25d56f6b4453b49fc7ea6c7851ca54fc3a95b8e9afc41bf3359ff30049e6447c,http://127.0.0.1:28002,3.980541,20.299583,0.045583,87.533834,0.013458
25d56f6b4453b49fc7ea6c7851ca54fc3a95b8e9afc41bf3359ff30049e6447c,http://127.0.0.1:28001,0.638833,29.491292,1.007958,54.682708,0.013834
25d56f6b4453b49fc7ea6c7851ca54fc3a95b8e9afc41bf3359ff30049e6447c,http://127.0.0.1:28000,2.947292,23.403459,0.048875,64.203416,0.013584
12b07b5764b122c3c8ff47983125fdce6d46537762a1451b815882e0d9be2be3,http://127.0.0.1:28002,1.900833,22.974291,0.049875,88.792084,0.013416
12b07b5764b122c3c8ff47983125fdce6d46537762a1451b815882e0d9be2be3,http://127.0.0.1:28001,2.440167,53.096833,0.045042,22.420167,0.013416
12b07b5764b122c3c8ff47983125fdce6d46537762a1451b815882e0d9be2be3,http://127.0.0.1:28000,5.754083,19.121417,0.043458,63.347542,0.013666
8c312afc394609e53209986805995d789fd80a83b45372ccfa2a52cdbc99a920,http://127.0.0.1:28002,2.7785,20.740083,0.061125,86.954458,0.013292
8c312afc394609e53209986805995d789fd80a83b45372ccfa2a52cdbc99a920,http://127.0.0.1:28001,1.815583,30.19175,0.056166,54.445167,0.01375
8c312afc394609e53209986805995d789fd80a83b45372ccfa2a52cdbc99a920,http://127.0.0.1:28003,0.902958,17.035459,0.097125,28.788291,1.188542
f2fddc4785289361595bc92973dc9a29ff1830f7c2535701213c80840b8a6715,http://127.0.0.1:28002,2.716958,21.000084,0.047166,87.798125,0.013292
f2fddc4785289361595bc92973dc9a29ff1830f7c2535701213c80840b8a6715,http://127.0.0.1:28001,14.578542,54.49225,0.051375,23.278541,0.013584
f2fddc4785289361595bc92973dc9a29ff1830f7c2535701213c80840b8a6715,http://127.0.0.1:28000,31.856875,3.159333,0.910583,21.780959,0.446708
514b8e1ce9475fac9e16d80e04f30378852ef3ba35879fb6b31eb5aefe67a451,http://127.0.0.1:28002,2.02275,22.431792,0.046083,88.573,0.01375
514b8e1ce9475fac9e16d80e04f30378852ef3ba35879fb6b31eb5aefe67a451,http://127.0.0.1:28001,33.742667,53.262917,0.047958,22.846125,0.013583
514b8e1ce9475fac9e16d80e04f30378852ef3ba35879fb6b31eb5aefe67a451,http://127.0.0.1:28000,3.169583,23.420208,0.048167,64.357417,0.013458
311a9843a5473c1a4ea460e8d8bc63c7a56ad1a7e4e371e50bdadbe689ff1b1e,http://127.0.0.1:28001,0.446916,0.006375,0.391958,15.509625,32.20425
311a9843a5473c1a4ea460e8d8bc63c7a56ad1a7e4e371e50bdadbe689ff1b1e,http://127.0.0.1:28000,0.438834,12.906792,0.052125,24.429,1.433917
311a9843a5473c1a4ea460e8d8bc63c7a56ad1a7e4e371e50bdadbe689ff1b1e,http://127.0.0.1:28003,0.445792,13.979833,1.136375,17.260292,29.957458
bb674453074225b5bbd57780642c0193638d39f1f1552268ef85ee51d7ea2982,http://127.0.0.1:28002,0.659292,22.921916,0.055584,88.744333,0.013167
bb674453074225b5bbd57780642c0193638d39f1f1552268ef85ee51d7ea2982,http://127.0.0.1:28001,1.530625,53.299417,0.046958,22.94325,0.015792
bb674453074225b5bbd57780642c0193638d39f1f1552268ef85ee51d7ea2982,http://127.0.0.1:28000,2.055292,24.56675,0.052917,65.19775,0.013416
98d1a78b76ec128f7852bc98a8795c79b179e7948cee6e7ef8bdb089a77b34eb,http://127.0.0.1:28002,0.47,12.335,0.067125,19.767709,0.024416
98d1a78b76ec128f7852bc98a8795c79b179e7948cee6e7ef8bdb089a77b34eb,http://127.0.0.1:28001,1.406542,54.654875,0.052458,23.32625,0.01325
98d1a78b76ec128f7852bc98a8795c79b179e7948cee6e7ef8bdb089a77b34eb,http://127.0.0.1:28000,33.152291,24.540333,0.515417,65.445833,0.015458
