member,fact,attempt,validation_ms,store_ms
org0-member0,070fc5390db48a0eb7fed2aaaad13879031a09b3f318a9007ad842a23b769a3f,1,0.59,26.103
org0-member0,070fc5390db48a0eb7fed2aaaad13879031a09b3f318a9007ad842a23b769a3f,2,0.699,0.038
org0-member0,0c35d4fd7dc65fe05017deaa8ed3a0f45e90917a43ff38c00048e1cd466438ce,1,0.625,30.759
org0-member0,0ddc15743f0959fd67516ef54dd6a613f0b73ecb1925123b99d1ec372b561db1,1,0.637,17.792
org0-member0,0f2d69aecb2d54449e0127e1180af4a49009fb1c582158e3c66a654efbe81302,1,0.591,25.407
org0-member0,12b07b5764b122c3c8ff47983125fdce6d46537762a1451b815882e0d9be2be3,1,0.622,26.555
org0-member0,12e3d7ef5d7a952d626f0abd1807b7b515e9470fb96d9a5814d0b5c8a8ca68f3,1,3.662,23.36
org0-member0,13c32f1c0306ec6a3a8ed48acafbba2960cbb2ebaaab7e027e27dfe8264570c7,1,0.636,14.771
org0-member0,13ead64e1ccbc4528c723f429a10e33b3bbbb5179d603cecbac22a230bb1d06d,1,0.629,39.805
org0-member0,176705efcf1f3381951b8bb04872e60acd25a548a53c222717653fd5fcd57adc,1,0.622,20.739
org0-member0,19e10ce7d05a0325f7154eb9c26d6a27344d098f6e4b4af810538806a25c00d9,1,0.989,23.784
org0-member0,19e10ce7d05a0325f7154eb9c26d6a27344d098f6e4b4af810538806a25c00d9,2,15.753,61.374
org0-member0,1d1c0854089b5a49158bba4b8c2ec1ecf8a296ca6742baadf174d8f131ec5c25,1,0.629,22.664
org0-member0,20506d4897356ebc9ba221aa288cdded39ca6c9b0279aa6a70602fec3929dd72,1,0.589,24.612
org0-member0,2199697eabe0c4824e93ab390b168c460e57d55d303cd554b5e621359158c3dd,1,0.637,27.737
org0-member0,2220a32b86a4e308941d673fc90a9fed05342cbdbe01bd87a285f79a59f9bea5,1,0.624,38.639
org0-member0,24500b95f7bd236f91545dabff82f16b3c7c14c99c538cf08d378bfb7fa7aefe,1,0.569,40.592
org0-member0,25d56f6b4453b49fc7ea6c7851ca54fc3a95b8e9afc41bf3359ff30049e6447c,1,0.626,72.768
org0-member0,29752cd1da55b80a2ec5802797e42fe5553efff72cc0d5109f79fc9cb2a74b48,1,0.622,16.641
org0-member0,2b7c39ee98f9015fc8becab0ec2f8625349b2d8bd81142f1d09b747992f17f7c,1,0.627,26.613
org0-member0,2f4d1e88132bb5ed8241e4262a19b4bbb814ea7490abb47878a84689ecadb019,1,0.891,33.171
org0-member0,30026812aecee34456713d70a5780ff2e8af9cf9c353991334ffc193fc97c65f,1,0.637,26.625
org0-member0,3fcfaa675582bd00c1701f4873e79eb74efb50ad548b69026065da5d974ed118,1,0.603,44.879
org0-member0,42ea220e45b9aaecca42ca65d5622563a4457918721bbe4c46d0998e2ae62e2f,1,22.475,85.223
org0-member0,42ea220e45b9aaecca42ca65d5622563a4457918721bbe4c46d0998e2ae62e2f,2,0.622,0.042
org0-member0,486454907e8a045fc73358655de5bf2fc1ad0f1ecce595987f8d0791966e838c,1,2.477,13.943
org0-member0,486454907e8a045fc73358655de5bf2fc1ad0f1ecce595987f8d0791966e838c,2,14.467,61.131
org0-member0,501ba8399368768a0b947ea5d0a49c9f6dc6c7af1c52db6801212b0fb1be9362,1,0.618,22.694
org0-member0,502bf502c583ea2c3c562dc95d8faabf3b7019bc3c47108c63cf00799b115dbd,1,0.632,24.733
org0-member0,514b8e1ce9475fac9e16d80e04f30378852ef3ba35879fb6b31eb5aefe67a451,1,0.625,23.756
org0-member0,5a3b260cdddb889196249936a884f540b0be7e80bf7cad1694cc3802f4bcadc2,1,0.635,32.804
org0-member0,5ad2971c62e30e52ca0ab018d52ce679a5cae8956e7aced5943ba7fa4968aff1,1,0.625,20.773
org0-member0,5d20af3889f8e0a15695db86bae845f1a30907bca445dd897cb35a7f122266fc,1,0.629,19.931
org0-member0,5f77bc56de6ce40d8bda438a900c0287903136cff048882b30f321c6fac132d2,1,0.618,18.365
org0-member0,688d4f6314849f9200e0269cef62e6eccccd1e5a439af4cc1e91a92b9c4cf067,1,0.63,38.497
org0-member0,6dd3b9264acedf702ed2913383e10aeed989dd03f0d13fb23e830d30513de0fe,1,0.655,51.066
org0-member0,701a92cf5daa187375c15d3382372ef28c179b35db412f69bb59a01cf560f8da,1,0.95,14.349
org0-member0,726168cfc6795aeaa3bacab804605041b4f331f41c8b90cb943912fb8b7864a6,1,0.689,40.721
org0-member0,7ac7442a05e9217415fb50226ff668127588fad13ce5e9e276bdd750c94cfc90,1,0.619,26.664
org0-member0,8308f09eb51d788a1add80ca927cdf13cf556813d24ebf505202d81ee7906e04,1,0.591,41.144
org0-member0,8308f09eb51d788a1add80ca927cdf13cf556813d24ebf505202d81ee7906e04,2,0.615,0.037
org0-member0,86938ce746cabff10280c8d86c0a1d1f785f4f2db40a46694bf32648c5178666,1,0.613,46.488
org0-member0,89897fa7339f9906b69e006c3bc3aaa739309708c2e5e4c009139302ccb7cc80,1,2.637,22.76
org0-member0,8c312afc394609e53209986805995d789fd80a83b45372ccfa2a52cdbc99a920,1,0.631,23.685
org0-member0,8ca50dc68f0c3e5ff977fd58fab0c6f132e179412185572cca1139c1d638fd59,1,0.709,19.784
org0-member0,8caa1f8805c4ecfcdb14a24513936fe4b65832b05ed9775e1c8f0b4b78b4ca31,1,0.626,23.747
org0-member0,8cbc122cf5c1bc0a5bfe831688d6bed9cc66ef883caded88acf670f96fbd4704,1,0.637,29.755
org0-member0,912a05b4e3901358e4ef462198b6f8fd987b9304dfe7a561ad4ee5b29b5b4c5b,1,0.626,20.778
org0-member0,939d9bf985bce67ad2e44b5dccea374bf2235a5f3e17730b6f3b5585f652375e,1,0.567,25.853
org0-member0,95661f4b035d20bd27069b5191d121671161e765884004032897a3d0744112e5,1,0.758,22.76
org0-member0,9a50efc5767cb572e284698fff120cd9717d2c4bd9ddfa83880faba3eaa79ab2,1,0.621,16.512
org0-member0,a33511e228c300ad891628947c512198a1ef917e41413fd904a4d0b81d120169,1,0.625,24.508
org0-member0,a4298c2d614fd42b3f2eb33afc0b079b38c426b387673f93c43b313df09d8fef,1,0.628,26.806
org0-member0,b852e29a78a3de901124dc873df86b2514a47d871b0ee96218bdf49fff69b83e,1,0.643,39.749
org0-member0,bf18b9ba928c4e9e711b3e1b17e36a7bc34668fe4371658d24c842b6579e7ad0,1,0.64,37.693
org0-member0,c1272d0c3f0439533a2bba945905739bfb9ea9b504776d495e0c68cb96d8bbcd,1,0.624,45.739
org0-member0,c197c48eb53cee1eecbd692362663978d5a1ac06cef7b2347fe042a6222e668e,1,0.637,31.268
org0-member0,c3b811b412fd1565ff99b623818deb06baee2776a4322d072ff341b3cbdf74d7,1,8.856,33.194
org0-member0,c620f27fd121eee95e58a361b2dca356266c45abef08749651d79db575173498,1,0.63,19.603
org0-member0,cc63e3e20441b89b6d3f6da0328cde154799220c9c12494124268ce0f8b7046e,1,0.563,18.615
