order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,0,f83f33a3ca885eebcfd4d5e7d281e6d7d724603faf24e405f00313140659266f,3,committee1,1789836519619414000,1789836519829167000,1789836519826091000,1789836519778293000,1789836519755136000,1789836519755458000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520825322000,0.253,0.732,209.753,2.45,132.54,10.13,64.633,0.14,71.574,23.749,47.798,-70.983,-71.296,-70.955,2.852,0.201,2.495,249.245,0.25,266.705,0.39,0.003,0.093,4.095,32.323,98.085,135.722,789.733,579.98,653.689,272.272,16.363,0.229,0.01,9.563,27.528,-5.044,382.902,33.273,320.929,1110.662,1205.908
2,4,a7775a0fa1693ad2bf6d99e44b9198bb989d67f2633e8e01db4c20f2c92c661c,3,committee1,1789836519619434000,1789836519829180000,1789836519868099000,1789836519826327000,1789836519790109000,1789836519790271000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520809452000,0.273,31.673,209.746,1.946,137.056,5.851,64.893,6.777,103.018,61.114,41.772,-78.122,-78.328,-77.99,2.318,0.046,2.126,214.801,0.25,266.705,1.673,0.003,0.048,2.862,32.323,98.085,170.675,789.713,579.967,618.876,272.272,16.363,0.229,0.01,9.563,27.528,-5.15,382.902,17.403,320.823,1110.536,1190.018
3,6,19e10ce7d05a0325f7154eb9c26d6a27344d098f6e4b4af810538806a25c00d9,3,committee1,1789836519619455000,1789836519704067000,1789836519741042000,1789836519700042000,1789836519673721000,1789836519673920000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520827140000,0.294,0.641,84.612,0.527,53.098,0.087,30.9,0.14,67.834,26.822,41.0,-67.334,-67.694,-67.321,1.089,0.08,0.836,332.442,0.25,266.705,0.006,0.007,0.075,4.497,32.323,98.085,54.266,789.692,705.08,735.227,272.272,16.363,0.229,0.01,9.563,27.528,-5.074,382.902,35.091,320.899,1110.591,1207.685
4,7,71d43e5b1b438bd61d256a9c075691b50cd590e4d28fa32396e3d2ab6d804d44,3,committee1,1789836519619457000,1789836519865332000,1789836519868099000,1789836519826356000,1789836519802218000,1789836519802373000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520786878000,0.296,36.879,245.875,0.698,145.184,13.775,86.218,13.751,89.148,47.266,41.743,-66.02,-66.196,-65.881,2.385,0.041,2.191,202.634,0.25,266.705,3.282,0.003,0.05,1.251,32.323,98.085,182.761,789.69,543.815,606.774,272.272,16.363,0.229,0.01,9.563,27.528,5.349,382.902,-5.171,331.322,1121.012,1167.421
5,3,2f4d1e88132bb5ed8241e4262a19b4bbb814ea7490abb47878a84689ecadb019,3,committee1,1789836519619462000,1789836519829115000,1789836519826091000,1789836519778303000,1789836519755139000,1789836519755451000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520796743000,0.301,0.682,209.653,0.834,134.161,10.116,64.542,0.136,71.629,23.71,47.788,-71.084,-71.293,-70.952,2.182,0.197,1.832,249.915,0.25,266.705,0.315,0.006,0.063,4.201,32.323,98.085,135.677,789.685,580.032,653.696,272.272,16.363,0.229,0.01,9.563,27.528,-5.178,382.902,4.694,320.795,1110.48,1177.281
6,5,607ecfae8cdc46b286966f8b3603d7abb3cf1f802ddb77861ce7d860d2099e69,3,committee1,1789836519619471000,1789836519865410000,1789836519868099000,1789836519826270000,1789836519799467000,1789836519799672000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520836285000,0.31,33.888,245.939,3.194,142.914,13.568,86.263,0.44,102.235,60.251,41.829,-68.788,-68.957,-68.632,2.41,0.09,2.173,205.353,0.25,266.705,3.055,0.004,0.048,1.479,32.323,98.085,179.996,789.676,543.737,609.475,272.272,16.363,0.229,0.01,9.563,27.528,5.338,382.902,44.236,331.311,1120.987,1216.814
7,34,f29e9646f81819b452f65d1697be034e95eaa7e5cdc707d515fd0292f2ea92a1,3,committee1,1789836519619477000,1789836519865194000,1789836519868099000,1789836519826397000,1789836519786179000,1789836519786324000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520809497000,0.316,20.202,245.717,1.372,145.128,13.361,85.856,0.157,102.115,60.263,41.702,-82.071,-82.242,-81.92,2.256,0.029,2.083,218.791,0.25,266.705,1.354,0.003,0.048,3.18,32.323,98.085,166.702,789.67,543.953,622.823,272.272,16.363,0.229,0.01,9.563,27.528,5.279,382.902,17.448,331.252,1120.922,1190.02
8,9,2bf380414f99b8503b063271c9d029f3073a31f6b6a20bacacc7e3dc4fc3bb41,3,committee1,1789836519619478000,1789836519865299000,1789836519826091000,1789836519778363000,1789836519758309000,1789836519758478000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520809484000,0.317,3.712,245.821,0.705,134.414,10.382,100.32,0.142,71.497,23.624,47.728,-67.928,-68.101,-67.782,7.052,0.051,2.187,246.533,0.25,266.705,0.689,0.003,0.056,3.837,32.323,98.085,138.831,789.669,543.848,650.669,272.272,16.363,0.229,0.01,9.563,27.528,5.418,382.902,17.435,331.391,1121.06,1190.006
9,8,cc63e3e20441b89b6d3f6da0328cde154799220c9c12494124268ce0f8b7046e,3,committee1,1789836519619483000,1789836519865266000,1789836519826091000,1789836519778460000,1789836519826749000,1789836519826890000,1789836520409147000,1789836520735120000,1789836520792049000,1789836520827499000,0.322,61.344,245.783,5.021,140.901,13.659,86.202,0.175,60.644,12.88,47.631,0.524,0.291,0.658,13.791,0.038,13.575,166.733,0.25,266.705,3.718,0.003,0.044,0.82,32.323,98.085,207.266,789.664,543.881,582.257,272.272,16.363,0.229,0.01,9.563,27.528,5.24,382.902,35.45,331.213,1120.877,1208.016
10,63,42ea220e45b9aaecca42ca65d5622563a4457918721bbe4c46d0998e2ae62e2f,2,committee2,1789836519619484000,1789836519686111000,1789836519700031000,1789836519668126000,1789836519668546000,1789836519668708000,1789836519963232000,1789836520278054000,1789836520299090000,1789836520287601000,0.323,0.781,66.627,0.627,47.654,0.099,18.247,0.151,32.134,0.21,31.905,-31.506,-32.096,-31.485,1.206,0.045,0.88,11.829,0.009,231.706,0.011,0.006,0.144,0.023,29.754,20.161,49.062,343.748,277.121,294.524,281.673,0.385,0.101,0.007,0.184,32.464,8.445,335.858,-11.489,323.267,667.015,668.117
