fact,member_url,validation_ms,storage_queue_ms,storage_callback_ms,storage_return_ms,vote_sign_ms
275db1c1a900ae8fe15468e8ae55bd5f98be625417d4c158cba2663edfb1e72b,http://127.0.0.1:28002,0.85825,24.046458,0.046417,18.259708,0.0135
275db1c1a900ae8fe15468e8ae55bd5f98be625417d4c158cba2663edfb1e72b,http://127.0.0.1:28000,17.568417,23.455417,0.054667,28.058541,0.013292
275db1c1a900ae8fe15468e8ae55bd5f98be625417d4c158cba2663edfb1e72b,http://127.0.0.1:28003,0.749042,25.8235,0.0495,22.492833,0.013167
ddcc6c2098288a2c5bb6622d513b992f66b52e8cec378be20adcb455c5962c2f,http://127.0.0.1:28002,12.077792,24.874458,0.051334,19.675083,0.014292
ddcc6c2098288a2c5bb6622d513b992f66b52e8cec378be20adcb455c5962c2f,http://127.0.0.1:28000,18.424208,22.728,0.041833,26.696834,0.013375
ddcc6c2098288a2c5bb6622d513b992f66b52e8cec378be20adcb455c5962c2f,http://127.0.0.1:28003,1.24175,25.537166,0.045459,22.335458,0.013458
a085e4e8101cbc35f3a31af1ea1440118949b36eecbc80d31cdaca77192f2dee,http://127.0.0.1:28002,25.018416,20.991959,0.048166,18.386959,0.018125
a085e4e8101cbc35f3a31af1ea1440118949b36eecbc80d31cdaca77192f2dee,http://127.0.0.1:28000,1.910333,23.549958,0.044625,28.6755,0.015709
a085e4e8101cbc35f3a31af1ea1440118949b36eecbc80d31cdaca77192f2dee,http://127.0.0.1:28003,35.11325,3.173708,0.0435,21.44075,0.015167
b5a11e148c2e17f714ffd4a5109502acb3ba5edd1b726b2cb41809a26733b9f3,http://127.0.0.1:28002,0.798542,24.568041,0.120875,18.901042,0.01925
b5a11e148c2e17f714ffd4a5109502acb3ba5edd1b726b2cb41809a26733b9f3,http://127.0.0.1:28000,0.440666,23.767084,0.833,21.341666,0.017334
b5a11e148c2e17f714ffd4a5109502acb3ba5edd1b726b2cb41809a26733b9f3,http://127.0.0.1:28003,0.628542,25.163958,0.108459,24.537083,0.01375
9011b3e813303a24f09e05d7ad9248c5418a5a442832d34cbd257c18d6ad4f56,http://127.0.0.1:28002,26.948083,21.18125,0.043208,18.2065,0.016084
9011b3e813303a24f09e05d7ad9248c5418a5a442832d34cbd257c18d6ad4f56,http://127.0.0.1:28000,13.952292,24.324042,0.268208,29.277584,0.013208
9011b3e813303a24f09e05d7ad9248c5418a5a442832d34cbd257c18d6ad4f56,http://127.0.0.1:28003,10.15375,0.007792,0.085083,19.518792,0.305333
59bf168ad2ad5aa4986a1b69659ec603743ec7bc9b3746e86e184f214e5cbd5e,http://127.0.0.1:28002,0.801791,20.979041,0.043084,17.865916,0.013375
59bf168ad2ad5aa4986a1b69659ec603743ec7bc9b3746e86e184f214e5cbd5e,http://127.0.0.1:28000,13.718042,24.222875,0.052459,29.890541,0.013417
59bf168ad2ad5aa4986a1b69659ec603743ec7bc9b3746e86e184f214e5cbd5e,http://127.0.0.1:28003,23.903541,24.572375,0.062375,18.928875,0.013333
53c4f38d0944e93686f5add158a1aa2f43fadb7a935552fd07eab4e8f5f218da,http://127.0.0.1:28002,23.123375,20.769833,0.0495,18.950292,0.013541
53c4f38d0944e93686f5add158a1aa2f43fadb7a935552fd07eab4e8f5f218da,http://127.0.0.1:28000,1.608959,22.703208,0.042292,26.694208,0.013667
53c4f38d0944e93686f5add158a1aa2f43fadb7a935552fd07eab4e8f5f218da,http://127.0.0.1:28003,11.8325,3.211375,0.046042,21.571625,0.015875
737c7baf46a7d42c4d8d9daa575253d66dce43aff549c77d27e14b5e19929467,http://127.0.0.1:28002,1.342708,21.506708,0.089042,26.56325,0.423375
737c7baf46a7d42c4d8d9daa575253d66dce43aff549c77d27e14b5e19929467,http://127.0.0.1:28000,14.706792,24.47125,0.046458,29.087333,0.013417
737c7baf46a7d42c4d8d9daa575253d66dce43aff549c77d27e14b5e19929467,http://127.0.0.1:28003,42.937125,14.559,0.04375,21.597375,0.014791
44d8138ca90e904e61a7ac8e95702053297acbeb88c2b2cb26206a4e6cd244c7,http://127.0.0.1:28002,3.895458,23.899416,0.046167,17.85825,0.301667
44d8138ca90e904e61a7ac8e95702053297acbeb88c2b2cb26206a4e6cd244c7,http://127.0.0.1:28000,1.48275,22.599333,0.04275,26.867125,0.013334
44d8138ca90e904e61a7ac8e95702053297acbeb88c2b2cb26206a4e6cd244c7,http://127.0.0.1:28003,10.486084,26.007083,0.050667,23.166375,0.01475
20e03333852ba18b2753f633d956f584fabc2636ebfd4d4798a7480e6232e220,http://127.0.0.1:28002,12.316542,10.208417,0.062167,26.309708,0.516542
20e03333852ba18b2753f633d956f584fabc2636ebfd4d4798a7480e6232e220,http://127.0.0.1:28000,13.606167,24.269583,0.30425,29.611459,0.013333
20e03333852ba18b2753f633d956f584fabc2636ebfd4d4798a7480e6232e220,http://127.0.0.1:28003,26.405209,24.188875,0.044209,18.007333,0.017917
7f7dadcbdecf3b2e0448d259cae0a3ffa3c6418da43a7fc09e203ab725ca4fa2,http://127.0.0.1:28002,0.701084,24.122959,0.045125,18.306041,0.027625
7f7dadcbdecf3b2e0448d259cae0a3ffa3c6418da43a7fc09e203ab725ca4fa2,http://127.0.0.1:28000,7.34275,16.874209,0.059541,21.25525,0.015459
7f7dadcbdecf3b2e0448d259cae0a3ffa3c6418da43a7fc09e203ab725ca4fa2,http://127.0.0.1:28003,1.226959,25.576,0.044125,22.411667,0.013208
477affb6cd8b521527f95396a01ddfc2c910bb99ae07e654046a9c5ff694ffff,http://127.0.0.1:28002,26.292,20.913625,0.045333,18.6225,0.013208
477affb6cd8b521527f95396a01ddfc2c910bb99ae07e654046a9c5ff694ffff,http://127.0.0.1:28000,16.927709,23.24575,0.04725,28.366334,0.020416
477affb6cd8b521527f95396a01ddfc2c910bb99ae07e654046a9c5ff694ffff,http://127.0.0.1:28003,23.915125,24.506084,0.104791,18.914792,0.016875
f2ba8ff1ae2aa315ffc8a6460101827818fda25a0330a02d9ff6eaaa2c6e4b66,http://127.0.0.1:28002,22.392958,20.839417,0.044333,18.723792,0.013417
f2ba8ff1ae2aa315ffc8a6460101827818fda25a0330a02d9ff6eaaa2c6e4b66,http://127.0.0.1:28001,41.496166,11.247791,1.848292,22.774083,0.014084
f2ba8ff1ae2aa315ffc8a6460101827818fda25a0330a02d9ff6eaaa2c6e4b66,http://127.0.0.1:28000,1.400292,23.47825,0.13025,27.387375,0.013166
f2d98a51f92384a9c86e169cc2bfd09b33247be0eacfe6015116e2a8577e6ab6,http://127.0.0.1:28002,26.684084,21.009916,0.040959,17.832541,0.027959
f2d98a51f92384a9c86e169cc2bfd09b33247be0eacfe6015116e2a8577e6ab6,http://127.0.0.1:28000,2.235583,24.584875,0.053792,29.230833,0.013292
f2d98a51f92384a9c86e169cc2bfd09b33247be0eacfe6015116e2a8577e6ab6,http://127.0.0.1:28003,24.282167,23.994375,0.04425,18.29525,0.0175
5530bfec343d659e67085ed9786acb20c174b894ee5d9a99a85e1909e34df7d5,http://127.0.0.1:28002,23.069958,20.800958,0.047625,18.835708,0.01525
5530bfec343d659e67085ed9786acb20c174b894ee5d9a99a85e1909e34df7d5,http://127.0.0.1:28000,16.311125,23.289292,0.0435,28.200291,0.013417
5530bfec343d659e67085ed9786acb20c174b894ee5d9a99a85e1909e34df7d5,http://127.0.0.1:28003,0.995,24.330667,0.114333,17.797625,0.015792
f8c0018fb0516ae2b0a9c4434d828796e83913978903898b901e8979c81def91,http://127.0.0.1:28002,26.1945,20.854584,0.047333,18.799125,0.013458
f8c0018fb0516ae2b0a9c4434d828796e83913978903898b901e8979c81def91,http://127.0.0.1:28000,1.356875,22.637959,0.041958,26.603292,0.047916
f8c0018fb0516ae2b0a9c4434d828796e83913978903898b901e8979c81def91,http://127.0.0.1:28003,23.190375,14.435,0.043083,22.071584,0.017416
88167602ff1c7c878cda8f623d83edeb677268251aadf8c57713450350828844,http://127.0.0.1:28002,0.628792,23.770542,0.045,17.847417,0.109666
88167602ff1c7c878cda8f623d83edeb677268251aadf8c57713450350828844,http://127.0.0.1:28000,1.3865,23.35325,0.144167,27.495,0.013916
88167602ff1c7c878cda8f623d83edeb677268251aadf8c57713450350828844,http://127.0.0.1:28003,24.346208,3.256333,0.044875,21.469,0.040875
d3c5fd091ccd40fa268032ca3470fea768885d33d201321d911d53d49384bcb8,http://127.0.0.1:28002,11.719458,10.260208,0.05025,26.374792,0.487875
d3c5fd091ccd40fa268032ca3470fea768885d33d201321d911d53d49384bcb8,http://127.0.0.1:28000,15.417792,23.520584,0.043541,28.673,0.013667
d3c5fd091ccd40fa268032ca3470fea768885d33d201321d911d53d49384bcb8,http://127.0.0.1:28003,11.18575,25.437708,0.145708,22.851167,0.0135
804f5cad5ad2e200e9cb680f762ceedb9b1bc810730299c6674e24597b589ad8,http://127.0.0.1:28002,0.470625,21.51075,0.054708,26.428,0.380917
804f5cad5ad2e200e9cb680f762ceedb9b1bc810730299c6674e24597b589ad8,http://127.0.0.1:28001,3.662625,22.87275,0.037791,21.549334,0.014333
804f5cad5ad2e200e9cb680f762ceedb9b1bc810730299c6674e24597b589ad8,http://127.0.0.1:28000,17.820042,22.656291,0.050209,27.021,0.015666
d789fb65f101f3c67e6fd74ca58238828b1ea4a09291fb18a71837a48035ca32,http://127.0.0.1:28002,12.071209,24.909708,0.051375,19.636167,0.01375
d789fb65f101f3c67e6fd74ca58238828b1ea4a09291fb18a71837a48035ca32,http://127.0.0.1:28000,3.664334,22.74575,0.046166,26.974667,0.032792
d789fb65f101f3c67e6fd74ca58238828b1ea4a09291fb18a71837a48035ca32,http://127.0.0.1:28003,26.408333,24.075708,0.045542,18.286792,0.013333
a131afa28f72c383d453bde27a1884e2f6d73841d83cc8b44077165cb71548d1,http://127.0.0.1:28002,13.435208,24.012583,0.083458,18.831084,0.016
a131afa28f72c383d453bde27a1884e2f6d73841d83cc8b44077165cb71548d1,http://127.0.0.1:28000,4.117792,23.217792,0.043958,27.98375,0.013292
a131afa28f72c383d453bde27a1884e2f6d73841d83cc8b44077165cb71548d1,http://127.0.0.1:28003,0.444667,19.526042,0.057916,25.316542,0.110792
016dfb46fb185958a5cc255ec4a53848f257327bc605ffc871da304734508374,http://127.0.0.1:28002,1.762792,24.298125,0.046,18.249917,0.200542
016dfb46fb185958a5cc255ec4a53848f257327bc605ffc871da304734508374,http://127.0.0.1:28000,3.644833,23.477875,0.045334,28.5415,0.0155
