member,fact,attempt,validation_ms,store_ms
org0-member0,0157ccadcae235e37aaef2da519d02b5a755a15aebefa222a3a862c34575a023,1,0.575,31.815
org0-member0,0157ccadcae235e37aaef2da519d02b5a755a15aebefa222a3a862c34575a023,2,20.337,0.012
org0-member0,016dfb46fb185958a5cc255ec4a53848f257327bc605ffc871da304734508374,1,0.628,23.19
org0-member0,016dfb46fb185958a5cc255ec4a53848f257327bc605ffc871da304734508374,2,0.633,37.081
org0-member0,05bbd7d764802ca7aa9f4794fa4315528c1b91deac0090a059ab915aec43f0d4,1,0.638,38.801
org0-member0,06166b63f581670b78f8f6ae7ebbc8c2a836a6802dadf03aed702dc0ce5695e4,1,0.615,18.885
org0-member0,076bbc37a0518ca2457eb4b0fe5364e7a0296d8c729eeb2c50586bb735aa7512,1,0.632,22.704
org0-member0,07dd326cb93349f45749a0b06cfebdfd76ff4d5796cf83e8cc159e9142b259a2,1,0.623,21.748
org0-member0,07f9dbe16f1b077310c30ec2fc1e831f8d993c7b76690760ef763756bf3dff7d,1,0.691,38.456
org0-member0,1063f59a302277e292a8fad5a201b459cd4955facee57ded4a834b11b1ee8d79,1,0.661,11.617
org0-member0,10c00a6ae3dbacc1dc71d0fb287e51e55240b98b0e58c3db9de95914a8d24072,1,0.619,19.675
org0-member0,1125f68404b3897ddbdca225e1fa0943ac113b6e39c2154a27f382a36c9c193c,1,0.629,38.796
org0-member0,12d93e478a03fab7b5f7fdd8d90d96fd5218e9aa9a7a15005d9339ced92f6508,1,0.663,43.708
org0-member0,13599cc91d32c8d39f8a4ac466f3b5a76b94ba2bcb70bfbcce62468a5ab73dc6,1,0.584,26.823
org0-member0,1a49609ba7344a62e4c051df3058050531f87baf7c7b84c2548cf55186ae37a4,1,0.633,44.723
org0-member0,1a58cda9a6d7b0f4c21e92b3ab90d6881a1b75ce21a6f81278ec88c733ef791f,1,1.003,23.341
org0-member0,1dd9a033a33e43fe88e7bf8b03f0897f4e42cebb3f6002a72ee65afb36ab0482,1,0.621,20.716
org0-member0,20e03333852ba18b2753f633d956f584fabc2636ebfd4d4798a7480e6232e220,1,0.57,29.589
org0-member0,217afe9b7031a566651198452ef15681b7cf256f2cf15564988e2319b087a8bd,1,0.543,20.798
org0-member0,2695292a809091e99e403833cccea5007a3c719af396eb38f45deb0fec834db0,1,0.592,25.385
org0-member0,275db1c1a900ae8fe15468e8ae55bd5f98be625417d4c158cba2663edfb1e72b,1,3.34,25.899
org0-member0,276761e60a0e0b88695e30bd056765651ff37975af5e7445e48626452d5103bd,1,0.616,44.187
org0-member0,33e02d51ab279ea4028c180da20cad77f7b705bc754ccc386c1c115beda824b5,1,0.63,18.689
org0-member0,379abe8c08c75ba9a6e868dc337e8cbe68c98e59bd853169fc7eb666a7bfbb01,1,0.626,23.786
org0-member0,38027ac675fab56d4a7ca514246989f7901f178b51560142e6b4fd6374833404,1,0.635,24.693
org0-member0,3cbfb56cc318f20066b2156ca3e1b0eca694a21105d5dea0fbb85c02857740fe,1,0.598,19.779
org0-member0,3cbfb56cc318f20066b2156ca3e1b0eca694a21105d5dea0fbb85c02857740fe,2,18.816,0.014
org0-member0,3dff69928d0eb47d5487d7a71f8f6d223545da7b5f27b27f933c3e4a39d0d40d,1,0.622,22.768
org0-member0,44d8138ca90e904e61a7ac8e95702053297acbeb88c2b2cb26206a4e6cd244c7,1,0.628,21.753
org0-member0,477affb6cd8b521527f95396a01ddfc2c910bb99ae07e654046a9c5ff694ffff,1,0.872,19.209
org0-member0,4ff2464bb51a8e1587215aeb5f638914920c79254361e7e0f4d2b3243a13e4ed,1,0.619,41.682
org0-member0,520470a00196d6454e529623df1210f6d9b6855ae767a08760bed55b450536db,1,0.599,20.972
org0-member0,53441334b843e88db5109f648a6fe3ca41174375bad540e45c44c6212a5ded74,1,0.621,26.035
org0-member0,53c4f38d0944e93686f5add158a1aa2f43fadb7a935552fd07eab4e8f5f218da,1,0.609,20.752
org0-member0,5a833d8b9a4e1944bfd036e8843bcde9be3491b34bc05a594adf690526db8c46,1,0.567,31.798
org0-member0,5a833d8b9a4e1944bfd036e8843bcde9be3491b34bc05a594adf690526db8c46,2,0.62,46.135
org0-member0,625a45bed720e43a859a4760bc2c9a0140f2d76ad204f897174a20d360686e1d,1,3.528,21.187
org0-member0,74e3227934ec5dfd145c29b4466f6065be909f1a9413d3cfe5fa3438445b3361,1,0.614,28.439
org0-member0,7aa61d6c723c099e2597a939a86a2a6402a1ddad6dbdee5eed62f128121c7584,1,0.623,24.655
org0-member0,7f7dadcbdecf3b2e0448d259cae0a3ffa3c6418da43a7fc09e203ab725ca4fa2,1,0.571,29.692
org0-member0,804f5cad5ad2e200e9cb680f762ceedb9b1bc810730299c6674e24597b589ad8,1,0.635,19.571
org0-member0,80aa5306215e7216bffd3f191766edf8667b78648e9c1073a87d693255f09de4,1,0.564,27.001
org0-member0,8693f2b0c72c9038d6d3759c45ea4a19720f9d46cc40c184c9f8138f3d21acbc,1,0.789,44.304
org0-member0,88167602ff1c7c878cda8f623d83edeb677268251aadf8c57713450350828844,1,0.62,21.729
org0-member0,88cdf6fa96598914eaf005a2563fa7a53f29db7fe39c6c70fe0766f0fec417ae,1,0.606,17.648
org0-member0,8c179633f8dcdbb54226efa0410a90dbdea63f919086a3bb8ccff119eae4d3b2,1,2.825,21.64
org0-member0,8c36c6c7f42da48b792f0a8c94c06973c04faca821069388e08cc4e8466f6e4c,1,0.622,32.683
org0-member0,8e0de4029092ab679965bf59329e7349235f90d0d2a1ce9021e6e391acc26748,1,0.629,37.866
org0-member0,9169e39e09299cd4f6a8245f9f9b31224318865d1b0e4254076887b04ad1c430,1,0.591,30.506
org0-member0,9306b8e7e59afc9c6f9eee876562046a942ccfefb9d42586569fd04beec73d93,1,0.626,25.43
