order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,63,275db1c1a900ae8fe15468e8ae55bd5f98be625417d4c158cba2663edfb1e72b,3,committee1,1789836540799370000,1789836540961057000,1789836540956984000,1789836540933787000,1789836540975615000,1789836540975767000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541870901000,0.275,68.358,161.687,1.314,106.573,9.124,44.676,9.005,40.914,17.525,23.197,18.438,18.282,18.631,2.44,0.034,2.257,182.119,0.539,308.4,2.514,0.003,0.051,2.171,49.241,28.97,176.245,752.663,590.976,576.266,236.306,4.541,0.223,0.01,1.161,27.733,-6.733,318.028,0.84,271.193,1023.856,1071.531
2,44,ddcc6c2098288a2c5bb6622d513b992f66b52e8cec378be20adcb455c5962c2f,3,committee1,1789836540799436000,1789836540939136000,1789836540932957000,1789836540916568000,1789836540974892000,1789836540975053000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541912129000,0.341,77.19,139.7,1.247,97.019,0.141,41.293,0.137,35.769,18.729,16.389,41.283,41.578,41.935,2.445,0.039,2.243,182.847,0.539,308.4,2.449,0.003,0.056,2.231,49.241,28.97,175.456,752.597,612.897,576.98,236.306,4.541,0.223,0.01,1.161,27.733,0.488,318.028,42.068,278.414,1031.011,1112.693
3,14,a085e4e8101cbc35f3a31af1ea1440118949b36eecbc80d31cdaca77192f2dee,3,committee1,1789836540799451000,1789836540939226000,1789836540932957000,1789836540916613000,1789836540917147000,1789836540926171000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541865956000,0.356,18.748,139.775,1.248,97.7,7.912,32.915,0.117,35.236,18.097,16.344,-16.606,-16.352,-15.81,9.92,8.905,0.857,233.115,0.539,308.4,0.657,0.004,0.055,4.023,49.241,28.97,117.696,752.582,612.807,625.862,236.306,4.541,0.223,0.01,1.161,27.733,0.183,318.028,-4.105,278.109,1030.691,1066.505
4,1,b5a11e148c2e17f714ffd4a5109502acb3ba5edd1b726b2cb41809a26733b9f3,3,committee1,1789836540799457000,1789836540961010000,1789836540956984000,1789836540933848000,1789836540957618000,1789836540957776000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541910892000,0.362,59.069,161.553,2.671,96.421,17.768,44.693,9.03,49.641,26.269,23.136,0.395,0.1,0.634,2.331,0.038,2.084,200.283,0.539,308.4,1.113,0.003,0.044,3.579,49.241,28.97,158.161,752.576,591.023,594.257,236.306,4.541,0.223,0.01,1.161,27.733,0.44,318.028,40.831,278.366,1030.942,1111.435
5,2,9011b3e813303a24f09e05d7ad9248c5418a5a442832d34cbd257c18d6ad4f56,3,committee1,1789836540799480000,1789836540939274000,1789836540932957000,1789836540916516000,1789836540898162000,1789836540898354000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541870545000,0.385,0.672,139.794,1.243,96.767,0.29,41.494,0.139,35.833,18.887,16.441,-35.304,-35.237,-34.795,8.048,0.074,1.002,260.787,0.539,308.4,0.229,0.005,0.07,4.435,49.241,28.97,98.682,752.553,612.759,653.679,236.306,4.541,0.223,0.01,1.161,27.733,9.474,318.028,0.484,287.4,1039.953,1071.065
6,10,59bf168ad2ad5aa4986a1b69659ec603743ec7bc9b3746e86e184f214e5cbd5e,3,committee1,1789836540799490000,1789836540985004000,1789836540981045000,1789836540957171000,1789836540989353000,1789836540989509000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541912160000,0.395,56.15,185.514,1.266,132.447,6.055,45.746,0.134,47.892,23.834,23.874,8.124,7.981,8.308,7.791,0.04,7.584,163.05,0.539,308.4,3.611,0.003,0.051,1.074,49.241,28.97,189.863,752.543,567.029,562.524,236.306,4.541,0.223,0.01,1.161,27.733,5.212,318.028,42.099,283.138,1035.681,1112.67
7,28,53c4f38d0944e93686f5add158a1aa2f43fadb7a935552fd07eab4e8f5f218da,3,committee1,1789836540799492000,1789836540961027000,1789836540956984000,1789836540933831000,1789836540981717000,1789836540981873000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541870838000,0.397,74.302,161.535,1.367,106.556,9.081,44.531,9.324,40.469,17.092,23.153,24.508,24.353,24.733,2.331,0.037,2.142,176.128,0.539,308.4,2.895,0.004,0.055,1.786,49.241,28.97,182.225,752.541,591.006,570.16,236.306,4.541,0.223,0.01,1.161,27.733,0.551,318.028,0.777,278.477,1031.018,1071.346
8,35,737c7baf46a7d42c4d8d9daa575253d66dce43aff549c77d27e14b5e19929467,3,committee1,1789836540799518000,1789836540939275000,1789836540932957000,1789836540916620000,1789836541004827000,1789836541004979000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541908938000,0.423,106.553,139.757,2.549,96.207,8.245,32.756,0.129,35.347,18.217,16.337,71.076,71.544,71.87,2.452,0.037,2.252,152.912,0.539,308.4,4.174,0.003,0.052,0.51,49.241,28.97,205.309,752.515,612.758,547.054,236.306,4.541,0.223,0.01,1.161,27.733,0.219,318.028,38.877,278.145,1030.66,1109.42
9,18,44d8138ca90e904e61a7ac8e95702053297acbeb88c2b2cb26206a4e6cd244c7,3,committee1,1789836540799532000,1789836540961026000,1789836540956984000,1789836540933773000,1789836540970937000,1789836540971102000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541912204000,0.437,63.961,161.494,1.373,106.071,9.295,44.755,0.147,50.045,26.65,23.211,13.768,3.605,13.953,2.817,0.042,2.618,186.423,0.539,308.4,1.897,0.008,0.247,2.587,49.241,28.97,171.405,752.501,591.007,580.931,236.306,4.541,0.223,0.01,1.161,27.733,0.145,318.028,42.143,278.071,1030.572,1112.672
10,9,20e03333852ba18b2753f633d956f584fabc2636ebfd4d4798a7480e6232e220,3,committee1,1789836540799538000,1789836540961077000,1789836540981045000,1789836540957212000,1789836540970587000,1789836540970797000,1789836541552033000,1789836541829959000,1789836541870061000,1789836541892372000,0.443,53.37,161.539,3.916,113.763,0.135,43.725,9.398,54.604,30.597,23.833,-10.634,-10.83,-10.458,1.035,0.09,0.788,188.558,0.539,308.4,1.398,0.003,0.049,3.289,49.241,28.97,171.049,752.495,590.956,581.236,236.306,4.541,0.223,0.01,1.161,27.733,0.193,318.028,22.311,278.119,1030.614,1092.834
