fact,member_url,validation_ms,storage_queue_ms,storage_callback_ms,storage_return_ms,vote_sign_ms
2077389a378d75f2b37b89da47ba12e31aebf7a8c1dc949b3c16ce5484cf79ef,http://127.0.0.1:28001,0.464458,0.013625,0.162458,14.018459,0.662791
2077389a378d75f2b37b89da47ba12e31aebf7a8c1dc949b3c16ce5484cf79ef,http://127.0.0.1:28000,16.119708,15.418209,0.047666,39.420542,0.016375
2077389a378d75f2b37b89da47ba12e31aebf7a8c1dc949b3c16ce5484cf79ef,http://127.0.0.1:28003,0.452375,12.351459,1.306708,15.825958,0.014375
3d97b0e09b7dd21ec93b736a76f86f38249d223cb58d6aaceb66493800bf8d8d,http://127.0.0.1:28002,0.514042,0.011,0.138417,16.417292,0.72125
3d97b0e09b7dd21ec93b736a76f86f38249d223cb58d6aaceb66493800bf8d8d,http://127.0.0.1:28000,0.770833,8.5095,0.482166,19.925459,0.015
3d97b0e09b7dd21ec93b736a76f86f38249d223cb58d6aaceb66493800bf8d8d,http://127.0.0.1:28003,0.498,0.010166,0.453292,12.064667,0.030041
693f2cb3ab575192c8e7dbf4532eaf1e406fa4aa557b13579576128296e3714e,http://127.0.0.1:28001,12.774208,16.771542,0.921916,61.072834,0.014625
693f2cb3ab575192c8e7dbf4532eaf1e406fa4aa557b13579576128296e3714e,http://127.0.0.1:28000,1.856042,0.014,0.139917,15.536458,3.844708
693f2cb3ab575192c8e7dbf4532eaf1e406fa4aa557b13579576128296e3714e,http://127.0.0.1:28003,12.328416,14.912875,0.042917,43.694917,0.013375
7ebb89a2cd7d7c31bea4f5e28a4b9519d783035c0e95b41a89fa0556275e681a,http://127.0.0.1:28002,7.417083,15.564208,1.650875,15.484625,0.143417
7ebb89a2cd7d7c31bea4f5e28a4b9519d783035c0e95b41a89fa0556275e681a,http://127.0.0.1:28000,0.916042,15.443042,0.286792,20.686916,0.015459
7ebb89a2cd7d7c31bea4f5e28a4b9519d783035c0e95b41a89fa0556275e681a,http://127.0.0.1:28003,0.809416,14.412209,0.038541,43.561834,0.013625
380270c2198cc6f979750aced3b17339b9c43f817409537105889b63c66f251a,http://127.0.0.1:28001,14.778875,62.078625,0.044875,16.47225,0.013417
380270c2198cc6f979750aced3b17339b9c43f817409537105889b63c66f251a,http://127.0.0.1:28000,3.291792,17.919958,0.045292,41.463541,0.013542
380270c2198cc6f979750aced3b17339b9c43f817409537105889b63c66f251a,http://127.0.0.1:28003,0.4425,13.499,0.060458,11.331542,0.014458
2dabe19b0e400abd1ded9ace43dd27a0243690449c4be3462464e300bdf352c2,http://127.0.0.1:28001,12.439083,12.784834,0.226625,16.671166,0.821
2dabe19b0e400abd1ded9ace43dd27a0243690449c4be3462464e300bdf352c2,http://127.0.0.1:28000,14.348875,15.733125,0.044917,41.075458,0.017167
2dabe19b0e400abd1ded9ace43dd27a0243690449c4be3462464e300bdf352c2,http://127.0.0.1:28003,3.584875,14.763791,0.048709,42.587791,0.013375
6840a1c94b2d253b6efa91450f15f1510b8365100e72ad56a8944e8df397c00d,http://127.0.0.1:28002,0.4465,17.197208,6.001959,17.138583,0.149167
6840a1c94b2d253b6efa91450f15f1510b8365100e72ad56a8944e8df397c00d,http://127.0.0.1:28001,0.448917,13.41775,0.422917,12.755583,0.015959
6840a1c94b2d253b6efa91450f15f1510b8365100e72ad56a8944e8df397c00d,http://127.0.0.1:28003,1.072875,12.4665,3.919417,11.878708,0.015584
c9ea07ac50b899cec12ca80c6796c54654eafe91cfd34fa02ab0380db65633b1,http://127.0.0.1:28001,14.750584,62.021,0.043458,16.55925,0.01375
c9ea07ac50b899cec12ca80c6796c54654eafe91cfd34fa02ab0380db65633b1,http://127.0.0.1:28000,5.599709,15.798084,0.048416,40.52925,0.015167
c9ea07ac50b899cec12ca80c6796c54654eafe91cfd34fa02ab0380db65633b1,http://127.0.0.1:28003,4.239791,14.810417,0.046458,42.543042,0.013417
7de62e62de61fa051a4112b76a264bf5a85d522d73ac75d87fb4330d1994c7d9,http://127.0.0.1:28001,7.107291,11.026834,0.043291,59.611959,0.013208
7de62e62de61fa051a4112b76a264bf5a85d522d73ac75d87fb4330d1994c7d9,http://127.0.0.1:28000,1.917958,15.455083,0.047458,39.410584,0.013458
7de62e62de61fa051a4112b76a264bf5a85d522d73ac75d87fb4330d1994c7d9,http://127.0.0.1:28003,5.666208,14.893792,0.045541,42.241959,0.013416
4499076223b746df4a3170cf8f37afec4b17d1474821cd646a2223065688a8e9,http://127.0.0.1:28001,24.111792,61.956708,0.047709,16.600083,0.013917
4499076223b746df4a3170cf8f37afec4b17d1474821cd646a2223065688a8e9,http://127.0.0.1:28000,15.986375,15.429792,0.047291,39.428125,0.013584
4499076223b746df4a3170cf8f37afec4b17d1474821cd646a2223065688a8e9,http://127.0.0.1:28003,2.968375,13.838791,0.419167,11.458708,0.015375
d8c463f96b37ee6e3ab6b708576ef60269188b8e18dafe8398b2574feb5d24ad,http://127.0.0.1:28001,23.769583,61.738541,0.09475,16.960834,0.015958
d8c463f96b37ee6e3ab6b708576ef60269188b8e18dafe8398b2574feb5d24ad,http://127.0.0.1:28000,13.852375,16.241542,0.045625,41.360958,0.01425
