order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,4,2077389a378d75f2b37b89da47ba12e31aebf7a8c1dc949b3c16ce5484cf79ef,3,committee1,1789836526579818000,1789836526762739000,1789836526768706000,1789836526716039000,1789836526719328000,1789836526719509000,1789836527373670000,1789836527721767000,1789836527738681000,1789836527797534000,0.069,21.674,182.921,0.988,116.848,0.208,64.877,0.122,71.07,18.263,52.667,-49.519,-49.829,-49.378,1.563,0.063,1.344,246.151,0.224,302.504,0.654,0.005,0.056,4.134,30.32,68.768,139.51,793.852,610.931,654.161,231.556,18.006,0.227,0.017,1.099,89.257,-8.989,365.011,58.853,339.108,1132.96,1217.716
2,7,3d97b0e09b7dd21ec93b736a76f86f38249d223cb58d6aaceb66493800bf8d8d,2,committee2,1789836526579819000,1789836526639735000,1789836526639712000,1789836526623605000,1789836526623764000,1789836526623928000,1789836526955740000,1789836527273833000,1789836527276744000,1789836527291038000,0.07,0.513,59.916,0.652,42.78,0.106,16.378,0.157,16.333,0.197,16.107,-15.978,-16.292,-15.948,1.093,0.046,0.87,11.789,0.009,253.095,0.029,0.009,0.105,0.02,26.984,38.901,43.945,375.921,316.005,331.812,262.297,0.724,0.102,0.007,0.04,54.764,-9.005,321.004,14.294,309.088,685.009,711.219
3,9,693f2cb3ab575192c8e7dbf4532eaf1e406fa4aa557b13579576128296e3714e,3,committee1,1789836526579827000,1789836526794736000,1789836526818671000,1789836526768871000,1789836526748861000,1789836526749029000,1789836527373670000,1789836527721767000,1789836527738681000,1789836527797444000,0.078,43.344,214.909,0.622,125.068,6.521,82.698,10.561,102.612,52.793,49.8,-69.83,-70.147,-69.81,9.953,0.055,2.212,215.763,0.224,302.504,3.911,0.004,0.051,0.882,30.32,68.768,169.034,793.843,578.934,624.641,231.556,18.006,0.227,0.017,1.099,89.257,-1.976,365.011,58.763,346.121,1139.964,1217.617
4,5,7ebb89a2cd7d7c31bea4f5e28a4b9519d783035c0e95b41a89fa0556275e681a,3,committee1,1789836526579832000,1789836526686715000,1789836526715691000,1789836526696863000,1789836526698178000,1789836526705374000,1789836527373670000,1789836527721767000,1789836527738681000,1789836527733111000,0.083,38.999,106.883,1.043,78.304,0.111,27.425,31.945,27.167,5.739,18.828,-20.116,-24.262,-17.513,18.054,0.228,1.454,260.176,0.224,302.504,0.386,0.004,0.069,4.39,30.32,68.768,118.346,793.838,686.955,668.296,231.556,18.006,0.227,0.017,1.099,89.257,-8.874,365.011,-5.57,339.223,1133.061,1153.279
5,8,380270c2198cc6f979750aced3b17339b9c43f817409537105889b63c66f251a,3,committee1,1789836526580000000,1789836526794748000,1789836526818671000,1789836526769082000,1789836526748362000,1789836526748540000,1789836527373670000,1789836527721767000,1789836527738681000,1789836527762412000,0.251,30.5,214.748,0.813,137.049,1.381,75.505,0.806,100.042,50.414,49.589,-70.349,-70.656,-70.309,10.409,0.061,1.832,216.632,0.224,302.504,3.848,0.003,0.056,0.942,30.32,68.768,168.362,793.67,578.922,625.13,231.556,18.006,0.227,0.017,1.099,89.257,0.781,365.011,23.731,348.878,1142.548,1182.412
6,6,2dabe19b0e400abd1ded9ace43dd27a0243690449c4be3462464e300bdf352c2,3,committee1,1789836526580027000,1789836526711693000,1789836526768706000,1789836526716075000,1789836526705323000,1789836526715974000,1789836527373670000,1789836527721767000,1789836527738681000,1789836527762727000,0.278,13.75,131.666,0.477,111.069,0.21,19.91,0.248,77.068,24.254,52.631,-63.568,-76.792,-63.383,11.975,10.523,0.81,250.22,0.224,302.504,0.465,0.003,0.054,4.327,30.32,68.768,125.296,793.643,661.977,657.696,231.556,18.006,0.227,0.017,1.099,89.257,-9.008,365.011,24.046,339.089,1132.732,1182.7
7,61,6840a1c94b2d253b6efa91450f15f1510b8365100e72ad56a8944e8df397c00d,3,committee1,1789836526580070000,1789836526654689000,1789836526696739000,1789836526639730000,1789836526626685000,1789836526626844000,1789836527373670000,1789836527721767000,1789836527738681000,1789836527762409000,0.321,0.591,74.619,0.72,45.304,0.069,28.526,0.127,70.724,13.509,57.009,-70.261,-70.424,-70.054,1.019,0.042,0.817,339.343,0.224,302.504,0.007,0.007,0.189,4.646,30.32,68.768,46.615,793.6,718.981,746.826,231.556,18.006,0.227,0.017,1.099,89.257,8.119,365.011,23.728,356.216,1149.816,1182.339
8,11,c9ea07ac50b899cec12ca80c6796c54654eafe91cfd34fa02ab0380db65633b1,3,committee1,1789836526580105000,1789836526794744000,1789836526818671000,1789836526768985000,1789836526732742000,1789836526732999000,1789836527373670000,1789836527721767000,1789836527738681000,1789836527763565000,0.356,15.116,214.639,0.851,136.67,1.59,75.528,0.149,100.928,51.21,49.686,-85.962,-86.272,-85.929,2.429,0.141,2.134,231.871,0.224,302.504,2.499,0.004,0.054,2.293,30.32,68.768,152.637,793.565,578.926,640.671,231.556,18.006,0.227,0.017,1.099,89.257,0.477,365.011,24.884,348.574,1142.139,1183.46
9,10,7de62e62de61fa051a4112b76a264bf5a85d522d73ac75d87fb4330d1994c7d9,3,committee1,1789836526580130000,1789836526794725000,1789836526768706000,1789836526716080000,1789836526719236000,1789836526719451000,1789836527373670000,1789836527721767000,1789836527738681000,1789836527794118000,0.381,21.018,214.595,5.94,112.148,13.652,82.855,6.746,63.93,11.116,52.626,-49.659,-49.81,-49.47,3.028,0.096,2.772,244.781,0.224,302.504,0.784,0.003,0.05,4.012,30.32,68.768,139.106,793.54,578.945,654.219,231.556,18.006,0.227,0.017,1.099,89.257,0.3,365.011,55.437,348.397,1141.937,1213.988
10,37,4499076223b746df4a3170cf8f37afec4b17d1474821cd646a2223065688a8e9,3,committee1,1789836526580140000,1789836526794778000,1789836526818671000,1789836526768955000,1789836526738240000,1789836526738393000,1789836527373670000,1789836527721767000,1789836527738681000,1789836527763581000,0.391,21.267,214.638,0.691,136.142,2.115,75.69,0.38,101.359,51.602,49.716,-80.472,-80.757,-80.431,2.518,0.039,2.313,226.298,0.224,302.504,2.998,0.003,0.054,1.794,30.32,68.768,158.1,793.53,578.892,635.277,231.556,18.006,0.227,0.017,1.099,89.257,0.002,365.011,24.9,348.099,1141.629,1183.441
