case,second,sent,ready_pending,gate_waiting,public_pending,members_pending,oldest_members_s
v3-1000-A-1,0,0,0,0,0,0,0
v3-1000-A-1,1,1000,1,0,813,925,0.999659
v3-1000-A-1,2,2000,1,0,1682,1925,1.999659
v3-1000-A-1,3,3000,1,0,2682,2925,2.999659
v3-1000-A-1,4,4000,1,0,2775,2789,2.788816
v3-1000-A-1,5,5000,1,0,2496,2510,2.82991
v3-1000-A-1,6,6000,1,0,2344,2358,3.82991
v3-1000-A-1,7,7001,2,0,2065,2079,4.82991
v3-1000-A-1,8,8000,1,0,1912,1926,5.82991
v3-1000-A-1,9,9000,1,0,1632,1646,6.82991
v3-1000-A-1,10,10000,1,0,1352,1366,7.82991
v3-1000-A-1,11,11001,6,0,1201,1206,8.82991
v3-1000-A-1,12,12001,2,0,921,1019,9.82991
v3-1000-A-1,13,13000,1,0,871,1528,10.82991
v3-1000-A-1,14,14001,2,0,1579,2462,11.82991
v3-1000-A-1,15,15001,2,0,2579,3033,12.82991
v3-1000-A-1,16,16001,2,0,3186,3430,3.948851
v3-1000-A-1,17,17001,2,0,3034,3104,3.102995
v3-1000-A-1,18,18000,1,0,2753,2913,2.912997
v3-1000-A-1,19,19001,2,0,2474,2672,2.670901
v3-1000-A-1,20,20001,2,0,2322,2392,2.390933
v3-1000-A-1,21,21001,2,0,2042,2240,2.238607
v3-1000-A-1,22,22001,2,0,1890,1960,1.95906
v3-1000-A-1,23,23000,1,0,1609,1807,1.807014
v3-1000-A-1,24,24001,2,0,1331,1529,2.502611
v3-1000-A-1,25,25001,2,0,1051,1377,3.502611
v3-1000-A-1,26,26001,1,0,899,1242,4.502611
v3-1000-A-1,27,27001,2,0,772,1755,5.502611
v3-1000-A-1,28,28001,2,0,1590,2755,6.502611
v3-1000-A-1,29,29001,2,0,2590,3112,7.502611
v3-1000-A-1,30,30000,1,0,2945,3048,8.502611
v3-1000-A-1,31,30000,0,0,1665,1846,2.846061
v3-1000-A-1,32,30000,0,0,513,566,2.566194
v3-1000-A-1,33,30000,0,0,0,0,0
v3-1000-A-2,0,0,0,0,0,0,0
v3-1000-A-2,1,1000,1,0,828,937,0.999675
v3-1000-A-2,2,2000,6,0,1707,1937,1.999675
v3-1000-A-2,3,3000,9,0,2707,2936,2.999675
v3-1000-A-2,4,4001,4,0,2672,2894,2.89242
v3-1000-A-2,5,5000,7,0,2391,2613,2.613016
v3-1000-A-2,6,6000,1,0,2239,2333,2.332809
v3-1000-A-2,7,7000,1,0,1959,2181,2.180728
v3-1000-A-2,8,8001,2,0,1680,1902,1.900956
v3-1000-A-2,9,9001,5,0,1528,1750,1.748996
v3-1000-A-2,10,10001,2,0,1248,1470,1.469038
v3-1000-A-2,11,11000,1,0,967,1463,2.358998
v3-1000-A-2,12,12001,4,0,816,2018,3.358998
v3-1000-A-2,13,13000,3,0,1074,3017,4.358998
v3-1000-A-2,14,14000,1,0,2014,3421,3.570629
v3-1000-A-2,15,15001,2,0,3015,3243,3.241747
v3-1000-A-2,16,16001,2,0,2978,3177,3.680048
v3-1000-A-2,17,17001,2,0,2698,2979,3.53742
v3-1000-A-2,18,18001,2,0,2546,2699,4.53742
v3-1000-A-2,19,19001,2,0,2266,2547,5.53742
v3-1000-A-2,20,20000,1,0,2113,2266,6.53742
v3-1000-A-2,21,21001,2,0,1834,2115,7.53742
v3-1000-A-2,22,22001,2,0,1554,1835,8.53742
v3-1000-A-2,23,23001,2,0,1274,1683,9.53742
v3-1000-A-2,24,24001,2,0,1122,1531,10.53742
v3-1000-A-2,25,25001,2,0,842,1498,11.53742
v3-1000-A-2,26,26001,2,0,960,2324,12.53742
v3-1000-A-2,27,27001,1,0,1712,3041,3.214052
v3-1000-A-2,28,28001,2,0,2712,3056,3.64915
v3-1000-A-2,29,29001,2,0,3303,3344,4.320097
v3-1000-A-2,30,30000,1,0,3022,2968,3.320101
v3-1000-A-2,31,30000,0,0,1870,1609,3.510225
v3-1000-A-2,32,30000,0,0,590,327,2.327233
v3-1000-A-2,33,30000,0,0,0,0,0
v3-1000-A-3,0,0,0,0,0,0,0
v3-1000-A-3,1,1000,4,0,839,948,0.998981
v3-1000-A-3,2,2000,4,0,1729,1947,1.998981
v3-1000-A-3,3,3000,7,0,2729,2841,2.998981
v3-1000-A-3,4,4000,4,0,2683,2893,2.892035
v3-1000-A-3,5,5000,6,0,2404,2741,2.740849
v3-1000-A-3,6,6000,1,0,2124,2462,3.653925
v3-1000-A-3,7,7000,2,0,1973,2183,4.653925
v3-1000-A-3,8,8000,1,0,1693,2031,5.653925
v3-1000-A-3,9,9000,1,0,1413,1751,6.653925
v3-1000-A-3,10,10000,1,0,1134,1599,7.653925
v3-1000-A-3,11,11000,1,0,983,1340,8.653925
v3-1000-A-3,12,12000,1,0,741,1813,9.653925
v3-1000-A-3,13,13000,6,0,1285,2754,10.653925
v3-1000-A-3,14,14000,2,0,2285,3346,11.653925
v3-1000-A-3,15,15000,3,0,3006,3483,12.653925
v3-1000-A-3,16,16000,7,0,2854,3203,13.653925
