case,mode,rate,count,seed,warm,window,chain,planned,sent,ready,public,members,elapsed_s,attempts,submit_calls,install_calls,ready_ms_p50,ready_ms_p95,ready_ms_p99,ready_ms_max,ready_ms_mean,public_ms_p50,public_ms_p95,public_ms_p99,public_ms_max,public_ms_mean,members_ms_p50,members_ms_p95,members_ms_p99,members_ms_max,members_ms_mean,lag_ms_p50,lag_ms_p95,lag_ms_p99,lag_ms_max,lag_ms_mean,proxy_hold_ms_p50,proxy_hold_ms_p95,proxy_hold_ms_p99,proxy_hold_ms_max,proxy_hold_ms_mean,window_ms_p50,window_ms_p95,window_ms_p99,window_ms_max,window_ms_mean,qc_to_ready_ms_p50,qc_to_ready_ms_p95,qc_to_ready_ms_p99,qc_to_ready_ms_max,qc_to_ready_ms_mean,condition_wait_ms_p50,condition_wait_ms_p95,condition_wait_ms_p99,condition_wait_ms_max,condition_wait_ms_mean,release_schedule_ms_p50,release_schedule_ms_p95,release_schedule_ms_p99,release_schedule_ms_max,release_schedule_ms_mean,send_span_s,drain_from_last_send_s,gate_install3,gate_public,window_nonzero,no_first_member_copy_observed_at_ready,sent_rate_per_window,cpu_percent_sample_p50,rss_mib_sample_peak,fee_maximum,fee_held,fee_rewards,fee_burned,fee_refunded,certificate_inputs,chain_ready_ms
v3-1000-A-1,A,1000,30000,23,100,30,False,30000,30000,30000,30000,30000,32.525824,30000,30002,60734,1.862,18.94315,27.850059999999992,73.034,4.783159033333333,2061.9120000000003,3094.4708499999997,3548.7433799999985,13517.617,1996.3258013333334,2339.9625,3285.29475,3682.090989999999,13657.009,2255.3137163333336,0.001,0.349,1.2950199999999967,7.984,0.0435922515,0.09,0.284,0.303,2.845,0.1107216,574.9265,783.5185,816.16306,852.286,548.9556650666667,0.393,4.066049999999999,7.2710199999999965,24.971,1.1425702,575.3255,785.6637,817.1062099999999,852.473,549.8729492333333,,,,,,29.9985,2.433649,10586,19414,29988,28624,1000.0,1159.4499999999998,12316.3125,30000000,0,2520000,300000,27180000,,
v3-1000-A-2,A,1000,30000,37,100,30,False,30000,30000,30000,30000,30000,32.523849,30000,30002,64350,1.87,18.569,27.08605999999999,52.891,4.790199966666667,2043.3775,3183.41215,3558.470069999999,4021.19,2008.5353916,2487.7385,3477.0679999999998,3804.7519199999997,13299.7,2426.9190687333335,-0.005,0.28804999999999925,1.083,7.659,0.0305739515,0.09,0.284,0.31,4.425,0.1115626,561.7115,775.8932,811.3771599999999,1100.798,532.7471579333334,0.391,3.9640999999999984,7.629129999999979,19.493,1.1142843333333334,562.173,777.83945,812.26627,1101.002,533.6363212333333,,,,,,29.998524,2.293043,11779,18221,29995,28622,1000.0,1172.8000000000002,12380.859375,30000000,0,2520000,300000,27180000,,
v3-1000-A-3,A,1000,30000,59,100,30,False,30000,30000,30000,30000,30000,32.523083,30000,30002,64176,1.865,18.746299999999994,26.67430999999995,65.797,4.895827766666667,2024.144,2983.9753,3436.9089499999995,12395.894,1941.2279129,2539.7659999999996,3489.99345,3877.192099999998,13996.19,2440.4917326333334,0.105,0.386,1.1960099999999985,5.174,0.1547484515,0.09,0.284,0.312,6.07,0.11078696666666667,562.6995,778.9111999999999,812.41113,2731.621,534.2492157,0.385,4.186199999999997,7.860099999999984,24.665,1.1382996,563.105,780.5875,813.16629,2731.99,535.1623272666667,,,,,,29.998749,2.467268,11640,18360,29991,28650,1000.0,1163.25,12203.609375,30000000,0,2520000,300000,27180000,,
v3-1000-B-1,B,1000,30000,23,100,30,False,30000,19940,19940,19940,19940,30.76716,19940,19940,79642,67.9975,274.82705,405.2411400000002,681.226,95.88502617853561,876.1015,1282.1106,1397.29154,1615.266,892.2436656469408,1008.0835,1362.1290999999999,1446.1342,1594.189,1023.8909302908726,4996.7185,9537.12135,9960.9625,10060.484,5003.542770388415,65.9305,273.1572499999999,403.2925700000002,679.089,93.76334057171515,0.0,0.0,0.0,0,0,66.5355,273.6061999999999,403.9997000000003,679.399,94.46131008024072,65.8045,273.05254999999994,403.19074000000023,678.991,93.64573761283852,0.009,0.017,0.03,0.245,0.010348946840521565,29.999095,0.701972,19905,35,0,0,664.6666666666666,975.0000000000002,9505.9375,19940000,0,1674960,199400,18065640,,
v3-1000-B-2,B,1000,30000,37,100,30,False,30000,20171,20171,20171,20171,30.742396,20171,20172,80578,67.395,269.733,398.06779999999986,641.741,94.8633177333796,886.976,1320.076,1451.6572999999999,3692.287,905.1656572802539,1040.167,1396.9115,1490.9462999999998,3782.139,1055.0535713152547,4926.192,9319.938,9737.5195,9831.426,4903.472883820584,65.114,268.0865,395.6339999999998,640.596,92.59102339993059,0.0,0.0,0.0,0,0,65.802,268.558,396.9874999999997,640.849,93.28210510138318,65.011,267.956,395.5347999999998,640.493,92.47243512964157,0.009,0.017,0.031,1.559,0.010475137573744485,29.99828,0.676222,20143,28,0,1,672.3666666666667,990.3999999999999,9445.625,20171000,0,1694364,201710,18274926,,
v3-1000-B-3,B,1000,30000,59,100,30,False,30000,20108,20108,20108,20108,30.769896,20108,20110,80375,68.81649999999999,269.8644999999998,396.84464,642.054,95.09827014123732,897.0505,1299.6884999999997,1459.119,3546.2,909.8973559279889,1005.96,1389.28205,1463.8525200000001,3104.589,1021.0450832504475,4901.192999999999,9387.886599999998,9790.1506,9877.873,4918.494835266809,66.4975,267.8878499999998,394.9962200000001,635.697,92.96976790332207,0.0,0.0,0.0,0,0,67.3235,268.2519999999998,395.4228800000001,637.644,93.65052491545653,66.3875,267.721,394.69655000000006,635.407,92.85183021682913,0.009,0.017,0.031,0.363,0.010379152576089118,29.984559,0.736084,20097,11,0,0,670.2666666666667,995.3,9371.359375,20108000,0,1689072,201080,18217848,,
v3-200-A-1,A,200,6000,23,100,30,False,6000,6000,6000,6000,6000,30.701633,6000,6000,24000,1.298,4.27615,7.427110000000002,13.638,1.8111366666666666,668.5335,831.40315,900.8761600000004,978.724,665.2988633333333,681.635,869.3489000000001,917.62446,956.556,682.0429828333333,0.066,0.881,0.963,1.229,0.2223630185,0.09,0.097,0.102,0.333,0.09091666666666666,0.645,0.8700500000000002,2.456320000000007,8.467,0.6949073333333333,0.323,0.4192500000000009,2.846040000000001,4.875,0.3840673333333333,0.839,1.1211000000000004,3.5275300000000116,10.787,0.920308,,,,,,29.994632,0.684074,6000,0,5886,5866,200.0,326.55000000000007,3004.65625,6000000,0,504000,60000,5436000,,
v3-200-A-2,A,200,6000,37,100,30,False,6000,6000,6000,6000,6000,30.817152,6000,6000,24000,1.3,4.223300000000001,7.306140000000003,13.354,1.782539,661.0725,827.95015,902.3805000000001,965.213,660.2172611666666,695.767,877.4877,926.63868,959.878,696.316995,9.2275,12.393150000000002,12.958,13.228,8.3317255185,0.09,0.097,0.102,0.352,0.09086783333333333,0.65,0.8550500000000002,2.6525300000000116,8.399,0.688512,0.322,0.40705000000000013,2.9220200000000007,5.785,0.3857231666666667,0.843,1.08505,3.326270000000006,11.009,0.9151913333333334,,,,,,30.007198,0.783155,6000,0,5883,5868,200.0,331.45,2932.609375,6000000,0,504000,60000,5436000,,
v3-200-A-3,A,200,6000,59,100,30,False,6000,6000,6000,6000,6000,30.599855,6000,6000,24000,1.304,3.9571500000000004,6.5480800000000015,9.39,1.733291,661.4385,830.8434,889.2604200000001,959.366,660.8322478333333,690.7115,870.8488,924.7638800000001,970.413,690.8708731666667,0.138,0.99,1.0120100000000003,1.049,0.3319955185,0.09,0.097,0.102,0.428,0.09107766666666667,0.647,0.8490500000000002,1.1150300000000006,4.286,0.6636236666666667,0.323,0.3941000000000004,2.1164500000000097,3.668,0.36558433333333334,0.841,1.0640500000000002,1.451320000000007,5.995,0.878571,,,,,,29.99522,0.559915,6000,0,5918,5912,200.0,330.2,2931.453125,6000000,0,504000,60000,5436000,,
v3-200-B-1,B,200,6000,23,100,30,False,6000,6000,6000,6000,6000,30.69998,6000,6000,24000,2.167,6.416200000000001,7.790090000000002,12.714,2.7557128333333334,662.4625,825.1869499999999,899.48815,957.109,659.5769098333334,680.092,855.1455500000001,914.1455100000002,963.739,674.1288668333333,0.034,0.676,0.7690100000000002,1.189,0.13637185183333334,0.931,1.1870500000000002,4.656430000000009,6.029,1.014694,0.0,0.0,0.0,0,0,1.172,2.8551,5.105030000000001,7.129,1.3401241666666666,0.832,1.087,4.550510000000011,5.891,0.9158923333333333,0.008,0.014,0.018010000000000217,0.081,0.007822833333333333,29.994626,0.559536,6000,0,0,0,200.0,329.8,2970.234375,6000000,0,504000,60000,5436000,,
