label,second,sent,ready,public,all_members,active_members,public_pending,all_member_pending,active_member_pending,oldest_public_s,ready_p95_ms
v3-B1-r1,0,0,0,0,0,0,0,0,0,0,
v3-B1-r1,1,1,1,0,0,0,1,1,1,0.999884,2.014458
v3-B1-r1,2,1,1,0,0,0,1,1,1,1.999884,2.014458
v3-B1-r1,3,1,1,0,0,0,1,1,1,2.999884,2.014458
v3-B1-r1,4,1,1,0,0,0,1,1,1,3.999884,2.014458
v3-B1-r1,5,1,1,0,0,0,1,1,1,4.999884,2.014458
v3-B1-r1,6,1,1,0,0,0,1,1,1,5.999884,2.014458
v3-B1-r1,7,1,1,0,0,0,1,1,1,6.999884,2.014458
v3-B1-r1,8,1,1,0,0,0,1,1,1,7.999884,2.014458
v3-B1-r1,9,1,1,0,0,0,1,1,1,8.999884,2.014458
v3-B1-r1,10,1,1,0,0,0,1,1,1,9.999884,2.014458
v3-B1-r1,11,1,1,1,1,1,0,0,0,0,
v3-B1-r2,0,0,0,0,0,0,0,0,0,0,
v3-B1-r2,1,1,1,0,0,0,1,1,1,0.999883,2.011708
v3-B1-r2,2,1,1,0,0,0,1,1,1,1.999883,2.011708
v3-B1-r2,3,1,1,0,0,0,1,1,1,2.999883,2.011708
v3-B1-r2,4,1,1,0,0,0,1,1,1,3.999883,2.011708
v3-B1-r2,5,1,1,0,0,0,1,1,1,4.999883,2.011708
v3-B1-r2,6,1,1,0,0,0,1,1,1,5.999883,2.011708
v3-B1-r2,7,1,1,0,0,0,1,1,1,6.999883,2.011708
v3-B1-r2,8,1,1,0,0,0,1,1,1,7.999883,2.011708
v3-B1-r2,9,1,1,0,0,0,1,1,1,8.999883,2.011708
v3-B1-r2,10,1,1,0,0,0,1,1,1,9.999883,2.011708
v3-B1-r2,11,1,1,1,1,1,0,0,0,0,
v3-B1-r3,0,0,0,0,0,0,0,0,0,0,
v3-B1-r3,1,1,1,0,0,0,1,1,1,0.999884,2.146042
v3-B1-r3,2,1,1,0,0,0,1,1,1,1.999884,2.146042
v3-B1-r3,3,1,1,0,0,0,1,1,1,2.999884,2.146042
v3-B1-r3,4,1,1,0,0,0,1,1,1,3.999884,2.146042
v3-B1-r3,5,1,1,0,0,0,1,1,1,4.999884,2.146042
v3-B1-r3,6,1,1,0,0,0,1,1,1,5.999884,2.146042
v3-B1-r3,7,1,1,0,0,0,1,1,1,6.999884,2.146042
v3-B1-r3,8,1,1,0,0,0,1,1,1,7.999884,2.146042
v3-B1-r3,9,1,1,0,0,0,1,1,1,8.999884,2.146042
v3-B1-r3,10,1,1,0,0,0,1,1,1,9.999884,2.146042
v3-B1-r3,11,1,1,1,1,1,0,0,0,0,
v3-B2-r1,0,0,0,0,0,0,0,0,0,0,
v3-B2-r1,1,1,1,0,0,0,1,1,1,0.999896,2.298458
v3-B2-r1,2,1,1,0,0,0,1,1,1,1.999896,2.298458
v3-B2-r1,3,1,1,1,1,1,0,0,0,0,2.298458
