label,kind,phase,sent,ready,public,window_s,actual_send_tps,ready_events,public_events,active_member_events,target_in_qc,dispatch_p95_ms,ready_p50_ms,ready_p95_ms,public_p50_ms
v5-A0-r1,A0,before,6066,6066,6066,30.32861,200.00916626248284,6066,5917,5917,4835,0.851,1.04725,4.040917,665.496
v5-A0-r1,A0,fault,5940,5940,5940,29.698078,200.0129435985723,5940,5975,5959,4776,0.49,1.051083,4.074625,666.104
v5-A0-r1,A0,after,11994,11994,11994,60.574215,198.00504224445996,11994,12108,12124,9658,0.027001,1.054791,4.098417,670.315
v5-A0-r2,A0,before,6066,6066,6066,30.328538,200.00964108457848,6066,5904,5904,4796,0.775,1.047709,4.091792,668.29
v5-A0-r2,A0,fault,6055,6055,6055,30.270633,200.02885304711006,6054,6120,6057,4837,0.209,1.047541,4.171208,664.753
v5-A0-r2,A0,after,11879,11879,11879,60.099096,197.65688322499892,11880,11976,12039,9494,-0.447,1.053,4.160458,666.724
v5-A0-r3,A0,before,6067,6067,6067,30.333765,200.00814274126537,6067,5950,5917,4856,0.781,1.044458,4.100041,670.114
v5-A0-r3,A0,fault,5939,5939,5939,29.690763,200.02854086302867,5938,5900,5925,4774,0.281,1.048125,4.173208,663.824
v5-A0-r3,A0,after,11994,11994,11994,60.877913,197.0172663441994,11995,12150,12158,9637,-0.389,1.050792,3.937625,665.775
v5-A1-r1,A1,before,6064,6064,6064,30.318483,200.01000709699096,6063,5922,5922,4841,0.782,1.04875,4.12625,667.158
v5-A1-r1,A1,fault,6055,6055,6055,30.271922,200.02033567607634,6055,6050,6040,0,0.486,1.0425,4.482209,661.043
v5-A1-r1,A1,after,11881,11881,11881,60.214099,197.31259285304594,11882,12028,12038,9489,-0.075,1.052375,4.174292,667.292
v5-A1-r2,A1,before,6060,6060,6060,30.297665,200.0154137290778,6060,5922,5922,4867,0.873,1.046583,4.099875,660.758
v5-A1-r2,A1,fault,6056,6056,6056,30.281009,199.99333575707468,6056,6054,6054,0,0.549,1.039541,4.556792,668.662
v5-A1-r2,A1,after,11884,11884,11884,60.121009,197.66800653661684,11884,12024,12024,9480,0.076,1.053125,4.274542,664.311
v5-A1-r3,A1,before,6064,6064,6064,30.316315,200.02431034246743,6063,5939,5923,4955,0.791001,1.048583,3.929042,658.881
v5-A1-r3,A1,fault,5938,5938,5938,29.689987,200.00008757161126,5939,5958,5941,0,0.321,1.044958,4.542458,666.924
v5-A1-r3,A1,after,11998,11998,11998,60.593331,198.0085894271104,11998,12103,12136,9774,-0.365,1.054542,3.984292,666.465
v5-A2-r1,A2,before,6059,6059,6059,30.291744,200.02149760674064,6058,5912,5912,4821,0.844,1.050625,3.996541,662.767
v5-A2-r1,A2,fault,6029,6029,6029,30.145706,199.99531608249612,6030,6057,6057,0,0.461,1.0775,4.507708,669.678
v5-A2-r1,A2,after,11912,11912,11912,60.263419,197.66551911035782,11912,12031,12031,9484,0.006,1.055292,4.0155,666.65
v5-A2-r2,A2,before,6059,6059,6059,30.293686,200.00867507506348,6059,5911,5911,4796,0.87,1.046875,3.978334,664.099
v5-A2-r2,A2,fault,6032,6032,6032,30.156787,200.02130863609574,6031,6040,6040,0,0.517,1.074041,4.343458,658.837
v5-A2-r2,A2,after,11909,11909,11909,60.328296,197.4032218645791,11910,12049,12049,9372,0.079,1.055792,4.021125,663.517
v5-A2-r3,A2,before,6060,6060,6060,30.297267,200.01804123124373,6059,5926,5926,4880,0.808,1.045916,4.183458,660.307
v5-A2-r3,A2,fault,6039,6039,6039,30.192594,200.015937683261,6039,6029,6056,0,0.271,1.0745,4.556792,678.435
v5-A2-r3,A2,after,11901,11901,11901,60.111708,197.98139823277023,11902,12045,12018,9655,-0.341999,1.049667,4.234209,669.404
