case,kind,grant,delay_s,offered_units,admitted_units,not_started,not_started_ratio,closed_units,public_payments,partial_approval_payments,actual_obligations,actual_obligation_fraction,fulfilled,repaired,retry_payment_fraction,child_fast_p50_ms,child_fast_p95_ms,max_unready_payment_age_at_stop_s,max_ready_unclosed_payment_age_at_stop_s,elapsed_s,CAL_per_backing_CAL_per_s_input_window
gate-r1-cal-delay3-parallel,1,7200,3,6000,2222,3778,0.6296666666666667,2222,4444,0,1278,0.5751575157515751,1278,0,0.7702520252025202,1613.155,34393.699,0,0,313.073582,0.09712962962962964
gate-r1-cal-delay3-serial,1,7200,3,6000,3401,2599,0.43316666666666664,3401,6802,0,1874,0.5510144075271979,1874,0,0.7838870920317553,613.375,13684.307,0,0,309.718573,0.1526851851851852
gate-r1-cal-low-parallel,1,3600,1,6000,214,5786,0.9643333333333334,86,206,65,63,0.7325581395348837,63,0,0.7485029940119761,1.368,4227.978,358.950324,0,360.000488,0.007962962962962963
gate-r1-cal-low-serial,1,3600,1,6000,3203,2797,0.4661666666666667,3203,6406,0,1527,0.47674055572900403,1527,0,0.8342179206993444,2607.335,17239.114,0,0,309.719682,0.2859259259259259
gate-r1-cal-medium-parallel,1,7200,1,6000,6000,0,0.0,6000,12000,0,6000,1.0,6000,0,0.14583333333333334,1.228,202.042,0,0,302.090223,0.2773148148148148
gate-r1-cal-medium-serial,1,7200,1,6000,6000,0,0.0,6000,12000,0,4667,0.7778333333333334,4667,0,0.6090833333333333,5.943,2222.541,0,0,302.928685,0.27550925925925923
gate-r1-fuel-low-parallel,2,1073520,1,6000,3782,2218,0.36966666666666664,3654,7356,69,3629,0.9931581828133552,3629,0,0.04249064671298771,1.214,1.519,182.29684,0,359.994035,1.218e-09
gate-r1-fuel-low-serial,2,1073520,1,6000,3908,2092,0.3486666666666667,3780,7603,1,3675,0.9722222222222222,3675,0,0.07825637045660329,1.378,5.746,182.046848,0,359.994007,1.26e-09
gate-r1-normal,,,3,1,1,0,0.0,1,2,0,1,1.0,1,0,0.0,1.413,1.413,0,0,3.480298,2.0000000000000002e-11
gate-r1-repair,,,35,1,1,0,0.0,1,2,0,1,1.0,0,1,0.0,1.457,1.457,0,0,35.47525,2.2222222222222224e-12
gate-r1-work-low-parallel,3,1122,1,6000,393,5607,0.9345,265,658,74,129,0.4867924528301887,129,0,0.8015267175572519,1609.16,25423.534,348.832399,0,359.995325,8.833333333333333e-11
gate-r1-work-low-serial,3,1122,1,6000,3903,2097,0.3495,3903,7806,0,1925,0.493210351012042,1925,0,0.8142454522162439,1223.166,13884.834,0,0,307.409985,1.2629999999999999e-09
