case,kind,grant,delay_s,offered_units,admitted_units,not_started,not_started_ratio,closed_units,public_payments,partial_approval_payments,actual_obligations,actual_obligation_fraction,fulfilled,repaired,retry_payment_fraction,child_fast_p50_ms,child_fast_p95_ms,max_unready_payment_age_at_stop_s,max_ready_unclosed_payment_age_at_stop_s,elapsed_s,CAL_per_backing_CAL_per_s_input_window
r3-calibration,,,1,600,600,0,0.0,600,1200,0,600,1.0,600,0,0.0,1.244,1.473,0,0,31.590987,1.97e-09
r3-fee-normal,,,3,1,1,0,0.0,1,2,0,1,1.0,1,0,0.0,1.864,1.864,0,0,3.465105,2.0000000000000002e-11
r3-fee-repair,,,35,1,1,0,0.0,1,2,0,1,1.0,0,1,0.0,1.956,1.956,0,0,35.475,2.2222222222222224e-12
r3-k1-high,1,14400,1,6000,6000,0,0.0,6000,12000,0,6000,1.0,6000,0,0.0,1.241,1.572,0,0,301.933518,0.13858796296296294
r3-k1-low,1,3600,1,6000,352,5648,0.9413333333333334,224,498,66,88,0.39285714285714285,88,0,0.8003194888178914,3222.826,16328.065,357.74723,0,359.997408,0.02074074074074074
r3-k1-medium,1,7200,1,6000,6000,0,0.0,6000,12000,0,6000,1.0,6000,0,0.10941666666666666,1.256,2.388,0,0,302.018906,0.2771759259259259
r3-k1-medium-delay3,1,7200,3,6000,1438,4562,0.7603333333333333,1438,2876,0,551,0.38317107093184977,551,0,0.8014603616133519,6442.253,47532.023,0,0,311.692481,0.06101851851851852
r3-k2-high,2,2683800,1,6000,6000,0,0.0,6000,12000,0,6000,1.0,6000,0,0.0,1.246,1.569,0,0,302.041068,1.9973333333333335e-09
r3-k2-low,2,1073520,1,6000,3784,2216,0.36933333333333335,3656,7393,54,3641,0.9958971553610503,3641,0,0.04706820901475867,1.251,1.635,181.492514,0,359.9504,1.2186666666666666e-09
r3-k2-medium,2,1789200,1,6000,6000,0,0.0,6000,12000,0,6000,1.0,6000,0,0.0,1.239,1.562,0,0,301.902255,1.9973333333333335e-09
r3-k3-high,3,4488,1,6000,6000,0,0.0,6000,12000,0,6000,1.0,6000,0,0.0,1.237,1.614,0,0,301.950144,1.9966666666666666e-09
r3-k3-low,3,1122,1,6000,235,5765,0.9608333333333333,107,274,82,80,0.7476635514018691,80,0,0.7089552238805971,1.896,4836.124,359.216836,0,360.06704,3.5666666666666666e-11
r3-k3-medium,3,2244,1,6000,6000,0,0.0,6000,12000,0,6000,1.0,6000,0,0.11858333333333333,1.264,1.775,0,0,301.880037,1.995e-09
r3-window-check,,,3,600,600,0,0.0,600,1200,0,600,1.0,600,0,0.0,1.235,1.503,0,0,33.480478,1.9666666666666665e-09
