start_ns,end_ns,start_offset_ms,count,duration_ms,all_install_done_ms,tail_after_submit_ms,facts
1789785401898115000,1789785402781276000,73.06,1,883.161,78.201,803.754,69302b441a4de6d22710a31b7118bb61168dd2c50e137b4cde6bc6fd850a8956
1789785402781314000,1789785402908309000,956.259,4,126.995,53.097,72.155,8204b1c14afe2584cb61fbf8bba8e81747cd4e83aabb611921e05b039b10ccb6;6e216fcc784c1ebc0bc654b6843abe2c909500bc9a02674471cb8de7eb538c54;766188ac095060d7491cf5d0f504c7c5aa347039eddd3b490a5ed45a22c07c20;6961a4998130b10880c8b6e04c64a2ee1d11cfc1b272bf82133ea501087e2bce
1789785402908309000,1789785403030381000,1083.254,4,122.072,47.05,71.945,9b8a97e55927dcf13f336bc2b8b5d9fa612ea4f115157843d08f3ddcad20118f;887d2da1a6342c57768b679ac0a2af6f9f56a9f5b49a916f9f3589c3e701f87a;9a6a6af36ba77aa540a02679a170045763caf653982ed2ada9ca724fc8847fa3;9b3ee8ddacac5f9bd19d93d4b8d25d281ce1057dfdd6539fd7b4c1a7de992a7e
1789785403030381000,1789785403178308000,1205.326,4,147.927,83.019,64.631,a5511c09b0b987375d908891e2f7acac2cfcfaa1c3ce3b4b73b5e926124fe2a7;9ed22a70abafc176129ed5bbca9cdeccb1cae4533fbdfdeac558adda52620600;9ef907578798ddd63df3b5fe12f048178719501af4379d9b77e106694c50a131;a16cbb55846495d0f9c803ba04ec64aa4664f7d6b30083f5ccdfe353d3776245
1789785403178309000,1789785403278345000,1353.254,4,100.036,41.089,57.966,b7014a6dfbc742d7453ac788ca5f095e2ebefbfdfc58edb91d51846178d49dd2;ad6b1c4dce17946f3c0d21c281485c1cf2e3dfdbab05be0be165269161b8a193;b6dd2d314252c71ce51b02e3d890401621f5c91e0384db34eb1edb04264a2206;a68de36e0c9765eb489ef9342030363fdfba19c2190284908c2fdb9fd115b129
1789785403278364000,1789785403454327000,1453.309,4,175.963,81.012,94.701,c0a5d70addda3c04ee0a03f7373455b4b9127a3aad271811d8beb4656ea562e6;bbe2f5d4880de359cd3fc291a22475d336ac1fbe8a2fcdc7b8c2772c87114d89;b8e806d80f71c3208f7a17d370a249c623b0612ee17bad4c645e9b1f2f5e08e1;bfaa4f24093fb125bfec1f0b712382fa52300dba49bb3852a50809951058bd8f
1789785403454328000,1789785403598433000,1629.273,4,144.105,57.135,84.637,d352ccdc289ade3130dd4b3282cfc685480e888632a0ebea5f8c7ee77dbe357d;c991cd0a64c6275716c02996d2c706ed548c1cb32b05f2d8183a81b548d43fa1;cb769b3c524171e660da09ecd93914036cdc38c7382252da5339c54673ea4eeb;c4a5ac5feb558c77480e45d8370d249b07e993759fb36d63031e96d9d7c822e4
1789785403598433000,1789785403712353000,1773.378,4,113.92,49.911,62.362,dfe9763b13a8666b4a11198b35d2aa8c14977d591e6f4f03a2600e64d6c1b98d;d6082891196e6d782ac078ee474eb09679f9d7a7d63aa0bcb682f2d6fdc5e164;dc9058a873c6029f9029242b188c55f81fde6af34180ce43777d9e6c624676ea;d48c82cbc926a52fc1d51c2898169f7328a4c1ffdfbfe4c5ab41ae2d0149dd06
1789785403712353000,1789785403948373000,1887.298,4,236.02,99.221,133.741,e510559613e41b2c9650ae40735a8ab91ea560d8a9f919d620bed42cce00f5d4;e49c2710835bf0ba8db6c2ec4a3e51c5469650a33679fadf3923bc36e0b2a03e;e4a1d4dffa8c451272458e12db1017cf30c7fb26e4df69826750cd7f8d6a61b2;e2e931574819d070b7fe8a257b98036754cc81cd9610e9a71a57b6a76aa2fcd0
1789785403948389000,1789785404266343000,2123.334,4,317.954,64.214,253.444,ecd64b9520212d784b104e0384f58e89dd94c076a6b57425aad078d327e49f03;eb1efece1ef88252675d1b6261dcfefc75718159e109d95d4cc02b5e407f41fc;eb9813f9962f912caef01536c57959590f8ee81d2f6ef244ab1fd8b86e44436f;e59fa9ca2fe02e5fee3af5f8c58e3b4c89a485b914602122e66a7a36551ad3fe
1789785404266343000,1789785404465317000,2441.288,4,198.974,71.306,124.807,fefc23e848eee1882d7eb5717a965ad8b4cb249bfa529e55cf75a4028308415e;f3f75bc3b69df3cc6f752a466a0d9e5310ed2833b7df6032e86be24c6a344eb9;f491b5dc0511276a2e7fff64fef21bb500fb5d1f59f95029939e44df8b106f0b;fb6a6c553298be45998d46694c9f251fb35da38e9da03ca7bc594049b907ef2f
1789785404498606000,1789785404636425000,2673.551,4,137.819,51.85,83.594,1168113f635b81421f733c25cd989800fe84166dc30701cc891d09db391e778a;09f324bfb00e3e1c03125efb1fe07c2cb61ddc2daa374a53cbd54e8d04c997e8;0ae5546a95a146b9d6f5b0d50a9372a2f3b74687b3aadb14b38531da0afc6878;067accfdb9ac27086a680556a57f5204df9a8457f716e056256eb6f237301f2e
1789785404636425000,1789785404991347000,2811.37,4,354.922,83.033,257.883,19bfc2f469d25c0dca1a891496168214741847dcc376909695c08a79e7694079;149c63f8b3a9c09be100035ed6bc01d50c57cf89041f4b8e5fd6a7cc68eaa3ff;159e12421d31be5bf8a141f8d7065c93fd01c426330b7cd271936617114fe601;1871d0387dabc30eb3c94be9185be641405e1a4493aefaa941627a25a464c059
1789785404991348000,1789785405215321000,3166.293,4,223.973,65.083,152.572,2249d0812bba8a445e0f4bba86e696b10e1ab7aacc814b9b54b85d637710a05e;1c01a77eb9188f935b08ac20aba0bd495413674913bff8de4c79e1883c2965a0;1e87184312aea1cdc16b1789378a6506cf8babc83c67f50ca2630e14fc498aa5;21b3b9155d7d66050cff58251f3dab051679345338148719dafcda257c5d50d0
1789785405215322000,1789785405401316000,3390.267,4,185.994,80.285,83.368,2b5ada4ce97710ed2d655ae0707d8f649d78019e0c21893e34a837acdee48aad;27fa21c300b66baac105e48392ffad8b4485102ae3a93caa670c1755aed4e3f7;297b67160e0dc93ad07d260959c1657869497df57ff7ce7d0461e326bd5eff9c;24a2c962eeedb10eb2109396849ac439f6b486bf86f964806423beff8432c4f8
1789785405401332000,1789785405516373000,3576.277,4,115.041,45.072,67.611,3eb0c317ad9055ee25c1753f5cf51093a4a0c0ae04878c5826e0d27f22ee441a;347ba919a5e05160702764fa0aea7e3da54ad63f050bf58530b741fb16019b27;311039343859c583bcb5bf1a0da3bc964f315b435055579b1ec0340253d016e6;368f0a4ca08ebcf7ee7c8a69607e7ee8ea109d9fa99179e4322d2491d018e36c
1789785405516375000,1789785405714301000,3691.32,4,197.926,72.047,125.643,44d3f51e1ba09ffa54716e631772c15b0c4910c50816a71c99c463fadd85d556;42ba64dd7b6ea2e15a3a6fb5c368ee98ad5b04747d7d7079b81fce341c404cb7;3f1ed156e16e5c0e41057dd0024ca0220c205a5c0fb819687bd9069f1519a810;43dc0a8de4767bba9d47080028139471323880772a49a0bb3dd2864f89d8e203
1789785405714302000,1789785405807362000,3889.247,4,93.06,47.063,43.642,4c00e8bc4b95a0bd72a520b0a159a4ab46e10ca761b54bae72326b3f962bf572;49eb27056d64eeaa13ce8d94d11c3e1bd0131e11854aa58c51e4833aa40e4a8d;4ad2927b47461538082911a29ca40519d5f53539fbd6702316ddb4ac04df881b;4b2ddd11b3686510c791d1d1e02566e9d1e6719b33da8de1865c877694f223bf
1789785405807362000,1789785405933454000,3982.307,4,126.092,51.019,72.737,52ca6f6a1e12aadf212a57c91c21408a46f9d4a4ac9dd775ffd5ac4f5beb4956;4d522554c771857483772e94b6847e3357dded5c961f64f4c385332f29c2c567;50e483756c607542564d58409279f04d5f3c5c888e979131fb93546c442f16cd;5142d1bd8b2ef0121c4ce0dbdd0174032179fdf5b836daa2b961a4948316c4fb
