kind,fact,height,requested_ns,locked_ns,returned_ns,no_changes,page_bytes,write_count,lock_wait_ms,begin_ms,business_ms,mutations_ms,commit_ms,bbolt_write_sync_ms,bbolt_spill_ms,bbolt_rebalance_ms,total_ms
new_payment,69302b441a4de6d22710a31b7118bb61168dd2c50e137b4cde6bc6fd850a8956,,1789785401861504000,1789785401861504000,1789785401874306000,false,49152,4,0.0,0.003,0.033,0.001,12.765,12.701709,0.027792,0.0,12.802
new_payment,1c01a77eb9188f935b08ac20aba0bd495413674913bff8de4c79e1883c2965a0,,1789785401891933000,1789785401891933000,1789785401911099000,false,49152,4,0.0,0.003,0.009,0.001,19.153,13.853875,0.003583,0.0,19.166
new_payment,43dc0a8de4767bba9d47080028139471323880772a49a0bb3dd2864f89d8e203,,1789785401891967000,1789785401911113000,1789785401958262000,false,81920,6,19.146,0.003,0.013,0.004,47.129,47.118417,0.004833,0.0,66.295
new_payment,9b3ee8ddacac5f9bd19d93d4b8d25d281ce1057dfdd6539fd7b4c1a7de992a7e,,1789785401927113000,1789785401958302000,1789785401979309000,false,81920,6,31.189,0.429,0.013,0.003,20.562,20.542959,0.004333,0.0,52.196
new_payment,b7014a6dfbc742d7453ac788ca5f095e2ebefbfdfc58edb91d51846178d49dd2,,1789785401946955000,1789785401979324000,1789785401992302000,false,81920,6,32.369,0.004,0.021,0.006,12.947,12.93375,0.00425,0.0,45.347
new_payment,8204b1c14afe2584cb61fbf8bba8e81747cd4e83aabb611921e05b039b10ccb6,,1789785401946989000,1789785401992317000,1789785402014295000,false,81920,6,45.328,0.005,0.015,0.004,21.954,21.944125,0.004666,0.0,67.306
new_payment,eb1efece1ef88252675d1b6261dcfefc75718159e109d95d4cc02b5e407f41fc,,1789785401947039000,1789785402014304000,1789785402028271000,false,81920,6,67.265,0.004,0.01,0.002,13.951,13.946208,0.003583,0.0,81.232
new_payment,dc9058a873c6029f9029242b188c55f81fde6af34180ce43777d9e6c624676ea,,1789785401947086000,1789785402028280000,1789785402042327000,false,98304,7,81.194,0.001,0.008,0.002,14.036,14.004417,0.00425,0.0,95.241
new_payment,766188ac095060d7491cf5d0f504c7c5aa347039eddd3b490a5ed45a22c07c20,,1789785401947818000,1789785402042336000,1789785402066278000,false,98304,7,94.518,0.003,0.013,0.003,23.923,16.015958,0.004916,0.0,118.46
new_payment,6e216fcc784c1ebc0bc654b6843abe2c909500bc9a02674471cb8de7eb538c54,,1789785401958654000,1789785402066296000,1789785402081277000,false,81920,6,107.642,0.005,0.014,0.003,14.959,14.951125,0.004625,0.0,122.623
new_payment,24a2c962eeedb10eb2109396849ac439f6b486bf86f964806423beff8432c4f8,,1789785401958668000,1789785402081292000,1789785402095324000,false,81920,6,122.624,0.003,0.01,0.004,14.015,14.006917,0.00575,0.0,136.656
new_payment,57204341dbb68304a76b55bf3db08c9bedaa13d91a96431cb564574cd2cff669,,1789785401958791000,1789785402095332000,1789785402106277000,false,81920,6,136.541,0.002,0.01,0.003,10.93,10.924792,0.003125,0.0,147.486
new_payment,68a50662b0126fefba0df2150e6ee426442ab6595c58aa80e0e23cb4940a630f,,1789785401958865000,1789785402106285000,1789785402126258000,false,98304,7,147.42,0.003,0.011,0.004,19.955,19.945083,0.005334,0.0,167.393
new_payment,297b67160e0dc93ad07d260959c1657869497df57ff7ce7d0461e326bd5eff9c,,1789785401958883000,1789785402126266000,1789785402142290000,false,81920,6,167.383,0.001,0.015,0.003,16.005,15.998584,0.003542,0.0,183.407
new_payment,e59fa9ca2fe02e5fee3af5f8c58e3b4c89a485b914602122e66a7a36551ad3fe,,1789785401958937000,1789785402142296000,1789785402156312000,false,114688,8,183.359,0.004,0.011,0.003,13.998,13.985417,0.006375,0.0,197.375
new_payment,09f324bfb00e3e1c03125efb1fe07c2cb61ddc2daa374a53cbd54e8d04c997e8,,1789785401958945000,1789785402156324000,1789785402201305000,false,81920,6,197.379,0.001,0.014,0.003,44.963,44.955875,0.003625,0.0,242.36
new_payment,4b2ddd11b3686510c791d1d1e02566e9d1e6719b33da8de1865c877694f223bf,,1789785401958988000,1789785402201320000,1789785402216314000,false,81920,6,242.332,0.004,0.011,0.003,14.976,14.970334,0.003583,0.0,257.326
new_payment,a16cbb55846495d0f9c803ba04ec64aa4664f7d6b30083f5ccdfe353d3776245,,1789785401959028000,1789785402216326000,1789785402231277000,false,81920,6,257.298,0.003,0.011,0.004,14.933,14.927292,0.004,0.0,272.249
new_payment,bfaa4f24093fb125bfec1f0b712382fa52300dba49bb3852a50809951058bd8f,,1789785401959053000,1789785402231286000,1789785402251284000,false,98304,7,272.233,0.003,0.011,0.004,19.98,19.971125,0.005333,0.0,292.231
new_payment,d48c82cbc926a52fc1d51c2898169f7328a4c1ffdfbfe4c5ab41ae2d0149dd06,,1789785401959102000,1789785402251294000,1789785402265340000,false,98304,7,292.192,0.002,0.01,0.003,14.031,14.021084,0.0045,0.0,306.238
