index,fact,save_ms,save_to_relay_ms,save_wait_ms
0,7f5a7c3380cef79b1a9f05bdbd029ff882870f5e5d21e83985f0ad2dc85fe3ad,576.126,914.239,567.848
1,7e143673f61e2b5ba2fd4730136547f2dd89cab799e3d7dc10ca342e4c94859b,89.213,1417.171,74.663
2,b2cc873a246dd71257db6bdc81f8fa76d6e90129e58519db3fb0e22f68827547,410.612,1552.166,398.39
3,5437cb5aea09fdac0517e1a49fbc32ffb7f37305a7731f450b0e344307863d73,728.912,332.063,720.758
4,97dd7c9c7a00425bb4b1f2cfa5cae1e09dbb16c7448d061ea2f774401934adde,586.69,1062.057,574.527
5,eeec065921ee96da8b7df6c4cce30d2e67d7234b20e0d4f8fc18a8b8fbc30669,602.681,2315.175,594.503
6,0e4d27c2655f8fedddd5af1d164ef26fd6d44fda6f5c584bdc90737f00b980bd,480.281,2889.81,425.278
7,8cd797cc88afc961d29f1c124612e042547f002517c03942991522dad32aeba0,297.919,1386.006,281.727
8,f9f08318d0291b7986fea1badddfc3e1b57c259182c980b7853ab718b965c33c,515.418,2595.037,495.203
9,63b884043d67d7bb3d442fce4c059c79155fd3429e3a816b60bbf59f2f9a0681,120.664,1141.007,98.506
10,1f0acc09fcd2b7e629fd8d86552c2e6bf193d704bb5b215fe5ce517191f3e22e,60.21,3741.005,40.851
11,013d63984aa28db1a7eb60f0286d7123a429c07a2fa890d0aa38f75d3df24d1c,249.097,3123.834,228.973
12,232c79cbf484d136907ad028c78d37cd00920185a972ad84901484a710c29ac2,536.295,3249.019,529.072
13,d793e3f8a20a792c59444b33039c419af752a4c5989bd9fc0eadf716589138a0,649.366,1658.076,641.174
14,69d3cadf631271a75700029c729fefb782b10a9b4e9e3984a976a079c1721adb,203.165,1057.988,172.056
15,a58ca54d10ec68d4dcd030c50875491165fc4ea455b7862bfb09cc5d1f537dd1,326.799,1645.167,315.584
16,2b7be67bcdf1e09b3bc806bb15212fee0e2863e4392e2a52de7a026e4fffdcad,23.023,4.869,0.007
17,5a6740a92003828507821c2b7704f7ba9440d3c70a88c2891e6834f226047df3,136.318,961.05,120.16
18,0f5ead0d7be7dca2bcb2a19c87a6afc484ba6fc4e33d518c0b5906a7031d6b4e,618.63,2824.099,610.468
19,7480f6a2fb4458d2fe54039d6a74cf09a1bafb37eedfeb03818f0d9b3fbe0085,264.116,1116.947,248.809
20,337ad021e3a0b23386fb68fc06625cabffe30a25d0b97fcecf182277ef258add,610.662,193.079,602.491
21,808497c90f0b02427baf6af881258b4d2be629ceee4cf3d1d06592883b4629e6,360.882,1130.151,345.866
22,4ec68ebb7137a7b29be8d79d3e2e0a92de192a0805a3b88a634b415e151a4b44,633.496,428.073,625.368
23,b8917359caf102acd3616ecf2c1e90885daea4d95ee7f836e35934fee741564b,529.349,1433.108,515.112
24,031f6442e3ead8ebcb122cfe5208db9b16021af3538bf7a3789f3285d37941a0,786.551,2549.821,768.336
25,3d39d62728a003c1560d1a04746fc56494e1a65602187bdcd93857c7d4b4f863,153.523,831.992,135.979
26,987a9e3bd01e4fb8c5bba0397f05fbb410e17442e56a69517722b3b9299df9d9,689.287,1083.06,681.088
27,be284408513388221762fb6ba1ee3ec4ae77349aee68886f5e1de271343cfa0f,495.488,1660.951,473.199
28,da411b646e909154165ceef7601d8db853467d3f2a9f186a1d664194a6a76c2a,354.868,2178.944,338.496
29,77559bd766fe76869daab8247c3383ccd840fde22325e21a50abf320dec7d810,75.019,1312.012,59.741
30,1db305c8f24cd7c7eca5b667792754b8bafb507b04d7cc67e6bc2aad87fb7443,41.323,3618.927,0.005
31,2d018ee395b06e07d857348770d068f582060aa47b2f9ab379a112c7b48ee3eb,584.189,245.075,575.797
32,400fa2c9b4d85cb835a9a61c33de31463f983c536aae1c1b1e298bd1337c705f,713.127,236.022,704.901
33,586af4a539710f500f2f16290301541b45c99f3632190bfaf53862a53fc42961,103.854,999.029,88.661
34,99956b95016ed9f4022a65cdb62c5803403427eecbb4c275087c13ec518ccb7e,737.033,1035.108,728.657
35,fefc9ef9e7889fede400f987d01c66b96d2073a4912708fcf1814a635a81b583,665.305,2419.048,657.149
36,67177e29c2a8ead2b74ca5056215637368a6e962120101d0fad0f920b7870479,721.047,504.017,712.797
37,154753fe0fb3fcf206a2b57dbd3e2f7b9e872aa41d5940cbb80a0a54b0e3b8e6,544.228,3100.008,536.047
38,cad225e46fe4256c6ed68514872ba87f91071e4516716c8f43325391166bdf21,560.164,1595.989,551.983
39,0b37ebd83197c438bb4e96a0f7d1d47154009beb64af83057a5c647f8cdac616,594.689,2742.834,586.506
40,819ece904bd307ee587b22f1b6b4b5bfcaf42eb149bd2c5719facd7ef7d687bd,282.005,1402.031,263.88
41,c54bbbcc7d6211bddef964d50da9b9bed3ef34f01c336d007e1e713b5e21039f,657.33,1473.008,649.13
42,9aa721b508d0d59c5ee21f618d1e716fc52440290af0a56b24ffeaf6936c9293,625.634,1147.026,618.396
