transaction,logical_updates,changed,write_sync_ms,commit_ms
0,1,True,22.753667,22.801
1,1,True,25.930708,40.883
2,1,True,18.882125,18.896
3,1,True,14.926167,14.937
4,1,True,13.978459,13.985
5,1,True,14.947458,14.968
6,1,True,21.948625,21.957
7,1,True,15.917292,15.955
8,1,True,16.980125,16.987
9,1,True,11.119375,19.058
10,1,True,30.899,30.906
11,1,True,25.984375,25.99
12,1,True,19.902375,19.914
13,1,True,15.03075,15.04
14,1,True,17.918084,17.924
15,1,True,15.96025,15.995
16,1,True,17.934959,17.946
17,1,True,10.915375,10.926
18,1,True,11.967334,11.977
19,1,True,15.910708,16.006
20,1,True,14.786917,14.794
21,1,True,7.949167,7.957
22,1,True,15.01225,15.02
23,1,True,14.908709,14.917
24,1,True,11.926625,11.935
25,1,True,15.021875,15.035
26,1,True,47.885459,47.898
27,1,True,21.988166,21.997
28,1,True,19.897584,19.911
29,1,True,13.983791,13.996
30,1,True,6.96475,6.978
31,1,True,7.91325,7.934
32,1,True,7.99075,7.997
33,1,True,7.909166,7.916
34,1,True,7.978791,7.987
35,1,True,7.943459,7.949
36,1,True,7.952833,7.993
37,1,True,7.941125,7.947
38,1,True,7.988959,7.996
39,1,True,7.987541,11.958
40,1,True,7.975625,7.981
41,1,True,7.967667,7.973
42,1,True,7.964667,7.974
43,1,True,7.951625,7.961
44,1,True,7.022125,7.032
45,1,True,7.911417,7.921
46,1,True,7.976875,7.982
47,1,True,7.955,7.96
48,1,True,7.983041,7.992
49,1,True,7.9505,7.958
50,1,True,7.965167,7.971
51,1,True,7.974,7.982
52,1,True,7.983417,7.994
53,1,True,7.966166,7.974
54,1,True,7.955125,7.963
55,1,True,7.959458,7.965
56,1,True,7.989083,7.995
57,1,True,7.952916,7.96
58,1,True,7.94375,7.949
59,1,True,8.010292,8.018
60,1,True,7.967792,7.977
61,1,True,7.932333,7.938
62,1,True,7.977667,7.984
63,1,True,17.978958,17.986
64,1,True,15.944458,15.951
65,1,True,16.927417,16.935
66,1,True,31.741917,31.754
67,1,True,18.846875,18.856
68,1,True,31.980042,31.991
69,1,True,18.923958,18.931
70,1,True,14.958083,14.964
71,1,True,11.936917,11.943
72,1,True,24.360583,24.371
73,1,True,15.963041,15.971
74,1,True,6.952875,6.959
75,1,True,15.022542,15.028
76,1,True,39.96275,39.971
77,1,True,23.611333,23.62
78,1,True,24.182333,24.195
79,1,True,26.959583,26.967
80,1,True,15.909292,15.916
81,1,True,20.3195,20.34
82,1,True,18.911583,18.92
83,1,True,17.898292,17.905
84,1,True,14.930167,14.937
85,1,True,28.815875,28.824
86,1,True,15.848333,15.858
87,1,True,13.9955,14.001
88,1,True,14.042541,14.051
89,1,True,38.912667,38.93
90,1,True,17.458792,17.472
91,1,True,19.078875,19.088
92,1,True,17.86325,17.871
93,1,True,21.954042,21.961
94,1,True,16.9945,17.001
95,1,True,32.607834,32.616
96,1,True,16.010583,16.017
97,1,True,14.888375,14.894
98,1,True,15.050625,15.058
99,1,True,28.417167,28.427
100,1,True,24.03975,24.049
101,1,True,26.859875,26.869
102,1,True,17.064083,17.071
103,1,True,30.01225,30.025
104,1,True,31.354625,31.366
105,1,True,22.942333,22.951
106,1,True,20.921875,20.928
107,1,True,14.975042,14.982
108,1,True,10.942833,10.948
109,1,True,12.965625,12.971
110,1,True,21.086958,21.098
111,1,True,20.858083,20.867
112,1,True,19.938,19.947
113,1,True,19.961042,19.97
114,1,True,21.967375,21.979
115,1,True,11.936666,11.943
116,1,True,14.045125,14.055
117,1,True,25.93575,25.945
118,1,True,20.912917,20.921
119,1,True,27.465917,27.482
120,1,True,31.340875,31.349
121,1,True,20.954959,20.962
122,1,True,19.028292,19.036
123,1,True,20.839417,20.853
124,1,True,24.985166,24.999
125,1,True,23.93475,23.945
126,1,True,14.969292,14.978
127,1,True,18.967291,18.976
128,1,True,25.960875,25.971
129,1,True,15.919666,15.928
130,1,True,10.978708,10.985
131,1,True,7.913375,7.921
132,1,True,48.054292,48.063
133,1,True,18.868,18.877
134,1,True,17.961042,17.968
135,1,True,17.939916,17.95
136,1,True,24.990291,25.0
137,1,True,18.919833,18.928
138,1,True,14.975083,14.985
139,1,True,19.958833,19.97
140,1,True,39.822,39.834
141,1,True,30.668833,30.678
142,1,True,10.929791,10.937
143,1,True,11.009459,11.016
144,1,True,18.388958,18.404
145,1,True,12.517042,12.528
146,1,True,26.356959,26.367
147,1,True,20.913959,20.922
148,1,True,22.913917,22.922
149,1,True,19.96325,19.971
150,1,True,14.007833,14.013
151,1,True,9.949333,9.955
152,1,True,20.928583,20.937
153,1,True,35.865167,35.886
154,1,True,29.038667,29.049
155,1,True,19.312417,19.324
156,1,True,22.72,22.727
157,1,True,17.086208,17.093
158,1,True,14.828292,14.838
159,1,True,13.004083,13.011
160,1,True,13.9705,13.978
161,1,True,7.9225,7.931
162,1,True,11.965334,11.972
163,1,True,11.943458,11.951
164,1,True,26.527,26.536
165,1,True,18.944208,18.954
166,1,True,14.888541,14.895
167,1,True,11.972208,11.979
168,1,True,30.343166,30.361
169,1,True,21.81175,21.821
170,1,True,16.931417,16.94
171,1,True,22.892125,22.899
172,1,True,15.959666,15.966
173,1,True,22.812334,22.822
174,1,True,25.946917,25.954
175,1,True,20.949166,20.958
176,1,True,18.92325,18.933
177,1,True,18.964417,18.973
178,1,True,31.860584,31.871
179,1,True,30.72875,30.737
180,1,True,23.962875,23.969
181,1,True,27.054375,27.072
182,1,True,28.806583,28.816
183,1,True,17.887917,17.898
184,1,True,9.989417,9.996
185,1,True,10.937167,10.942
186,1,True,25.749125,25.758
187,1,True,20.92275,20.932
188,1,True,19.927042,19.934
189,1,True,16.026791,16.033
190,1,True,18.783042,18.792
191,1,True,9.963917,9.969
192,1,True,35.98425,35.992
193,1,True,20.886375,20.893
194,1,True,29.419833,29.433
195,1,True,24.845209,24.855
196,1,True,22.930959,22.939
197,1,True,22.915542,22.922
198,1,True,15.022625,15.029
199,1,True,22.566667,22.576
200,1,True,22.765667,22.777
201,1,True,14.922875,14.931
202,1,True,16.936667,16.944
203,1,True,17.829208,17.844
204,1,True,15.928834,15.936
205,1,True,57.939209,57.972
206,1,True,19.961709,19.969
207,1,True,19.560541,19.579
208,1,True,32.519333,32.528
209,1,True,15.936666,15.945
210,1,True,15.971167,15.977
211,1,True,7.966209,7.974
212,1,False,0.0,0.001
213,1,False,0.0,0.0
214,1,False,0.0,0.001
215,1,False,0.0,0.001
216,1,False,0.0,0.0
217,1,False,0.0,0.001
218,1,False,0.0,0.0
219,1,False,0.0,0.0
220,1,False,0.0,0.0
