index,fact,save_ms,save_to_relay_ms,save_wait_ms
0,f3540b2b4b701e9cef3f589831d6385112ef329394b40a68aff881d00e57d6fb,57.536,1056.094,21.562
1,e2864c2b7545116efaa0caa5247ae42b0768bca2826618ab371da22ca50fa4c7,58.259,885.055,22.108
2,6f43926a62e4c5bfddd3c43c71c5bfb045b6de9fb58759bf1dc9a4d6f4eb724c,59.555,170.072,23.443
3,8579212c2a04e52e456ddbc956c37fdd063357d549fc9bec687f928023047954,57.471,295.996,21.5
4,a2712446485d290e3658ecd7b421e4688835c48e11d765597112b7c87e18c444,59.298,378.085,23.154
5,347ab7d0d3a992c452800f75a57f71df8540d9de5898c0e1325327a99f486944,59.183,1635.008,23.099
6,b7a5bc135ef1026c0eeb576a7016671e13840960fecc1d89ea2803bd0ef4fbc3,59.177,587.105,23.099
7,f863e813bbb2e729c3a51ca690f68bf1dec6a60228792b86b09f18b87f209ae9,59.36,1122.0,23.251
8,3092bd78741e6d8011a69196c2d4fa5ccd6e645549ca0051691b92327148da93,59.154,1635.012,23.085
9,5fa80149982bdc99085e68e89a3111bce155024b517d686ab196435da1fb30ed,59.25,0.014,23.139
10,a9a0c803a2eab5c0e39e323c21a864bd91d46ca98892c0fa2bf6703e95ea7759,59.526,378.088,23.423
11,24fa31c0ff4cb7e5cec76959bbe4904a85fe7846526fac7bfba221bde9f421c7,57.585,1549.039,21.221
12,b9b90a683a997eb6a949603f6cf3bd03e6ceb78e0504ece9bab72c4519287eed,58.957,587.132,22.919
13,a157ea5161e9c875872441262061b6c90173d981619f728581fb84675dce7a3f,59.55,378.065,23.421
14,dac2466099c733f8b155594736be6fbe86856899472243d73ce60e3d3292e7e7,46.527,888.136,16.269
15,442ab802a34355fd8bc69d911fd9f02e1326334216a306ab7ebd5f06f4015faa,16.49,11.422,0.016
16,ce37f8c2b773b5ab4ec4dcbc3b2d0e80a8b6fdd6caf829a39ead8510c8f024f7,58.82,716.028,22.811
17,bcb3acd19220fd855028063ea9f9270b10df5841780d95e8beffc18b24354dee,59.259,587.139,22.96
18,5fe0354205e4af43da1c12704a5ca503c5a3572f35e4ba05bc425acd4d5210ba,34.169,152.906,16.926
19,009ecd975279fd5942bbb6ce41bb4a93dd7609de1d1ab5e6e712d7b1aa45a118,57.477,1283.735,21.231
20,0904c702e936c517a5a7f8817cb05d22b95eeaf4008165733bf08f8ab23575b4,57.907,1283.722,21.901
21,190d2790450b761f4e720d8ff599eec865f3863053c2efbdffad08cea39c7b0f,58.07,1392.07,22.057
22,531fd6aaaa9682404c73bd627064e646b8d65afd353aa9f4b5380269410d3e09,59.108,0.042,22.956
23,ec1962de3710b47a953472bfdf1f20c20cab18a51f054ba8b494351d22fe5b40,58.892,885.077,22.076
24,22bbe09d4e8bc04636696be1c82b3274c17eddbb238dbc64215f6ffe44d1d711,44.607,1585.043,20.476
25,2170809859310748d60385306bb21629381a9e5d0da82118964291465b278403,22.082,1450.733,0.011
26,f1df926c8f2e7e33e26e33e94ed06f903b3969af2f33eef935ded994c2db139c,58.662,1056.107,21.95
27,25d5ae93121aeb5f6997ef7ec0a94c4169404a05730e2886c1d8a985bcf42c15,57.536,1549.04,21.467
28,f620a6077f63ee7d65bbb8d24c064f830687bfc803e35361b755b4124e122302,44.698,1092.05,20.242
29,8af02f4ef24a45161a0eed68ff51846d44be78f5d61e8e580e8ba88951502b74,59.051,296.016,22.958
30,910cd972c4c06752890cea01ad5761485a77d46e9d62b755f3611673025a8388,58.655,378.059,21.922
31,6297b680a607c941ae95eb61836355aa4b38fd5a70797046f8fbb0aac29c14e1,58.766,72.031,22.244
32,50aa8ea62b6ddd8e685defc605c07f32ed9e0db4254ec760444139132038788c,44.65,36.008,20.525
33,d5a90e459be40b9d41b61e09f1ee35329d612b8f72eef6db9ee81c9e39e0b5ad,59.57,790.207,23.449
34,cd3f94429ccd34d32edcd0064829727d7f35628a40301d0d8af5f5f618f6d146,44.465,751.999,20.337
35,2d549dea7fbfdb47a291d03ac1592e5191a31a1b7776cb15e3eaeabb657ca52e,59.19,1635.005,23.102
36,fcb31255d5e41ea8ca9adcc629971b0a3b736547cf1759c76c4a0445ff4ac456,59.209,1122.001,23.118
37,bf4cef2b25c980efddcf8006a7a8e04afc5ddcc059d75a0aa0d6f8e37fce30e3,43.642,685.039,13.379
38,876440d34889bdf81d90e4a891f20dcc14a7a35be6d9b5e77bc78dd3a402a4d7,59.574,296.065,23.454
39,0db1e4adfd15b7ebadbe5e35b6471a0b5d565f94d5a106b821530b2a7f8bfd1c,80.036,1392.113,22.958
40,aa7b5bb939f0399e1e0bf04a4dc96b82a6d3f2cd239ffa90586696a324153ad3,80.148,457.05,22.961
41,28c3c3f1996dcd5f5fbe9ab57e702dc5e6a0e0ee186f2246eaf03bbb9aca3b5e,58.273,1634.996,22.11
42,67006ea6e8179873a8d08708632878a4b14eee2ff4239b361c2b89a376bc75e4,59.677,72.016,23.52
43,7ac15fa2452851cc0ba3c2f65252716dca590a3aa747a654974d0e58a707402f,58.9,170.029,22.878
44,77e8b564355df139be5cf251b96626294a145765bd983e2877deb7ec7476d4fc,57.936,170.026,21.861
45,f55218cd62340afed23e9f0ef34388b85a39f6dac7f5bd9381848dc57cdd613d,79.938,1056.098,21.762
46,84d7f20badc22d1131eb5b6165c40c46efea905972cfd7fda709f76afb7e0741,57.792,296.021,21.823
47,1d34d3b70977bbbc1769b93eaa9e9d714e0dcc5c2a26cf28a63778992e573a40,80.217,1392.118,21.832
48,6a9959b3e793f9d191e528a96078641ac3e290fdc5e1f583a576e06534f4b701,59.218,72.012,23.055
49,2666a407711cf7579f79e0b93946a1b7cb5d2c1e61c9744321449b40efef68e0,59.593,1549.056,23.454
50,b3c978b99bf41265b7decc33219b93cbeebf61314336d46e390b424ffedca625,59.517,457.056,23.396
51,412fbd42cb0aa5cb77bf19fb85215d18471c8a44c9294b743d986d56746dba93,57.75,1724.022,21.589
52,dafc0139f66c0d32d33b89801681a2753ef98aa3469c079bc78c4097fdace6f5,58.137,790.143,21.834
53,c0b5fae5701f7ccc12dd738ecd0baa2b1ee3f159305280ad2620cd0a99427b07,79.956,716.018,21.842
54,71530724f72802109d1eccbcd0addcabffef4a9c9885b856db2ea7c6d5d4dbb5,58.837,170.031,22.816
55,ccbc6237d0395588e7470a021c9996214b70c13bc2070f98e2f3f46d98ed4ff8,80.189,716.019,21.764
56,da750d32a3db400446235887e8082f47baa3c0b6abc0f92f4a28ceaeaac0311a,59.156,790.166,23.085
57,03474b18d04f331bb9fe9b1e7a99ca176ed0f9bf7ce9e96a13425fd35b8712fd,57.94,1283.738,21.921
58,b3a16bb126251d71ba5d19ea2f5c1d27be460d2840b395c1bc171fb9dbd7bd22,59.185,457.032,23.048
59,4de2d5d57cdf4f076b54904ec8a1d7d3d0e2ec225bbccd53540a10c4680b3b1f,57.591,0.034,21.604
60,ea4c0b4c0cbf5d4536c3467448c78b6b7e620754b706cc208d1ac81e449c1678,59.647,885.057,23.448
61,eea99fd1ce64977ba35ba77c35491cf9d833feeca96900bb23fe3479d1a6086a,34.143,965.93,16.919
62,b4b6258508a032eb0fc63c4d2c066c02d851e2058330b81838b4787c9c874410,59.004,457.048,22.953
63,024f4b90b8c38986900c3d9fbbd621c697a756cfd28bba3bf738cc2a472d4694,58.269,1283.73,22.11
64,418b791782e304567c9bf2477d1412892b6350c4744987e698e012aacae33409,29.613,1112.965,5.343
65,a3aaf2010505f3324004497c892ebd22cb8dfce63e61856e3b75b48937ba85cc,20.7,992.002,0.006
66,d46f5004d19c46e1e0f4acd233c0e5a303f055fc4d37f5a550d3ca8f50f83982,39.349,1058.986,20.074
67,7684aab657202934291d91d7eae4c51ca056be22487c68c462f0703c59aaab6b,39.592,891.965,20.364
68,4efa6e5f4737115ee30f9f4385a128cdbaab59863f051ec089bdb551f974040b,39.598,750.015,20.358
69,e0702f89d4a5854dbedf278bb575149b9c75f80556fc3a5550450a67608eabac,21.621,1155.983,2.394
70,f9e76c118190985594aebedab9404098b8e5f07c5fc6104e309648f1fc491f4b,39.664,978.962,13.301
71,3bddabcbfc9875bde66f5bab454ce7a71dff00d38f3e4c791243f67f37129bd9,19.255,270.011,0.007
72,d0b82b057080681097512b4d88afd37d659b42c3439ed47a036b3a2f2a45b54b,39.852,681.84,13.472
73,e0f66416eb544e7f9c3c9ea8ca9409d667dde6984c22182a939354c62abc8dfa,39.569,778.798,13.188
74,1ce400e1cd0230fc99fc098e5e2dc4e03398eeacc3c2b1e8a2f2be89cacf58c7,39.671,1203.349,13.305
75,fdb803149fc8f5e76449b273b4dfde47e4346d94c774b0ae09703d918b4c209c,68.564,910.131,31.472
76,ffb8ac4f298e6a83f1837a9dd4c509f0c2aa2e182a50300d6eb844e7152a478a,68.712,994.014,31.553
77,f6b86cbfe14e2a06f0b1465999062334717a97f2bd153390bac238fefab483c7,68.674,910.141,31.566
78,348b36a127b3044d39c6aca6be13616f2d5c8e5747f5a3a8e8e1c209c75fa6a3,68.696,174.987,31.576
79,7163fe27942b890f74e46c195588dfbb02cdbbd6ef360c0b83f4ad599298111b,77.684,445.969,31.796
80,d9b5fa880507e2e5d14d1461f7fc8b17d1ab857f4128f9e7b945ed42fdb1d17e,77.661,710.042,31.89
81,49f44c315cd161d2aa805658a1ce65848078e38eac1de50770e12f1df043654f,68.659,304.07,31.562
82,4e89319d7150722d3f301280a72568abd7add9ce2369040c64ae409788d8df5f,77.61,304.081,31.815
83,54c6c7b74760d3214cae690d6c1379dde3a3c2fc8434d466dba36b807da0459e,68.799,445.978,31.672
84,9cf4a8a7f1b1e3c9f3926ef657c07c0e5c2291e5ee13454132fe95f946377b1e,36.941,595.8,10.585
85,b660d9f6a4b05eecce9d0df95cfbb74f1e22a9faf1b707d1b50d745538de6d0b,36.787,595.832,10.472
86,491673ecef5d2d9f54413bb7922b01afc2b642cafe65f2186f1e5d047322f8fd,40.642,340.992,0.009
87,eb5d9ae48b224005cd776e4f5c319ff6ec70b202eabfee7b859ad7e07ad3252b,68.708,796.012,31.581
88,9ad8fe39537abbd0379df1d74899f2db2057d5bec5159e53bfa77aae7427ef92,36.849,514.804,10.494
89,a316392d45017a6ec7a44b59d200efd25e66a244f18d84579006a425e35a1249,68.449,857.033,36.31
90,929c05642f783467f7a6ea04c6d150fd53bf048a1e48b7e9709fb5c38f39067c,68.605,857.07,36.437
91,8bc9207cb25fbcbf5e9eea155517663e4e134d32f25b0523a6992d2032757836,68.597,779.736,36.437
92,f4841f8cb21d54ad931bb939ec9b11a5c7d342ab822a7d1066b839b267966828,68.575,409.998,36.434
93,d75a110652774ea20215429f14b3305afbfb1a229b1c7637fc82f2f2bdcead01,68.571,167.046,36.422
94,f9c93dff48173279dbd73a1c8715245dcbabe3004bd0cbcfbfb5617670dacb15,46.569,464.171,14.462
95,158f1b70399b3066fd61cd0ce3af8293fba9efd17286d59329baa7c6f678964c,46.694,688.586,14.559
96,72b5e1820b3e76d8ec139dc838c9c74a1faab49d252917711a29666c6e7defcb,46.647,779.761,14.54
97,769bb3f89d550309e15be68f6214a09052dec304e9d1d6832949aeb210e7f894,46.59,779.745,14.46
98,dc5509211aff50d180b97298478031a892b3fff5196cfb98b346f1d4913e1815,46.556,264.028,14.385
99,d1951d283b140c05a03a414c2ba28083ad2c297239ca14b81797ea9cf05a0d54,46.662,167.053,14.546
