elapsed_ms,sent,fast,received,commit,wallet_durable,members_durable,sent_not_received,received_not_committed
0,0,0,0,0,0,0,0,0
250,64,64,1,0,0,0,63,1
500,64,64,13,1,0,0,51,12
750,64,64,21,1,0,0,43,20
1000,65,65,33,6,1,1,32,27
1250,70,65,41,25,6,6,29,16
1500,70,70,47,25,6,6,23,22
1750,89,82,55,37,25,25,34,18
2000,89,89,63,37,25,25,26,26
2250,100,100,71,47,37,37,29,24
2500,100,100,82,47,47,47,18,35
2750,100,100,92,63,47,47,8,29
3000,100,100,95,83,63,63,5,12
3250,100,100,100,83,63,63,0,17
3500,100,100,100,93,83,83,0,7
3750,100,100,100,100,100,93,0,0
4000,100,100,100,100,100,100,0,0
4250,100,100,100,100,100,100,0,0
4500,100,100,100,100,100,100,0,0
4750,100,100,100,100,100,100,0,0
5000,100,100,100,100,100,100,0,0
5250,100,100,100,100,100,100,0,0
5500,100,100,100,100,100,100,0,0
5750,100,100,100,100,100,100,0,0
6000,100,100,100,100,100,100,0,0
