order,index,height,fact,proposer,first_submitter,sent_ns,fast_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,send_offset_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,gateway_persist_ms,gateway_queue_ms,install_fanout_ms,response_to_committee_ms,fast_to_committee_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_observe_lag_ms,member_apply_from_commit_ms,block_observed_ms,members_observed_ms
1,0,6,f3540b2b4b701e9cef3f589831d6385112ef329394b40a68aff881d00e57d6fb,committee2,org0-member3,1789786997344318000,1789786997562297000,1789786998651205000,1789786999464144000,1789786999797174000,1789786999839129000,0.094,217.979167,2.253,165.001,2.411,48.314,57.536,1056.094,43.704,1139.633,1088.908,0.052,2.131,404.959,24.852,275.204,9.652,0.638,0.88,3.967,54.73,35.925,2119.826,296.245,13.343,0.247,0.017,1.492,21.652,15.256,12.629,374.985,2468.115792,2507.44375
2,2,4,6f43926a62e4c5bfddd3c43c71c5bfb045b6de9fb58759bf1dc9a4d6f4eb724c,committee0,gateway0,1789786997344320000,1789786997562337000,1789786997822566000,1789786998557321000,1789786998939207000,1789786998955133000,0.096,218.0175,10.322,154.905,4.586,48.204,59.555,170.072,82.829,313.019,260.229,0.036,1.754,360.03,11.273,294.53,4.141,0.625,0.734,22.472,15.103,24.093,1213.001,330.08,2.375,0.134,0.008,2.773,46.509,0.235,-2.174,397.812,1595.124166,1608.64075
3,6,5,b7a5bc135ef1026c0eeb576a7016671e13840960fecc1d89ea2803bd0ef4fbc3,committee3,gateway0,1789786997344325000,1789786997562293000,1789786998216403000,1789786999036145000,1789786999400151000,1789786999454168000,0.101,217.968,12.696,152.919,3.43,48.923,59.177,587.105,59.561,706.463,654.11,0.062,0.777,367.781,8.949,328.248,0.012,0.698,0.877,17.009,24.413,70.977,1691.82,308.43,15.437,0.128,0.009,2.144,37.85,-12.835,0.799,418.023,2042.994,2110.644666
4,5,7,347ab7d0d3a992c452800f75a57f71df8540d9de5898c0e1325327a99f486944,committee1,gateway0,1789786997344341000,1789786997562397000,1789786999224508000,1789786999854190000,1789787000205144000,1789787000239113000,0.117,218.056458,6.759,158.835,4.096,48.366,59.183,1635.008,19.941,1714.573,1662.111,0.071,0.732,270.065,25.088,251.007,18.728,0.661,0.73,4.255,38.338,20.077,2509.849,301.219,3.078,0.122,0.01,2.282,44.235,7.28,-5.35,384.923,2868.086875,2889.426041
5,8,7,3092bd78741e6d8011a69196c2d4fa5ccd6e645549ca0051691b92327148da93,committee1,gateway0,1789786997344352000,1789786997562307000,1789786999256408000,1789786999854190000,1789787000205144000,1789787000239113000,0.128,217.955791,4.918,160.695,3.477,48.865,59.154,1635.012,51.85,1746.443,1694.101,0.05,1.487,237.41,25.088,251.007,21.394,0.552,0.878,1.55,38.338,20.077,2509.838,301.219,3.078,0.122,0.01,2.282,44.235,7.191,-0.849,384.923,2867.987375,2893.91575
6,9,3,5fa80149982bdc99085e68e89a3111bce155024b517d686ab196435da1fb30ed,committee1,gateway0,1789786997344352000,1789786997562240000,1789786997601729000,1789786998150219000,1789786998486171000,1789786998574156000,0.128,217.88875,1.51,164.02,4.242,48.116,59.25,0.014,31.891,91.847,39.489,0.303,1.942,226.866,3.855,224.824,3.122,0.644,0.824,2.898,61.458,22.056,805.867,310.228,0.967,0.28,0.009,0.742,23.718,1.108,13.87,423.937,1142.928375,1243.6755
7,11,7,24fa31c0ff4cb7e5cec76959bbe4904a85fe7846526fac7bfba221bde9f421c7,committee1,gateway0,1789786997344352000,1789786997562319000,1789786999186359000,1789786999854190000,1789787000205144000,1789787000239113000,0.128,217.967542,1.554,143.614,24.431,48.368,57.585,1549.039,67.758,1696.839,1624.04,0.045,2.134,306.812,25.088,251.007,17.186,0.673,0.856,5.659,38.338,20.077,2509.838,301.219,3.078,0.122,0.01,2.282,44.235,7.202,-5.622,384.923,2867.99775,2889.142709
8,1,6,e2864c2b7545116efaa0caa5247ae42b0768bca2826618ab371da22ca50fa4c7,committee2,org0-member2,1789786997344357000,1789786997562124000,1789786998548784000,1789786999464144000,1789786999797174000,1789786999839129000,0.133,217.767,1.274,165.232,2.381,48.88,58.259,885.055,119.818,1037.921,986.66,0.067,17.218,492.293,24.852,275.204,0.018,1.355,0.856,12.908,54.73,35.925,2119.787,296.245,13.343,0.247,0.017,1.492,21.652,15.044,12.618,374.985,2467.864,2507.393209
9,12,5,b9b90a683a997eb6a949603f6cf3bd03e6ceb78e0504ece9bab72c4519287eed,committee3,org0-member0,1789786997344357000,1789786997562282000,1789786998216604000,1789786999036145000,1789786999400151000,1789786999454168000,0.133,217.925583,11.699,154.122,0.356,51.748,58.957,587.132,89.635,706.426,654.322,0.048,1.271,367.086,8.949,328.248,1.595,0.672,0.9,15.429,24.413,70.977,1691.788,308.43,15.437,0.128,0.009,2.144,37.85,-12.81,0.858,418.023,2042.986541,2110.671375
10,10,4,a9a0c803a2eab5c0e39e323c21a864bd91d46ca98892c0fa2bf6703e95ea7759,committee0,gateway0,1789786997344358000,1789786997562257000,1789786998011461000,1789786998557321000,1789786998939207000,1789786998955133000,0.134,217.898917,4.863,160.348,4.379,48.309,59.526,378.088,57.772,501.892,449.204,0.131,1.608,171.281,11.273,294.53,18.361,0.626,0.714,8.27,15.103,24.093,1212.963,330.08,2.375,0.134,0.008,2.773,46.509,0.624,-3.497,397.812,1595.475125,1607.279792
11,13,4,a157ea5161e9c875872441262061b6c90173d981619f728581fb84675dce7a3f,committee0,gateway0,1789786997344608000,1789786997562281000,1789786997999425000,1789786998557321000,1789786998939207000,1789786998955133000,0.384,217.674042,1.23,163.726,5.102,47.615,59.55,378.065,51.804,489.861,437.144,0.06,0.803,184.122,11.273,294.53,15.736,0.565,0.717,10.953,15.103,24.093,1212.713,330.08,2.375,0.134,0.008,2.773,46.509,-10.663,-4.698,397.812,1583.93825,1605.829292
12,14,5,dac2466099c733f8b155594736be6fbe86856899472243d73ce60e3d3292e7e7,committee3,gateway0,1789786997344642000,1789786997464135000,1789786998423356000,1789786999036145000,1789786999400151000,1789786999454168000,0.418,119.493917,1.233,78.762,0.093,39.405,46.527,888.136,63.604,998.719,959.221,0.054,2.846,158.759,8.949,328.248,16.85,0.754,0.89,0.101,24.413,70.977,1691.503,308.43,15.437,0.128,0.009,2.144,37.85,-10.838,-7.729,418.023,2044.673792,2101.79975
13,7,6,f863e813bbb2e729c3a51ca690f68bf1dec6a60228792b86b09f18b87f209ae9,committee2,gateway0,1789786997344654000,1789786997562387000,1789786998725560000,1789786999464144000,1789786999797174000,1789786999839129000,0.43,217.733541,11.211,153.896,4.26,48.366,59.36,1122.0,34.044,1215.799,1163.173,0.034,0.747,331.988,24.852,275.204,12.498,0.551,0.712,1.376,54.73,35.925,2119.49,296.245,13.343,0.247,0.017,1.492,21.652,15.304,3.907,374.985,2467.827041,2498.385625
14,15,2,442ab802a34355fd8bc69d911fd9f02e1326334216a306ab7ebd5f06f4015faa,committee2,gateway0,1789786997344744000,1789786997441110000,1789786997511869000,1789786997818122000,1789786998105272000,1789786998114216000,0.52,96.365208,0.871,78.976,0.077,16.442,16.49,11.422,58.917,87.278,70.759,0.056,0.966,10.889,0.825,244.627,0.013,0.758,0.921,0.022,32.276,14.955,473.378,227.057,0.371,0.116,0.006,0.172,59.421,-39.008,-7.348,296.094,721.520416,762.124333
15,4,4,a2712446485d290e3658ecd7b421e4688835c48e11d765597112b7c87e18c444,committee0,gateway0,1789786997344746000,1789786997562416000,1789786998011404000,1789786998557321000,1789786998939207000,1789786998955133000,0.522,217.670125,2.74,162.331,3.931,48.668,59.298,378.085,57.732,501.587,448.988,0.049,0.928,172.018,11.273,294.53,17.028,0.564,0.762,9.617,15.103,24.093,1212.575,330.08,2.375,0.134,0.008,2.773,46.509,0.283,-4.516,397.812,1594.746459,1605.87275
16,3,4,8579212c2a04e52e456ddbc956c37fdd063357d549fc9bec687f928023047954,committee0,gateway0,1789786997344751000,1789786997562358000,1789786997921343000,1789786998557321000,1789786998939207000,1789786998955133000,0.527,217.607625,1.045,165.866,2.331,48.365,57.471,295.996,55.587,409.681,358.985,0.036,0.805,262.202,11.273,294.53,9.673,0.652,0.899,16.747,15.103,24.093,1212.57,330.08,2.375,0.134,0.008,2.773,46.509,-0.397,-4.426,397.812,1594.060542,1605.957584
17,17,5,bcb3acd19220fd855028063ea9f9270b10df5841780d95e8beffc18b24354dee,committee3,gateway0,1789786997344768000,1789786997562261000,1789786998246393000,1789786999036145000,1789786999400151000,1789786999454168000,0.544,217.493375,1.561,163.499,4.854,47.579,59.259,587.139,89.675,736.565,684.132,0.073,7.872,330.696,8.949,328.248,4.745,0.659,0.84,12.352,24.413,70.977,1691.377,308.43,15.437,0.128,0.009,2.144,37.85,-12.85,-25.341,418.023,2042.535208,2084.061541
18,18,3,5fe0354205e4af43da1c12704a5ca503c5a3572f35e4ba05bc425acd4d5210ba,committee1,gateway0,1789786997344839000,1789786997513435000,1789786997691367000,1789786998150219000,1789786998486171000,1789786998574156000,0.615,168.595458,1.014,108.194,2.186,57.202,34.169,152.906,49.812,237.32,177.932,0.043,0.823,138.347,3.855,224.824,6.128,0.599,0.724,0.038,61.458,22.056,805.38,310.228,0.967,0.28,0.009,0.742,23.718,2.526,15.386,423.937,1143.858792,1244.704542
19,16,5,ce37f8c2b773b5ab4ec4dcbc3b2d0e80a8b6fdd6caf829a39ead8510c8f024f7,committee3,org0-member0,1789786997344844000,1789786997530384000,1789786998313845000,1789786999036145000,1789786999400151000,1789786999454168000,0.62,185.540542,2.177,163.28,0.098,19.985,58.82,716.028,41.81,803.544,783.461,0.045,1.546,269.57,8.949,328.248,7.764,0.661,0.879,9.291,24.413,70.977,1691.301,308.43,15.437,0.128,0.009,2.144,37.85,-19.612,0.844,418.023,2035.697833,2110.17075
