case,grant,delay_s,offered_units,admitted_units,closed_units,public_payments,not_started,partial_approval_payments,actual_obligations,actual_obligation_fraction,user_fee_actual,organization_FUEL_debit,elapsed_s
owner-r3-fee-normal,,3,1,1,1,2,0,0,1,1.0,188,0,3.459151
owner-r3-fee-repair,,35,1,1,1,2,0,0,1,1.0,193,0,35.445894
owner-r3-gate-k1,3600,1,6000,3208,3208,6416,2792,0,1478,0.4607231920199501,603104,0,308.992629
owner-r3-gate-k3,1122,1,6000,2743,2743,5486,3257,0,1398,0.5096609551585854,515684,0,311.447688
owner-r3-k1-high,14400,1,6000,6000,6000,12000,0,0,5999,0.9998333333333334,1128000,0,301.853338
owner-r3-k1-low,3600,1,6000,166,38,102,5834,58,29,0.7631578947368421,9588,0,359.998364
owner-r3-k1-medium,7200,1,6000,6000,6000,12000,0,0,6000,1.0,1128000,0,301.863319
owner-r3-k1-medium-delay3,7200,3,6000,1792,1792,3584,4208,0,913,0.5094866071428571,336896,0,310.218251
owner-r3-k3-high,4488,1,6000,6000,6000,12000,0,0,5998,0.9996666666666667,1128000,0,301.931734
owner-r3-k3-low,1122,1,6000,176,48,112,5824,63,46,0.9583333333333334,10528,0,359.974329
owner-r3-k3-medium,2244,1,6000,2325,2325,4650,3675,0,1078,0.46365591397849465,437100,0,308.562189
owner-r3-probe,,3,1,1,1,2,0,0,1,1.0,188,0,3.440868
