fact,member_url,validation_ms,storage_queue_ms,storage_callback_ms,storage_return_ms,vote_sign_ms
fc26903cbeaf34aad5922a5cb8e44a228888083df5131133d5e4a2883234c1d8,http://127.0.0.1:28001,14.78225,12.230542,0.087375,18.309958,0.014584
fc26903cbeaf34aad5922a5cb8e44a228888083df5131133d5e4a2883234c1d8,http://127.0.0.1:28000,2.526917,10.183208,0.044708,68.098917,0.013333
fc26903cbeaf34aad5922a5cb8e44a228888083df5131133d5e4a2883234c1d8,http://127.0.0.1:28003,2.1035,51.4785,0.048416,11.467584,0.034791
3c8e6589bf5f37d03704cd09134ebe103d9ac3b11dc02402615de611fadc09cd,http://127.0.0.1:28001,1.588,20.583708,0.044042,43.300083,0.013375
3c8e6589bf5f37d03704cd09134ebe103d9ac3b11dc02402615de611fadc09cd,http://127.0.0.1:28000,32.811583,10.192625,0.042958,67.9755,0.016959
3c8e6589bf5f37d03704cd09134ebe103d9ac3b11dc02402615de611fadc09cd,http://127.0.0.1:28003,1.8575,51.77475,0.049375,11.556666,0.018709
697422a2ac4316ec53d8586b063880b621cce496b3c0af05a85152e78d9ac99a,http://127.0.0.1:28001,13.043292,20.618166,0.092542,42.33075,0.017458
697422a2ac4316ec53d8586b063880b621cce496b3c0af05a85152e78d9ac99a,http://127.0.0.1:28000,12.8695,10.807333,0.061458,69.367792,0.014
697422a2ac4316ec53d8586b063880b621cce496b3c0af05a85152e78d9ac99a,http://127.0.0.1:28003,18.77125,3.2545,0.043542,48.492917,0.013583
77a7ec30492d9e1903613804fb35f3d623c5a64fa815652ede633bfc26a39224,http://127.0.0.1:28001,11.334417,20.563791,0.048334,43.833958,0.013375
77a7ec30492d9e1903613804fb35f3d623c5a64fa815652ede633bfc26a39224,http://127.0.0.1:28000,33.50375,10.706125,0.045833,66.844458,0.014167
77a7ec30492d9e1903613804fb35f3d623c5a64fa815652ede633bfc26a39224,http://127.0.0.1:28003,0.903791,51.636458,0.047542,11.22675,0.015083
73be5dae398d37eb406969e3c4f835aa8beba97d4333f7b7e65d4b07f04576fc,http://127.0.0.1:28001,2.829667,20.619125,0.045125,42.388583,0.013792
73be5dae398d37eb406969e3c4f835aa8beba97d4333f7b7e65d4b07f04576fc,http://127.0.0.1:28000,1.64325,10.398709,0.044041,68.691042,0.013292
73be5dae398d37eb406969e3c4f835aa8beba97d4333f7b7e65d4b07f04576fc,http://127.0.0.1:28003,20.034,3.28775,0.048333,48.743167,0.013875
be4c2954dfa3c8d5bc1772a8b07810d95ac87faaefb80ab47443e13b80cd8943,http://127.0.0.1:28001,21.882042,20.746917,0.0455,44.790166,0.01325
be4c2954dfa3c8d5bc1772a8b07810d95ac87faaefb80ab47443e13b80cd8943,http://127.0.0.1:28000,0.716375,25.229541,0.061042,23.732208,0.086584
