elapsed_ms,sent,fast,durable,submitted,received,commit,wallet_durable,members_durable,saved_not_submitted,received_not_committed
0,0,0,0,0,0,0,0,0,0,0
250,64,64,17,17,17,0,0,0,0,17
500,64,64,64,64,64,1,0,0,0,63
750,65,64,64,64,64,1,1,1,0,63
1000,65,65,65,65,65,17,1,1,0,48
1250,81,65,65,65,65,64,17,17,0,1
1500,81,81,81,81,81,64,17,17,0,17
1750,100,100,100,100,100,65,64,64,0,35
2000,100,100,100,100,100,81,65,65,0,19
2250,100,100,100,100,100,81,65,65,0,19
2500,100,100,100,100,100,100,81,81,0,0
2750,100,100,100,100,100,100,100,100,0,0
