order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,3,fc26903cbeaf34aad5922a5cb8e44a228888083df5131133d5e4a2883234c1d8,4,committee2,1789807014655499000,1789807014857720000,1789807014956314000,1789807014833803000,1789807014956630000,1789807014956820000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016258711000,0.095,171.527,202.221,8.466,121.138,0.208,72.409,0.036,171.19,48.664,122.511,0.299,0.049,0.316,1.665,0.061,1.435,493.364,36.222,256.761,1.725,0.638,0.817,65.482,24.076,55.992,301.131,1237.834,1035.613,936.513,244.236,14.517,0.196,0.008,7.198,20.787,2.458,341.931,23.447,289.408,1527.242,1603.212
2,2,3c8e6589bf5f37d03704cd09134ebe103d9ac3b11dc02402615de611fadc09cd,4,committee2,1789807014655742000,1789807014857542000,1789807014956314000,1789807014833775000,1789807015023504000,1789807015023646000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016259562000,0.338,238.645,201.8,7.407,121.71,0.267,72.416,0.025,171.47,48.891,122.539,67.149,66.958,67.19,2.183,0.039,2.003,425.97,36.222,256.761,52.335,0.55,0.698,15.079,24.076,55.992,367.762,1237.591,1035.791,869.687,244.236,14.517,0.196,0.008,7.198,20.787,2.331,341.931,24.298,289.281,1526.872,1603.82
3,5,697422a2ac4316ec53d8586b063880b621cce496b3c0af05a85152e78d9ac99a,4,committee2,1789807014655802000,1789807014857743000,1789807014956314000,1789807014833593000,1789807015024103000,1789807015024251000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016258915000,0.398,241.359,201.941,8.555,118.387,1.415,73.584,0.024,173.572,50.825,122.721,67.763,67.57,67.789,2.196,0.045,2.01,425.358,36.222,256.761,53.59,0.546,0.861,13.665,24.076,55.992,368.301,1237.531,1035.59,869.082,244.236,14.517,0.196,0.008,7.198,20.787,2.497,341.931,23.651,289.447,1526.978,1603.113
4,0,77a7ec30492d9e1903613804fb35f3d623c5a64fa815652ede633bfc26a39224,4,committee2,1789807014655808000,1789807014857629000,1789807014956314000,1789807014833647000,1789807015028595000,1789807015028760000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016258704000,0.404,245.545,201.821,9.29,117.952,0.646,73.933,0.017,173.297,50.58,122.667,72.231,72.038,72.281,0.97,0.038,0.768,422.091,36.222,256.761,61.266,0.602,0.719,6.076,24.076,55.992,372.787,1237.525,1035.704,864.573,244.236,14.517,0.196,0.008,7.198,20.787,2.356,341.931,23.44,289.306,1526.831,1602.896
5,4,73be5dae398d37eb406969e3c4f835aa8beba97d4333f7b7e65d4b07f04576fc,4,committee2,1789807014655818000,1789807014857442000,1789807014956314000,1789807014833689000,1789807015026578000,1789807015026729000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016245808000,0.414,243.816,201.624,3.449,123.495,1.687,72.993,0.056,173.553,50.871,122.625,70.207,70.053,70.264,2.356,0.049,2.146,422.744,36.222,256.761,59.767,0.629,0.861,7.405,24.076,55.992,370.76,1237.515,1035.891,866.604,244.236,14.517,0.196,0.008,7.198,20.787,2.201,341.931,10.544,289.151,1526.666,1589.99
6,11,be4c2954dfa3c8d5bc1772a8b07810d95ac87faaefb80ab47443e13b80cd8943,3,committee1,1789807014655859000,1789807014826488000,1789807014833542000,1789807014778594000,1789807014842011000,1789807014842174000,1789807015418307000,1789807015802314000,1789807015846360000,1789807015864952000,0.455,66.726,170.629,1.914,117.512,0.085,51.118,0.026,58.263,3.283,54.948,8.436,8.231,8.469,2.68,0.045,2.464,214.877,12.408,275.445,20.136,0.62,0.778,0.108,26.348,22.948,186.152,762.448,591.819,576.133,300.337,28.528,0.592,0.01,3.612,50.913,0.11,428.053,18.592,384.117,1146.565,1209.093
7,10,97fce2dc11515727b9f8069ca8e76f625982797a84d86c5e618384eb64d4b7c7,4,committee2,1789807014655863000,1789807014857656000,1789807014956314000,1789807014833739000,1789807015019843000,1789807015020009000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016225766000,0.459,236.596,201.793,12.016,115.368,2.035,72.374,0.609,172.501,49.883,122.575,63.485,63.249,63.529,2.078,0.049,1.876,429.734,36.222,256.761,44.462,0.626,0.771,22.803,24.076,55.992,363.98,1237.47,1035.677,873.324,244.236,14.517,0.196,0.008,7.198,20.787,2.365,341.931,-9.498,289.315,1526.785,1569.903
8,12,62614bf9a3229b0cfe08d2937f0ef58428a59c0542b36498f13652e219c44607,4,committee2,1789807014655872000,1789807014857343000,1789807014956314000,1789807014833693000,1789807015019594000,1789807015019788000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016245776000,0.468,235.564,201.471,1.89,126.268,1.616,71.697,0.043,172.302,49.62,122.621,63.217,62.87,63.28,1.674,0.072,1.441,430.39,36.222,256.761,43.007,0.639,0.809,24.207,24.076,55.992,363.722,1237.461,1035.99,873.545,244.236,14.517,0.196,0.008,7.198,20.787,2.186,341.931,10.512,289.136,1526.597,1589.904
9,13,ac2e60b4a17f8c91578d0084b1a26b440c5ed26d0e64024fafa828036f7ec9dd,4,committee2,1789807014655873000,1789807014857701000,1789807014956314000,1789807014833794000,1789807015027204000,1789807015027354000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016259920000,0.469,242.163,201.828,1.825,127.343,0.424,72.236,0.023,171.301,48.73,122.52,70.839,70.668,70.89,2.992,0.034,2.804,421.461,36.222,256.761,62.593,0.597,0.728,4.744,24.076,55.992,371.331,1237.46,1035.632,865.979,244.236,14.517,0.196,0.008,7.198,20.787,2.413,341.931,24.656,289.363,1526.823,1604.047
10,9,b3680caacbbc9c80676a286debb26a6f6325fdc57e86dcb44db8b38848f0cdb0,4,committee2,1789807014655881000,1789807014857721000,1789807014956314000,1789807014833627000,1789807015029367000,1789807015029582000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016225753000,0.477,246.583,201.84,7.307,119.596,1.265,73.672,0.025,173.54,50.818,122.687,73.017,72.792,73.053,2.082,0.046,1.833,420.204,36.222,256.761,65.36,0.69,0.864,1.748,24.076,55.992,373.486,1237.452,1035.612,863.751,244.236,14.517,0.196,0.008,7.198,20.787,2.432,341.931,-9.511,289.382,1526.834,1569.872
11,14,d113de480174b27c75688a5151e05701b28166aa7e1f0e156bf9b63b5bfdeaa8,4,committee2,1789807014655882000,1789807014857383000,1789807014956314000,1789807014833749000,1789807014985851000,1789807014986004000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016244720000,0.478,201.439,201.501,7.79,120.74,1.014,71.957,0.028,171.913,49.309,122.565,29.498,29.246,29.537,2.304,0.034,2.112,463.503,36.222,256.761,28.158,0.615,0.785,39.104,24.076,55.992,329.969,1237.451,1035.95,907.329,244.236,14.517,0.196,0.008,7.198,20.787,2.233,341.931,9.456,289.183,1526.634,1588.838
12,16,ed067449df6dbbae3cbba2a7ebfd6321a8396fe03fe0b96d5c16b21c2ffb3261,4,committee2,1789807014655891000,1789807014857349000,1789807014956314000,1789807014833597000,1789807015019934000,1789807015020082000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016244745000,0.487,237.172,201.458,11.277,115.594,1.425,73.162,0.029,173.552,50.806,122.717,63.59,63.354,63.62,2.637,0.029,2.446,429.091,36.222,256.761,45.872,0.55,0.708,21.532,24.076,55.992,364.043,1237.442,1035.984,873.251,244.236,14.517,0.196,0.008,7.198,20.787,2.184,341.931,9.481,289.134,1526.576,1588.854
13,19,aba340f1577e5c631f12b0c045d4973a5447d7a774181b6d7e717bc71ceb11d8,3,committee1,1789807014655920000,1789807014826494000,1789807014833542000,1789807014778552000,1789807014840629000,1789807014840784000,1789807015418307000,1789807015802314000,1789807015846360000,1789807015841080000,0.516,65.608,170.574,7.168,111.933,0.391,51.082,0.031,58.509,3.5,54.99,7.067,6.833,7.087,2.428,0.035,2.219,216.512,12.408,275.445,17.563,0.548,0.703,2.828,26.348,22.948,184.709,762.387,591.813,577.523,300.337,28.528,0.592,0.01,3.612,50.913,0.09,428.053,-5.28,384.097,1146.484,1185.16
14,20,0a58854b3e116a10dfc67e7cf211575a8d88b4e2f23e6fdaceb3426425a9614b,3,committee1,1789807014655922000,1789807014826491000,1789807014833542000,1789807014778579000,1789807014836532000,1789807014836703000,1789807015418307000,1789807015802314000,1789807015846360000,1789807015853061000,0.518,61.31,170.569,8.687,110.613,0.174,51.095,0.028,58.327,3.329,54.963,2.954,2.742,2.99,1.847,0.049,1.572,221.24,12.408,275.445,7.759,0.534,0.698,12.652,26.348,22.948,180.61,762.385,591.816,581.604,300.337,28.528,0.592,0.01,3.612,50.913,0.084,428.053,6.701,384.091,1146.476,1197.139
15,21,2886f4bd7c08884d484e2b7d015bff6b1f80e4d8f840674d47267a5c0104a7c4,4,committee2,1789807014655924000,1789807014857651000,1789807014956314000,1789807014833685000,1789807014989210000,1789807014989372000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016225857000,0.52,206.111,201.727,1.654,125.521,0.348,74.204,0.018,173.256,50.568,122.629,32.837,32.643,32.896,29.4,0.048,2.214,460.033,36.222,256.761,35.631,0.648,0.814,31.569,24.076,55.992,333.286,1237.409,1035.682,903.961,244.236,14.517,0.196,0.008,7.198,20.787,2.359,341.931,-9.407,289.309,1526.718,1569.933
16,15,46ba7798b8f98a98aba2944d4ad912a1e0dfa0e6c9f3671efb1123acdc6657bc,4,committee2,1789807014655929000,1789807014857392000,1789807014956314000,1789807014833651000,1789807014961288000,1789807014961439000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016244780000,0.525,178.14,201.463,2.854,124.365,0.516,73.728,0.017,173.203,50.486,122.663,4.919,4.728,4.974,2.362,0.034,2.177,488.003,36.222,256.761,13.675,0.632,0.796,53.559,24.076,55.992,305.359,1237.404,1035.941,931.894,244.236,14.517,0.196,0.008,7.198,20.787,2.202,341.931,9.516,289.152,1526.556,1588.851
17,17,1014846f626c73db873a266ce2e3e1b75e82251f915e791158b997c44348ba0f,4,committee2,1789807014655930000,1789807014857525000,1789807014956314000,1789807014833697000,1789807014956622000,1789807014956823000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016225848000,0.526,173.699,201.595,5.229,121.764,0.981,73.621,0.057,173.35,50.717,122.617,0.291,0.057,0.308,2.367,0.072,2.129,492.667,36.222,256.761,3.187,0.631,0.807,64.037,24.076,55.992,300.692,1237.403,1035.808,936.51,244.236,14.517,0.196,0.008,7.198,20.787,2.359,341.931,-9.416,289.309,1526.712,1569.918
18,18,421f11f9234c7e96f558e35500cd2c12e8902a37e7857856efc958a25b5165a3,4,committee2,1789807014655932000,1789807014857428000,1789807014956314000,1789807014833659000,1789807015025965000,1789807015026110000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016244776000,0.528,242.834,201.496,2.832,124.367,0.569,73.728,0.019,173.22,50.509,122.655,69.594,69.446,69.651,2.302,0.043,2.077,423.432,36.222,256.761,58.306,0.637,0.817,8.902,24.076,55.992,370.033,1237.401,1035.905,867.223,244.236,14.517,0.196,0.008,7.198,20.787,2.161,341.931,9.512,289.111,1526.512,1588.844
19,37,95b01043c262cdac8ea82fad52870ff5f7f75950fe0397ad70442095e6d792a2,4,committee2,1789807014655959000,1789807014857411000,1789807014956314000,1789807014833782000,1789807014990517000,1789807014990679000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016245819000,0.555,205.689,201.452,7.354,121.515,0.373,72.21,0.029,171.505,48.925,122.532,34.155,33.946,34.203,28.256,0.043,2.264,458.676,36.222,256.761,38.586,0.639,0.806,28.631,24.076,55.992,334.558,1237.374,1035.922,902.654,244.236,14.517,0.196,0.008,7.198,20.787,2.236,341.931,10.555,289.186,1526.56,1589.86
20,36,c341266589cf922ab35d9aae82f1812f6fcc0ce3338627918b0f228bad09c8b3,2,committee0,1789807014655963000,1789807014744722000,1789807014743305000,1789807014724079000,1789807014744030000,1789807014744190000,1789807015059351000,1789807015333334000,1789807015357381000,1789807015352238000,0.559,20.207,88.759,1.503,66.357,0.124,20.775,0.038,19.453,0.218,19.226,0.714,0.054,0.725,1.275,0.04,1.022,0.081,0.789,236.392,0.008,0.741,0.849,0.02,52.273,22.985,88.067,403.388,314.629,315.161,246.265,0.87,0.134,0.009,0.184,26.51,-11.764,298.03,-5.143,262.219,665.607,696.275
21,38,84c024f86c25c3bc2dcd6fe066e556db3672db3aa23828206b73ae69f4d0cb2f,4,committee2,1789807014655975000,1789807014857744000,1789807014956314000,1789807014833731000,1789807014961924000,1789807014962073000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016259674000,0.571,178.717,201.769,8.301,118.931,0.231,74.306,0.017,173.127,50.507,122.583,5.572,5.382,5.61,2.389,0.035,2.208,487.338,36.222,256.761,15.109,0.62,0.805,52.128,24.076,55.992,305.949,1237.358,1035.589,931.26,244.236,14.517,0.196,0.008,7.198,20.787,2.476,341.931,24.41,289.426,1526.784,1603.699
22,39,bc7a68a2fcb2fd29df6cd8062c55c6fcedcaf2635a53eabe7d3b38f60724ea8c,4,committee2,1789807014655987000,1789807014857393000,1789807014956314000,1789807014833771000,1789807015030213000,1789807015030367000,1789807015893333000,1789807016180283000,1789807016235264000,1789807016244676000,0.583,245.38,201.406,2.768,126.078,0.357,72.203,0.025,171.493,48.913,122.543,73.862,73.671,73.899,1.813,0.036,1.625,419.627,36.222,256.761,66.923,0.643,0.83,0.266,24.076,55.992,374.226,1237.346,1035.94,862.966,244.236,14.517,0.196,0.008,7.198,20.787,2.156,341.931,9.412,289.106,1526.452,1588.689
23,35,3cf262c9bd33ae2ada0590899b651e423e772ffc448b9e8f845957a7d480740a,3,committee1,1789807014656018000,1789807014826484000,1789807014833542000,1789807014778565000,1789807014836559000,1789807014836719000,1789807015418307000,1789807015802314000,1789807015846360000,1789807015865255000,0.614,61.414,170.466,1.709,117.418,0.12,51.219,0.022,58.397,3.398,54.977,2.992,2.751,3.017,2.429,0.038,2.212,220.584,12.408,275.445,8.997,0.544,0.839,11.263,26.348,22.948,180.541,762.289,591.823,581.588,300.337,28.528,0.592,0.01,3.612,50.913,0.042,428.053,18.895,384.049,1146.338,1209.237
24,1,9fd5c0e46a51c8c706c0acb2a5566a17896d1663a180dcca0411cf5c9f9c70f7,3,committee1,1789807014656394000,1789807014826485000,1789807014833542000,1789807014778534000,1789807014840614000,1789807014840770000,1789807015418307000,1789807015802314000,1789807015846360000,1789807015865277000,0.99,65.665,170.091,7.548,111.007,0.295,51.241,0.023,58.592,3.562,55.008,7.049,6.825,7.072,1.871,0.039,1.559,217.186,12.408,275.445,16.225,0.606,0.724,4.087,26.348,22.948,184.22,761.913,591.822,577.537,300.337,28.528,0.592,0.01,3.612,50.913,0.023,428.053,18.917,384.03,1145.943,1208.883
25,34,bddbc3fa2184ceb033fcdd71377ac558c46995e6a4e929166e79101978f64090,3,committee1,1789807014656545000,1789807014826472000,1789807014833542000,1789807014778540000,1789807014833840000,1789807014834003000,1789807015418307000,1789807015802314000,1789807015846360000,1789807015864929000,1.141,58.852,169.927,1.076,117.367,0.117,51.367,0.022,58.542,3.53,55.002,0.287,0.038,0.298,1.006,0.042,0.804,224.708,12.408,275.445,1.411,0.547,0.714,18.971,26.348,22.948,177.295,761.762,591.835,584.304,300.337,28.528,0.592,0.01,3.612,50.913,0.073,428.053,18.569,384.08,1145.842,1208.384
