elapsed_ms,sent,fast,durable,submitted,received,commit,wallet_durable,members_durable,saved_not_submitted,received_not_committed
0,0,0,0,0,0,0,0,0,0,0
250,64,64,7,64,64,0,0,0,0,64
500,64,64,64,64,64,1,0,0,0,63
750,64,64,64,64,64,1,0,0,0,63
1000,65,65,65,65,65,64,1,1,0,1
1250,65,65,65,65,65,64,1,1,0,1
1500,100,66,66,68,68,65,64,64,0,3
1750,100,100,100,100,100,65,65,65,0,35
2000,100,100,100,100,100,65,65,65,0,35
2250,100,100,100,100,100,100,65,65,0,0
2500,100,100,100,100,100,100,65,65,0,0
2750,100,100,100,100,100,100,100,100,0,0
