order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,1,cde97e2d37db3ae01f1e0d5ff9ba4eb928d582df53aba52c693251332b84b139,3,committee3,1789807253385826000,1789807253566767000,1789807253640732000,1789807253543106000,1789807253544566000,1789807253544995000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254829222000,0.047,28.141,180.941,1.835,128.764,0.141,50.201,8.27,116.069,18.411,97.626,-96.206,-96.456,-96.166,2.796,0.305,2.337,284.681,47.896,315.818,13.899,0.645,0.711,77.152,16.548,42.083,158.74,960.94,779.999,801.771,324.294,4.915,0.248,0.009,9.351,102.191,4.273,470.02,12.436,445.289,1406.229,1443.396
2,5,d24af327ac9b3a1956a1fe857f0fecc000c5dc8d64fb9a8d6b5411b791faddc2,3,committee3,1789807253385826000,1789807253588997000,1789807253697689000,1789807253640847000,1789807253557658000,1789807253557817000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254829185000,0.047,27.136,203.171,2.311,142.385,6.174,52.301,0.125,167.082,110.2,56.842,-140.072,-140.262,-140.031,2.528,0.039,2.291,271.905,47.896,315.818,41.064,0.633,0.808,49.902,16.548,42.083,171.832,960.94,757.769,788.949,324.294,4.915,0.248,0.009,9.351,102.191,1.317,470.02,12.399,442.333,1403.273,1443.359
3,7,a5a531abf9607c4099c1371f32e8bf2319ea1abd7770a25cb7c6d69e80e4ea2f,3,committee3,1789807253385833000,1789807253588971000,1789807253697689000,1789807253640842000,1789807253564968000,1789807253565226000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254864364000,0.054,35.186,203.138,2.25,141.699,6.286,52.903,0.929,167.026,110.131,56.847,-132.769,-132.95,-132.721,2.857,0.14,2.562,264.225,47.896,315.818,57.184,0.625,0.795,33.803,16.548,42.083,179.135,960.933,757.795,781.54,324.294,4.915,0.248,0.009,9.351,102.191,1.253,470.02,47.578,442.269,1403.202,1478.531
4,6,792ad6f4756278f2a1331d36799fc488234eadaa33d648b98cc7cb4cb85fdd4b,3,committee3,1789807253385836000,1789807253535733000,1789807253640732000,1789807253542973000,1789807253548305000,1789807253548469000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254857633000,0.057,59.897,149.897,2.311,100.261,0.202,47.123,35.544,116.815,19.021,97.759,-92.463,-92.657,-92.427,2.431,0.047,2.234,281.31,47.896,315.818,20.723,0.621,0.89,70.173,16.548,42.083,162.469,960.93,811.033,798.297,324.294,4.915,0.248,0.009,9.351,102.191,-0.052,470.02,40.847,440.964,1401.894,1471.797
5,0,69a9af988c8caab74f6f46fa6f8ca691b3d833537486ac452ec12d0f20aa10ee,3,committee3,1789807253385838000,1789807253566700000,1789807253640732000,1789807253543056000,1789807253556336000,1789807253556500000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254847124000,0.059,39.955,180.862,3.36,127.183,0.206,50.113,0.496,123.897,26.179,97.676,-84.439,-84.632,-84.396,2.41,0.042,2.215,273.298,47.896,315.818,38.161,0.633,0.809,52.804,16.548,42.083,170.498,960.928,780.066,790.266,324.294,4.915,0.248,0.009,9.351,102.191,4.265,470.02,30.338,445.281,1406.209,1461.286
6,8,ce5ac2cbffe97ffcdb13aa5499e84dbbc9cf4b595792dfb160460ec799f62a48,3,committee3,1789807253385853000,1789807253588952000,1789807253697689000,1789807253640800000,1789807253568103000,1789807253568289000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254857204000,0.074,37.557,203.099,7.168,137.525,5.52,52.886,12.584,154.571,97.67,56.889,-129.599,-129.817,-129.586,2.336,0.069,2.104,261.62,47.896,315.818,63.032,0.632,0.808,27.935,16.548,42.083,182.25,960.913,757.814,778.477,324.294,4.915,0.248,0.009,9.351,102.191,1.401,470.02,40.418,442.417,1403.33,1471.351
7,9,3e96d70a8df2b40be3342a5cc196bfd0e144e6920c92e6f2c37068a2e1089810,3,committee3,1789807253385853000,1789807253588871000,1789807253697689000,1789807253640917000,1789807253573334000,1789807253573501000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254829202000,0.074,42.634,203.018,3.334,141.513,5.744,52.427,12.937,154.088,97.28,56.772,-124.392,-124.597,-124.355,2.279,0.046,2.071,256.441,47.896,315.818,74.764,0.621,0.813,16.209,16.548,42.083,187.481,960.913,757.895,773.265,324.294,4.915,0.248,0.009,9.351,102.191,1.329,470.02,12.416,442.345,1403.258,1443.349
8,2,797006ca1a869a492cc11b40dfec8141e4198e7df1cb93536a72befc12340f80,3,committee3,1789807253385854000,1789807253588938000,1789807253640732000,1789807253543112000,1789807253545697000,1789807253545856000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254857619000,0.075,29.045,203.084,6.033,124.765,19.25,53.036,8.121,116.005,18.339,97.62,-95.082,-95.275,-95.035,2.341,0.04,2.15,284.007,47.896,315.818,15.261,0.543,0.746,75.857,16.548,42.083,159.843,960.912,757.828,800.91,324.294,4.915,0.248,0.009,9.351,102.191,1.379,470.02,40.833,442.395,1403.307,1471.765
9,10,d505c1be7b689ad12edb23473299d31e9ccbe67f3dc3d58ac3bf981943b1fef0,3,committee3,1789807253385859000,1789807253535733000,1789807253640732000,1789807253543013000,1789807253547605000,1789807253547762000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254857641000,0.08,59.213,149.874,12.65,89.883,0.236,47.105,0.118,152.247,54.503,97.719,-93.155,-93.366,-93.127,2.466,0.036,2.277,281.974,47.896,315.818,19.301,0.616,0.8,71.69,16.548,42.083,161.746,960.907,811.033,799.004,324.294,4.915,0.248,0.009,9.351,102.191,-1.145,470.02,40.855,439.871,1400.778,1471.782
10,11,9ba1e8db18a97852f4ed29e7da8bf0f5b48690950f39791e863e90ffb8e43bdb,3,committee3,1789807253385860000,1789807253588993000,1789807253697689000,1789807253640883000,1789807253573049000,1789807253573211000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254829070000,0.081,48.142,203.133,9.891,129.156,2.163,61.923,18.54,154.289,97.436,56.806,-124.691,-125.082,-124.64,2.217,0.039,1.719,257.083,47.896,315.818,73.324,0.629,0.801,17.653,16.548,42.083,187.189,960.906,757.773,773.555,324.294,4.915,0.248,0.009,9.351,102.191,1.356,470.02,12.284,442.372,1403.278,1443.21
11,12,18202fab614ae6ebdc23767df98373c89a8615035286522037190d0f59d7d48f,3,committee3,1789807253385864000,1789807253589008000,1789807253697689000,1789807253640787000,1789807253553088000,1789807253553246000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254847081000,0.085,28.099,203.144,2.181,136.944,18.112,45.907,18.149,154.569,97.649,56.902,-144.62,-144.834,-144.601,2.346,0.04,2.156,276.611,47.896,315.818,30.914,0.617,0.816,60.06,16.548,42.083,167.224,960.902,757.758,793.52,324.294,4.915,0.248,0.009,9.351,102.191,1.27,470.02,30.295,442.286,1403.188,1461.217
12,14,f6f6e80c6fb9d513a810d16b33e9734c01c84351c7033adc2c5bbac7b0bc7b92,3,committee3,1789807253385865000,1789807253511704000,1789807253523672000,1789807253485954000,1789807253486008000,1789807253486169000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254887318000,0.086,0.367,125.839,2.901,96.875,0.068,25.995,0.126,38.908,0.187,37.718,-38.668,-37.894,-37.664,1.027,0.041,0.814,345.03,47.896,315.818,1.454,0.622,0.808,89.523,16.548,42.083,100.143,960.901,835.062,860.597,324.294,4.915,0.248,0.009,9.351,102.191,0.112,470.02,70.532,441.128,1402.029,1501.453
13,13,7ee371803fa988722a92cb3c9d03511c11359bf8fc29efccc299cacc12519876,3,committee3,1789807253385866000,1789807253566729000,1789807253640732000,1789807253543062000,1789807253579798000,1789807253579985000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254847242000,0.087,62.916,180.863,2.231,128.785,0.083,49.764,0.125,123.767,26.055,97.67,-60.976,-61.164,-60.934,2.315,0.047,2.089,249.939,47.896,315.818,89.143,0.618,0.807,1.839,16.548,42.083,193.932,960.9,780.037,766.781,324.294,4.915,0.248,0.009,9.351,102.191,4.254,470.02,30.456,445.27,1406.17,1461.376
14,15,9519ea4ea627ee19798998e7a5912c0a01f2dca5b907ddba548060bd3ff02bd8,3,committee3,1789807253385868000,1789807253566780000,1789807253640732000,1789807253543086000,1789807253551673000,1789807253551828000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254830636000,0.089,34.783,180.912,6.488,124.534,10.088,39.802,7.486,116.407,18.71,97.646,-89.111,-89.283,-89.059,2.471,0.037,2.265,277.92,47.896,315.818,28.03,0.635,0.804,62.938,16.548,42.083,165.805,960.898,779.986,794.938,324.294,4.915,0.248,0.009,9.351,102.191,4.247,470.02,13.85,445.263,1406.161,1444.768
15,16,1f0d00563e6dfa4a9507ac4dc62ef282265a8ec4dd0f41ca2aa839a9697bb07e,3,committee3,1789807253385869000,1789807253566749000,1789807253640732000,1789807253543070000,1789807253569399000,1789807253569562000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254847057000,0.09,52.934,180.88,3.01,127.586,0.55,49.734,7.839,116.446,18.766,97.662,-71.351,-71.568,-71.333,2.541,0.045,2.122,260.329,47.896,315.818,65.935,0.697,0.831,24.944,16.548,42.083,183.53,960.897,780.017,777.204,324.294,4.915,0.248,0.009,9.351,102.191,4.24,470.02,30.271,445.256,1406.153,1461.188
16,17,67c73821f0f1d61b8a09b1184be6fafc923b2949897dc6fcdbfec14c56d905b7,3,committee3,1789807253385871000,1789807253566747000,1789807253542749000,1789807253523893000,1789807253544499000,1789807253544690000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254857455000,0.092,28.604,180.876,2.286,127.738,0.276,50.576,0.17,27.502,7.828,18.856,0.931,1.262,1.75,1.527,0.048,1.29,286.033,47.896,315.818,10.965,0.65,0.822,79.97,16.548,42.083,158.628,960.895,780.019,802.076,324.294,4.915,0.248,0.009,9.351,102.191,4.229,470.02,40.669,445.245,1406.14,1471.584
17,19,9a4a243e54b559ec32713c79d0aaa0387334dee3aa8b3f6fe4f0c162be635ddc,3,committee3,1789807253385873000,1789807253588974000,1789807253697689000,1789807253640825000,1789807253560513000,1789807253560666000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254820048000,0.094,29.833,203.101,2.286,142.521,5.778,52.516,0.126,166.922,110.019,56.864,-137.216,-137.491,-137.176,2.24,0.035,2.053,269.294,47.896,315.818,47.12,0.625,0.806,43.856,16.548,42.083,174.64,960.893,757.792,786.1,324.294,4.915,0.248,0.009,9.351,102.191,1.336,470.02,3.262,442.352,1403.245,1434.175
18,20,fce4046e15a7aab0f66f9bacb66790e360f06347d8a0bef957bf4857e2aaa8af,3,committee3,1789807253385874000,1789807253588973000,1789807253697689000,1789807253640879000,1789807253563675000,1789807253563822000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254829019000,0.095,33.727,203.099,4.885,139.189,5.96,53.065,13.469,154.322,97.462,56.81,-134.065,-134.252,-134.014,2.785,0.029,2.601,265.59,47.896,315.818,54.31,0.623,0.802,36.672,16.548,42.083,177.801,960.892,757.793,782.944,324.294,4.915,0.248,0.009,9.351,102.191,1.358,470.02,12.233,442.374,1403.266,1443.145
19,18,146ebf2e7957f289d20ef501eb736643be949a81da345fe774ff342afee82e49,3,committee3,1789807253385875000,1789807253566782000,1789807253697689000,1789807253640921000,1789807253566070000,1789807253566223000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254873895000,0.096,41.171,180.907,2.244,136.78,2.122,39.761,18.76,154.046,97.262,56.768,-131.635,-131.85,-131.619,2.41,0.035,2.219,263.571,47.896,315.818,58.611,0.626,0.795,32.375,16.548,42.083,180.195,960.891,779.984,780.543,324.294,4.915,0.248,0.009,9.351,102.191,4.248,470.02,57.109,445.264,1406.155,1488.02
20,21,b44e15c73159b98a7ecb072b382626e8cbc2e22354b1753beffba2309957e750,3,committee3,1789807253385877000,1789807253566769000,1789807253640732000,1789807253543043000,1789807253564343000,1789807253564495000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254830618000,0.098,40.285,180.892,2.967,135.214,2.798,39.913,0.164,116.546,18.821,97.689,-76.426,-76.623,-76.389,2.821,0.035,2.623,264.895,47.896,315.818,55.741,0.621,0.815,35.23,16.548,42.083,178.466,960.889,779.997,782.271,324.294,4.915,0.248,0.009,9.351,102.191,4.198,470.02,13.832,445.214,1406.103,1444.741
21,22,de3a1429c13ff7f5e7ebd30b64c7473016100a34353f33507707503e4200bf70,3,committee3,1789807253385878000,1789807253588944000,1789807253697689000,1789807253640904000,1789807253550342000,1789807253550501000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254828951000,0.099,19.937,203.066,2.889,141.638,6.271,52.268,13.176,154.144,97.323,56.785,-147.386,-147.578,-147.347,2.473,0.041,2.28,279.232,47.896,315.818,25.144,0.622,0.815,65.826,16.548,42.083,164.464,960.888,757.822,796.265,324.294,4.915,0.248,0.009,9.351,102.191,1.269,470.02,12.165,442.285,1403.173,1443.073
22,23,2195c7d150e1345dd53636363f799087a68ad809ca0fc53b1f8cfada08c83fc8,3,committee3,1789807253385881000,1789807253588992000,1789807253697689000,1789807253640806000,1789807253566699000,1789807253566854000,1789807254346766000,1789807254787782000,1789807254816786000,1789807254829041000,0.102,36.603,203.111,1.924,142.291,5.886,53.01,13.095,154.52,97.615,56.883,-131.013,-131.225,-130.99,2.426,0.036,2.242,262.917,47.896,315.818,60.039,0.626,0.883,30.859,16.548,42.083,180.818,960.885,757.774,779.912,324.294,4.915,0.248,0.009,9.351,102.191,1.259,470.02,12.255,442.275,1403.16,1443.16
