elapsed_ms,sent,fast,durable,submitted,received,commit,wallet_durable,members_durable,saved_not_submitted,received_not_committed
0,0,0,0,0,0,0,0,0,0,0
250,64,52,13,5,5,0,0,0,8,5
500,64,64,64,14,14,1,0,0,50,13
750,64,64,64,37,37,1,1,0,27,36
1000,65,65,65,58,58,6,1,1,7,52
1250,70,65,65,66,66,6,6,6,0,60
1500,70,70,70,70,70,30,6,6,0,40
1750,70,70,70,70,70,30,30,6,0,40
2000,94,94,94,78,78,65,30,30,16,13
2250,100,95,95,92,92,70,65,65,3,22
2500,100,100,100,100,100,70,65,65,0,30
2750,100,100,100,100,100,91,70,70,0,9
3000,100,100,100,100,100,91,91,91,0,9
3250,100,100,100,100,100,100,100,100,0,0
