order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,3,4e9f8c310376b860f37b8b7216d3db2241b9db6bb1d20d4778668c7aa20631d6,3,committee0,1789806860885607000,1789806861075703000,1789806861089488000,1789806861014735000,1789806861089859000,1789806861090144000,1789806861662426000,1789806862041447000,1789806862067515000,1789806862052592000,0.039,94.551,190.096,2.199,107.502,0.268,80.127,0.035,94.167,19.392,74.753,0.348,0.105,0.371,1.634,0.148,1.304,224.353,3.336,259.356,3.008,0.628,0.914,2.586,49.874,26.92,204.252,776.819,586.723,572.282,349.612,0.946,0.106,0.012,0.718,27.624,10.122,405.089,-14.923,389.143,1165.962,1166.985
2,5,ab2911ddbc4203575fabd7520e99c7d368b45005e0b2f02f12f21230f7cb57c0,5,committee2,1789806860885610000,1789806861075670000,1789806861303476000,1789806861089537000,1789806861548067000,1789806861548229000,1789806862641419000,1789806863010508000,1789806863047439000,1789806863038717000,0.042,552.511,190.06,9.548,100.398,0.07,80.044,0.027,307.926,93.954,213.939,244.557,244.26,244.591,1.409,0.038,1.206,669.672,28.805,288.578,1.494,0.56,0.793,46.72,31.485,23.876,662.457,1755.809,1565.749,1093.19,321.0,1.602,0.164,0.008,5.432,40.88,0.013,406.02,-8.722,369.102,2124.911,2153.107
3,2,4886c160bfb0b8f8cedaf0844aea2ed31c26b1183dc5f541c5597134322f731d,4,committee3,1789806860885613000,1789806861075707000,1789806861089488000,1789806861014747000,1789806861429871000,1789806861430032000,1789806862168484000,1789806862565461000,1789806862698480000,1789806862704847000,0.045,434.55,190.094,1.54,108.168,0.193,80.193,0.061,94.147,19.365,74.741,340.341,340.059,340.383,0.992,0.037,0.79,284.456,17.044,305.177,17.136,0.66,0.819,16.028,27.354,68.987,544.258,1282.871,1092.777,738.452,347.3,3.708,0.146,0.019,3.377,42.422,10.255,529.996,6.367,407.232,1690.103,1819.234
4,1,d5fc7d81971edce411ce42b81cabec92badb8f50d38dd073b9fffa1e662fd460,4,committee3,1789806860885622000,1789806861171563000,1789806861303476000,1789806861089713000,1789806861508846000,1789806861508996000,1789806862168484000,1789806862565461000,1789806862698480000,1789806862713302000,0.054,466.801,285.941,2.046,154.377,20.128,109.39,0.026,261.498,47.642,213.763,205.275,205.127,205.37,2.281,0.033,2.033,204.249,17.044,305.177,31.791,0.615,0.813,1.424,27.354,68.987,623.224,1282.862,996.921,659.488,347.3,3.708,0.146,0.019,3.377,42.422,-10.096,529.996,14.822,386.881,1669.743,1827.68
5,4,35d6f4d8fbdd93d8c0d69a412f5e7d0470b10e3e1b03d78806827b603c7cfd55,5,committee2,1789806860885622000,1789806861075710000,1789806861089488000,1789806861014682000,1789806861785900000,1789806861786057000,1789806862641419000,1789806863010508000,1789806863047439000,1789806863064017000,0.054,796.756,190.088,2.089,101.433,0.229,86.337,0.122,100.247,25.416,74.806,696.379,696.158,696.412,0.966,0.038,0.769,432.281,28.805,288.578,27.504,0.537,0.737,20.789,31.485,23.876,900.278,1755.797,1565.709,855.362,321.0,1.602,0.164,0.008,5.432,40.88,0.09,406.02,16.578,369.179,2124.976,2178.395
6,7,a132436cb4a317062658c4cecf64f4a0d8bfd592beffb0ac119a7ce02a368ef5,4,committee3,1789806860885626000,1789806861171583000,1789806861303476000,1789806861089670000,1789806861359819000,1789806861359973000,1789806862168484000,1789806862565461000,1789806862698480000,1789806862704891000,0.058,322.017,285.957,1.355,150.821,0.336,133.445,0.019,265.744,51.849,213.806,56.252,56.103,56.343,4.601,0.036,4.402,350.903,17.044,305.177,7.289,0.578,0.739,26.037,27.354,68.987,474.193,1282.858,996.901,808.511,347.3,3.708,0.146,0.019,3.377,42.422,-10.095,529.996,6.411,386.882,1669.74,1819.265
7,8,5631f84c42d3a5b15ee48971449ee116f10ece33b49cee1854dcb3aa4d611553,4,committee3,1789806860885627000,1789806861095640000,1789806861303476000,1789806861089650000,1789806861508722000,1789806861508882000,1789806862168484000,1789806862565461000,1789806862698480000,1789806862713296000,0.059,470.991,210.013,2.026,150.078,0.353,57.556,0.021,265.807,51.898,213.826,205.162,204.888,205.246,0.96,0.037,0.767,205.629,17.044,305.177,28.89,0.641,0.817,4.295,27.354,68.987,623.095,1282.857,1072.844,659.602,347.3,3.708,0.146,0.019,3.377,42.422,-10.66,529.996,14.816,386.317,1669.174,1827.669
8,11,8312ca035d060b91de2e2d6cbf541ae6275f6318a0dcfa7414e7437bafb75de7,3,committee0,1789806860885634000,1789806861075667000,1789806861014500000,1789806860989398000,1789806861015093000,1789806861015628000,1789806861662426000,1789806862041447000,1789806862067515000,1789806862052832000,0.066,26.17,190.033,1.234,102.055,0.386,86.358,0.276,25.538,0.199,25.102,0.354,0.285,0.593,1.347,0.416,0.765,299.408,3.336,259.356,0.006,0.714,0.843,5.574,49.874,26.92,129.459,776.792,586.759,646.798,349.612,0.946,0.106,0.012,0.718,27.624,10.126,405.089,-14.683,389.147,1165.939,1167.198
9,10,60f99b03b141c5529024707d602b559c626fd91fb72c35e5cc5296dffd68f9a1,5,committee2,1789806860885635000,1789806861095758000,1789806861303476000,1789806861089581000,1789806861730836000,1789806861731097000,1789806862641419000,1789806863010508000,1789806863047439000,1789806863059763000,0.067,715.556,210.123,2.029,127.616,0.3,80.178,0.02,288.261,74.281,213.895,427.274,427.044,427.36,1.081,0.125,0.783,487.227,28.805,288.578,17.801,0.658,0.838,30.27,31.485,23.876,845.201,1755.784,1545.661,910.322,321.0,1.602,0.164,0.008,5.432,40.88,-14.109,406.02,12.324,354.98,2110.764,2174.128
10,9,06e96f859f0b9cc8b0a2aad4965a68f4d7b2f3ee6a57dc4fe001072c43a3e1f1,4,committee3,1789806860885644000,1789806861075730000,1789806861089488000,1789806861014705000,1789806861340012000,1789806861340170000,1789806862168484000,1789806862565461000,1789806862698480000,1789806862704668000,0.076,345.248,190.086,2.101,107.019,0.212,80.754,0.038,94.715,19.903,74.783,250.494,250.262,250.524,0.99,0.039,0.791,374.317,17.044,305.177,4.299,0.634,0.829,28.881,27.354,68.987,454.368,1282.84,1092.754,828.314,347.3,3.708,0.146,0.019,3.377,42.422,10.271,529.996,6.188,407.248,1690.088,1819.024
