elapsed_ms,sent,fast,durable,submitted,received,commit,wallet_durable,members_durable,saved_not_submitted,received_not_committed
0,0,0,0,0,0,0,0,0,0,0
250,64,3,4,4,4,0,0,0,0,4
500,64,64,64,22,22,1,0,0,42,21
750,64,64,64,46,46,1,0,0,18,45
1000,65,65,65,61,61,6,1,1,4,55
1250,65,65,65,65,65,6,1,1,0,59
1500,70,70,70,69,69,6,6,6,1,63
1750,70,70,70,70,70,52,6,6,0,18
2000,100,71,71,71,71,69,52,52,0,2
2250,100,100,100,91,91,69,69,52,9,22
2500,100,100,100,100,100,70,69,69,0,30
2750,100,100,100,100,100,70,70,70,0,30
3000,100,100,100,100,100,90,70,70,0,10
3250,100,100,100,100,100,100,90,90,0,0
3500,100,100,100,100,100,100,100,100,0,0
