order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,2,d4e2806fe194f50327a310f4404a5ed4dde40cf34a85a31d836ae1fff640f509,5,committee0,1789808229197192000,1789808229453150000,1789808229478225000,1789808229372300000,1789808230217345000,1789808230217510000,1789808231076097000,1789808231440099000,1789808231482052000,1789808231482710000,0.034,876.868,255.958,9.133,134.152,0.556,112.117,0.022,137.769,31.801,105.925,739.076,738.87,739.12,0.992,0.04,0.785,521.048,10.376,248.384,13.622,0.638,0.809,10.16,23.759,29.005,1020.153,1878.905,1622.947,858.587,322.374,13.841,0.143,0.008,2.972,24.661,-10.725,405.955,0.658,353.277,2232.182,2285.518
2,0,dbb0ceeb2217c284d3bdf2ee28c0efaf8ecf11e09fbf846ad6ad043e1e0cf346,4,committee3,1789808229197194000,1789808229488187000,1789808229478225000,1789808229372553000,1789808229687585000,1789808229687765000,1789808230721106000,1789808231037197000,1789808231070857000,1789808231065167000,0.036,325.081,290.993,9.018,156.292,0.562,125.121,0.038,116.231,10.011,105.672,208.811,209.009,209.36,1.079,0.063,0.857,433.713,34.452,318.419,19.597,0.542,0.768,44.104,18.829,162.059,490.391,1523.912,1232.919,1033.341,262.351,2.22,0.313,0.01,6.924,44.253,-23.2,349.751,-5.69,292.891,1816.803,1867.973
3,7,d878bbeb9ec23798db53cf4c4ecf80951939fb0c995443b51f807fd981bb7c0c,4,committee3,1789808229197194000,1789808229488161000,1789808229478225000,1789808229372563000,1789808229615412000,1789808229615634000,1789808230721106000,1789808231037197000,1789808231070857000,1789808231065392000,0.036,252.72,290.967,5.292,160.206,0.229,125.24,0.036,115.833,9.835,105.662,136.85,130.103,137.187,4.809,0.089,4.533,502.168,34.452,318.419,10.238,0.572,0.889,53.312,18.829,162.059,418.218,1523.912,1232.945,1105.472,262.351,2.22,0.313,0.01,6.924,44.253,-23.388,349.751,-5.465,292.703,1816.615,1868.198
4,1,13f32041544c61bd03bd929fe90db84630694de8ef4b91a6a3bdd7767222b380,3,committee2,1789808229197195000,1789808229453143000,1789808229478225000,1789808229372277000,1789808229479113000,1789808229479402000,1789808230087123000,1789808230508257000,1789808230555032000,1789808230562445000,0.037,144.285,255.948,6.56,131.073,0.229,118.086,0.13,143.288,37.319,105.948,0.865,0.64,0.888,1.234,0.083,0.835,207.028,3.781,327.141,4.707,0.64,0.819,1.515,22.234,39.02,281.918,889.928,633.98,607.721,376.563,12.383,0.11,0.011,0.744,31.319,-4.725,467.909,7.413,416.409,1306.337,1365.25
5,9,243ec1a7a73010a7d2946deeb6187298fa0f4f0a73f5992ee978e8137d297d5c,4,committee3,1789808229197199000,1789808229488132000,1789808229478225000,1789808229372625000,1789808229719399000,1789808229719562000,1789808230721106000,1789808231037197000,1789808231070857000,1789808231141861000,0.041,356.508,290.933,8.866,156.826,0.63,124.611,0.023,115.694,9.711,105.6,240.79,240.903,241.174,1.0,0.037,0.79,401.983,34.452,318.419,22.263,0.598,0.881,41.268,18.829,162.059,522.2,1523.907,1232.974,1001.544,262.351,2.22,0.313,0.01,6.924,44.253,-23.26,349.751,71.004,292.831,1816.738,1944.662
6,8,e6ea592a6ad8b1e13111f8036b1df70fb94c7712f9aa324688c015701bdbf14a,4,committee3,1789808229197200000,1789808229488173000,1789808229478225000,1789808229372528000,1789808229893626000,1789808229893819000,1789808230721106000,1789808231037197000,1789808231070857000,1789808231065268000,0.042,538.271,290.973,6.34,151.815,0.114,132.704,0.017,122.89,17.156,105.697,415.361,415.152,415.401,1.446,0.063,1.213,227.303,34.452,318.419,48.44,0.649,0.804,15.118,18.829,162.059,696.426,1523.906,1232.933,827.287,262.351,2.22,0.313,0.01,6.924,44.253,-23.29,349.751,-5.589,292.801,1816.707,1868.068
7,11,2e00b903cf7a493505cf84daadf937863d197e67742586a9db8abf8f121a7175,4,committee3,1789808229197202000,1789808229453173000,1789808229478225000,1789808229372304000,1789808229795383000,1789808229795545000,1789808230721106000,1789808231037197000,1789808231070857000,1789808231141935000,0.044,454.855,255.971,4.015,139.311,0.458,112.187,0.023,137.73,31.753,105.921,317.101,316.924,317.158,0.98,0.044,0.778,326.012,34.452,318.419,33.547,0.551,0.702,30.211,18.829,162.059,598.181,1523.904,1267.933,925.561,262.351,2.22,0.313,0.01,6.924,44.253,-8.73,349.751,71.078,307.361,1831.265,1944.733
8,15,4141f291db80836c34feaa10bed4e84fae04de0947827a147be0cd41e424f2e2,4,committee3,1789808229197518000,1789808229488170000,1789808229533110000,1789808229478863000,1789808230021592000,1789808230021760000,1789808230721106000,1789808231037197000,1789808231070857000,1789808231141854000,0.36,658.764,290.652,6.368,158.942,0.754,124.588,0.04,170.29,115.995,54.247,488.432,488.148,488.482,4.985,0.046,4.77,95.805,34.452,318.419,61.767,0.664,0.841,1.739,18.829,162.059,824.074,1523.588,1232.936,699.346,262.351,2.22,0.313,0.01,6.924,44.253,-23.387,349.751,70.997,292.704,1816.292,1944.336
9,3,1bcd9712512dcc23fb5810f0eec385cc2eabe72504cd7a432f8e43fa5d27d739,4,committee3,1789808229197525000,1789808229488145000,1789808229478225000,1789808229372438000,1789808229622519000,1789808229622697000,1789808230721106000,1789808231037197000,1789808231070857000,1789808231141941000,0.367,275.129,290.62,2.899,146.966,3.991,136.764,0.024,131.133,25.024,105.787,143.97,143.977,144.294,0.962,0.044,0.741,498.897,34.452,318.419,11.708,0.593,0.863,51.847,18.829,162.059,424.994,1523.581,1232.961,1098.409,262.351,2.22,0.313,0.01,6.924,44.253,-23.236,349.751,71.084,292.855,1816.436,1944.416
10,4,af6eed107bf870864328467e3fad4cc058b39584b88129a3ac432e3fdd46dc83,4,committee3,1789808229197526000,1789808229453149000,1789808229478225000,1789808229372415000,1789808229774359000,1789808229774515000,1789808230721106000,1789808231037197000,1789808231070857000,1789808231142225000,0.368,433.181,255.623,1.751,141.901,3.03,108.941,0.024,137.078,31.213,105.81,296.078,295.889,296.134,0.981,0.036,0.778,347.042,34.452,318.419,30.434,0.625,0.888,33.064,18.829,162.059,576.833,1523.58,1267.957,946.591,262.351,2.22,0.313,0.01,6.924,44.253,-8.792,349.751,71.368,307.299,1830.879,1944.699
