seconds,sent,received,accepted,fast,commit,wallet,member,before_committee,committee_pending,oldest_committee_ms
0.0,0,0,0,0,0,0,0,0,0,0
0.5,10,10,9,9,1,0,0,0,9,427.267
1.0,20,19,19,19,6,1,1,1,13,614.471
1.5,30,29,29,29,14,6,6,1,15,711.99
2.0,41,39,39,38,23,18,14,2,16,790.265
2.5,51,49,49,48,29,23,23,2,20,987.062
3.0,61,59,59,58,38,38,29,2,21,1055.134
3.5,70,69,68,68,57,52,52,1,12,586.866
4.0,80,79,79,79,66,57,57,1,13,637.219
4.5,90,90,90,89,75,66,66,0,15,658.156
5.0,100,100,100,99,86,75,75,0,14,626.172
5.5,111,109,109,109,93,86,86,2,16,779.358
6.0,121,120,120,119,100,93,93,1,20,915.331
6.5,130,129,129,129,112,100,100,1,17,826.192
7.0,140,139,139,139,122,112,112,1,17,844.907
7.5,150,149,149,149,131,131,131,1,18,873.349
8.0,160,159,159,159,147,138,138,1,12,571.326
8.5,170,169,168,169,159,147,147,1,10,462.364
9.0,181,180,180,179,166,159,159,1,14,628.154
9.5,191,190,190,189,176,166,166,1,14,642.037
10.0,200,200,200,199,184,176,176,0,16,755.44
10.5,211,209,209,209,195,184,184,2,14,697.247
11.0,220,219,219,219,201,195,195,1,18,911.3
11.5,230,229,229,229,214,201,201,1,15,762.426
12.0,240,239,239,238,221,220,214,1,18,900.396
12.5,251,249,249,248,231,231,225,2,18,851.501
13.0,260,259,259,258,238,238,231,1,21,1021.277
13.5,270,269,268,268,247,247,247,1,22,1071.394
14.0,280,279,279,278,257,257,249,1,22,1075.236
14.5,290,289,289,288,270,270,270,1,19,926.501
15.0,300,299,299,299,287,279,279,1,12,592.56
15.5,311,310,310,309,294,287,287,1,16,741.484
16.0,321,319,319,319,306,294,294,2,13,611.182
16.5,330,330,330,329,312,306,306,0,18,825.505
17.0,340,339,339,339,324,312,312,1,15,751.477
17.5,351,350,350,349,332,324,324,1,18,826.428
18.0,361,359,359,359,343,332,332,2,16,719.712
18.5,370,369,368,368,359,350,350,1,10,474.08
19.0,381,379,379,379,367,359,359,2,12,573.714
19.5,391,389,389,389,379,367,367,2,10,472.612
20.0,400,399,399,399,389,379,379,1,10,483.591
20.5,400,400,400,400,400,396,396,0,0,0
21.0,400,400,400,400,400,400,400,0,0,0
