order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,34,1f5e0eb7889881b8af7f7f540e8038fc7d4eca4cda0bd498408951dd8d69ee41,3,committee1,1789808082569315000,1789808082780207000,1789808082812047000,1789808082743601000,1789808082710223000,1789808082710376000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083717097000,0.112,5.673,210.892,2.152,133.083,7.786,67.871,0.116,107.436,38.935,68.446,-101.88,-102.056,-101.824,2.531,0.033,2.336,232.551,52.127,250.722,23.178,0.64,0.835,65.096,10.257,36.989,140.908,815.793,604.901,674.732,215.412,4.639,0.234,0.005,9.592,90.06,0.165,337.001,-5.012,320.115,1135.908,1147.782
2,13,3ba3a6b3c0543b4d4676e11139c32cc792ffc3528fd697addbfe251a574413b5,3,committee1,1789808082569421000,1789808082658766000,1789808082677074000,1789808082650173000,1789808082631661000,1789808082631925000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083731930000,0.218,0.648,89.345,0.954,60.638,0.064,27.689,0.124,45.964,19.036,26.901,-45.441,-45.839,-45.413,3.389,0.143,3.085,310.253,52.127,250.722,4.191,0.949,0.75,83.859,10.257,36.989,62.24,815.687,726.342,753.183,215.412,4.639,0.234,0.005,9.592,90.06,4.217,337.001,9.821,324.167,1139.854,1162.509
3,0,e1bed4c57fd3cfedc3e4b0578dea15fd16b07e474117900c361dc5e526108a3e,3,committee1,1789808082569501000,1789808082780078000,1789808082812047000,1789808082743498000,1789808082729569000,1789808082729711000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083717104000,0.298,26.376,210.577,1.361,132.331,8.28,68.605,0.122,108.785,40.183,68.549,-82.532,-82.704,-82.478,6.549,0.026,2.211,213.341,52.127,250.722,63.354,0.576,0.814,25.005,10.257,36.989,160.068,815.607,605.03,655.397,215.412,4.639,0.234,0.005,9.592,90.06,0.264,337.001,-5.005,320.214,1135.821,1147.603
4,7,cad27cf8522d2695a230447f3340108bab6f326fc0d93b3c5c4a2ba2d4e11790,3,committee1,1789808082569511000,1789808082658781000,1789808082677074000,1789808082650160000,1789808082631029000,1789808082631392000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083733787000,0.308,0.636,89.27,1.292,59.59,0.222,28.166,0.124,46.569,19.643,26.914,-46.058,-46.486,-46.045,1.908,0.242,1.494,312.377,52.127,250.722,0.01,0.675,0.812,88.252,10.257,36.989,61.518,815.597,726.327,753.716,215.412,4.639,0.234,0.005,9.592,90.06,4.209,337.001,11.678,324.159,1139.756,1164.276
5,63,ace46c0da2f0544ac9ecd767a999fa0a34dfe206f7e8e5c0cc914ce558fff591,3,committee1,1789808082569516000,1789808082753047000,1789808082812047000,1789808082743250000,1789808082708197000,1789808082708350000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083756008000,0.313,6.704,183.531,1.37,130.607,0.151,51.403,0.126,110.448,41.631,68.797,-103.871,-104.083,-103.85,2.475,0.035,2.29,234.623,52.127,250.722,18.856,0.631,0.787,69.475,10.257,36.989,138.681,815.592,632.061,676.758,215.412,4.639,0.234,0.005,9.592,90.06,-0.799,337.001,33.899,319.151,1134.743,1186.492
6,3,75fc07de97b87f66d4aa00daa440657ca36f360a26ec9676415620b8fd2ba7a5,3,committee1,1789808082569522000,1789808082780111000,1789808082812047000,1789808082743790000,1789808082721072000,1789808082721277000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083755607000,0.319,15.918,210.589,6.566,129.066,7.088,67.869,0.296,106.614,38.34,68.257,-90.992,-91.209,-90.975,2.434,0.072,2.201,221.785,52.127,250.722,46.067,0.618,0.935,42.129,10.257,36.989,151.55,815.586,604.997,663.831,215.412,4.639,0.234,0.005,9.592,90.06,0.054,337.001,33.498,320.004,1135.59,1186.085
7,14,63603869ae1a9404c1c82be4fe160046121b02ec78be9eaf84e54a8a8258ecea,3,committee1,1789808082569542000,1789808082780130000,1789808082812047000,1789808082743526000,1789808082727628000,1789808082727783000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083732834000,0.339,24.244,210.588,1.461,132.381,9.327,67.419,0.93,107.791,39.212,68.521,-84.478,-84.641,-84.419,2.364,0.036,2.18,215.3,52.127,250.722,59.02,0.645,0.805,29.279,10.257,36.989,158.086,815.566,604.978,657.325,215.412,4.639,0.234,0.005,9.592,90.06,0.204,337.001,10.725,320.154,1135.72,1163.292
8,4,3e507bca28091f5accfc74e126ade9c300b22fced74319c1f08d772b2f5060e7,3,committee1,1789808082569562000,1789808082780093000,1789808082812047000,1789808082743724000,1789808082730254000,1789808082730410000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083717074000,0.359,25.201,210.531,5.748,129.743,7.355,67.685,0.122,106.938,38.549,68.323,-81.859,-82.019,-81.793,5.854,0.039,2.184,212.669,52.127,250.722,64.84,0.797,0.745,23.367,10.257,36.989,160.692,815.546,605.015,654.698,215.412,4.639,0.234,0.005,9.592,90.06,0.246,337.001,-5.035,320.196,1135.742,1147.512
9,6,4c813f092bcca2cfd8cbaa8cba297ddae0bca935df93a8c94e6ba03968413dcb,3,committee1,1789808082569638000,1789808082780068000,1789808082812047000,1789808082743439000,1789808082724450000,1789808082724602000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083755645000,0.435,22.13,210.43,11.687,120.995,9.167,68.581,0.109,109.66,41.01,68.608,-87.64,-87.838,-87.597,2.92,0.034,2.734,217.927,52.127,250.722,53.029,0.664,0.858,35.198,10.257,36.989,154.812,815.47,605.04,660.506,215.412,4.639,0.234,0.005,9.592,90.06,0.013,337.001,33.536,319.963,1135.433,1186.007
10,35,efa322fcda6fea070c12f4fe90515def17334423ee6b9a02362959cbc2827063,3,committee1,1789808082569638000,1789808082780242000,1789808082812047000,1789808082743489000,1789808082707556000,1789808082707713000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083711722000,0.435,5.202,210.604,3.969,128.747,10.644,67.244,0.472,109.274,40.663,68.558,-104.547,-104.723,-104.491,2.432,0.036,2.244,235.306,52.127,250.722,17.248,0.617,0.977,70.907,10.257,36.989,137.918,815.47,604.866,677.395,215.412,4.639,0.234,0.005,9.592,90.06,0.196,337.001,-10.387,320.146,1135.616,1142.084
11,52,dca6fdeacbf00d5c9f6a2f441a6aeb07fed79580bff9dcc813466e9d30718f0a,3,committee1,1789808082570003000,1789808082780060000,1789808082812047000,1789808082743243000,1789808082706823000,1789808082706983000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083755867000,0.8,5.282,210.057,5.294,126.244,0.318,78.201,0.117,110.407,41.585,68.804,-105.242,-105.453,-105.224,2.494,0.038,2.305,235.975,52.127,250.722,15.804,0.628,0.809,72.508,10.257,36.989,136.82,815.105,605.048,678.125,215.412,4.639,0.234,0.005,9.592,90.06,0.011,337.001,33.758,319.961,1135.066,1185.864
12,60,7dfc847cdc56dd03afcf5b413122a63bf1ba49c84436908dfb63c321969ac998,3,committee1,1789808082570298000,1789808082658762000,1789808082677074000,1789808082650182000,1789808082631571000,1789808082631865000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083731903000,1.095,0.504,88.464,0.534,60.235,0.131,27.564,0.118,45.895,18.997,26.892,-45.512,-45.734,-45.503,2.797,0.175,2.458,310.94,52.127,250.722,2.796,0.553,0.745,85.655,10.257,36.989,61.273,814.81,726.346,753.243,215.412,4.639,0.234,0.005,9.592,90.06,4.191,337.001,9.794,324.141,1138.951,1161.605
13,45,8171b41b79010f106826588fae1cc9d810f785df31832fde9cdd2478438e73fd,2,committee0,1789808082570299000,1789808082644170000,1789808082650147000,1789808082629591000,1789808082629644000,1789808082629894000,1789808082901074000,1789808083256087000,1789808083275149000,1789808083276206000,1.096,0.41,73.871,1.157,57.778,0.09,14.846,0.136,20.794,0.221,20.556,-20.521,-20.757,-20.503,1.689,0.126,1.251,0.071,0.851,209.056,0.006,0.661,0.798,0.018,39.501,18.966,59.345,330.775,256.904,271.18,331.327,0.653,0.119,0.009,0.176,22.72,13.902,374.075,1.057,368.915,699.69,705.907
14,2,757b61402639ebd19be66f63b60df0c87d5a69c2196e1e6e1a39f480694278f3,3,committee1,1789808082570303000,1789808082658770000,1789808082677074000,1789808082650178000,1789808082631474000,1789808082631633000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083731985000,1.1,0.437,88.467,2.117,58.617,0.067,27.666,0.123,45.935,19.018,26.896,-45.622,-45.837,-45.6,2.17,0.037,1.951,311.679,52.127,250.722,1.504,0.557,0.728,86.96,10.257,36.989,61.171,814.805,726.338,753.475,215.412,4.639,0.234,0.005,9.592,90.06,4.113,337.001,9.876,324.063,1138.868,1161.682
15,26,7b920be611dc5c351dbc70f0f16d6dc4c861e8732a158f9cf1daaaf5e53dcf72,3,committee1,1789808082570313000,1789808082780130000,1789808082812047000,1789808082743341000,1789808082743924000,1789808082744394000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083716883000,1.11,41.795,209.817,1.042,130.774,10.258,67.743,0.118,109.842,41.094,68.706,-68.166,-68.365,-68.123,2.433,0.109,1.933,198.936,52.127,250.722,77.456,0.56,0.736,10.997,10.257,36.989,173.611,814.795,604.978,640.714,215.412,4.639,0.234,0.005,9.592,90.06,0.169,337.001,-5.226,320.119,1134.914,1146.57
16,44,209cf44669407fc63de98eb65f6e43fbe9f14546b44447580a278fa8aace836f,3,committee1,1789808082570330000,1789808082780215000,1789808082812047000,1789808082743567000,1789808082711927000,1789808082712089000,1789808083385108000,1789808083705058000,1789808083722109000,1789808083755427000,1.127,8.757,209.885,1.688,131.152,8.537,68.508,0.142,108.784,40.255,68.48,-100.171,-100.515,-100.12,2.215,0.044,2.018,231.156,52.127,250.722,26.117,0.629,0.813,62.191,10.257,36.989,141.597,814.778,604.893,673.019,215.412,4.639,0.234,0.005,9.592,90.06,0.34,337.001,33.318,320.29,1135.068,1185.097
