seconds,sent,received,accepted,fast,commit,wallet,member,before_committee,committee_pending,oldest_committee_ms
0.0,0,0,0,0,0,0,0,0,0,0
0.5,10,9,9,9,1,0,0,1,8,424.237
1.0,20,20,20,19,3,1,1,0,17,806.186
1.5,30,30,30,29,11,3,3,0,19,836.428
2.0,40,39,39,39,20,20,11,1,19,951.099
2.5,50,49,49,49,38,32,32,1,11,548.031
3.0,60,59,59,58,46,38,38,1,13,651.345
3.5,70,69,69,69,56,46,46,1,13,659.778
4.0,80,78,78,78,69,56,56,2,9,490.077
4.5,90,89,89,89,75,69,69,1,14,711.476
5.0,100,99,99,99,83,75,75,1,16,791.581
5.5,111,110,110,109,95,83,83,1,15,708.348
6.0,121,120,120,119,103,95,95,1,17,753.315
6.5,130,129,129,129,112,106,103,1,17,842.371
7.0,140,139,139,138,119,119,115,1,20,1011.34
7.5,151,148,148,148,128,128,119,3,20,1057.711
8.0,160,160,158,159,148,141,141,0,12,494.894
8.5,171,169,169,168,157,148,148,2,12,600.08
9.0,181,179,179,178,166,157,157,2,13,667.144
9.5,191,189,189,189,178,166,166,2,11,523.417
10.0,201,200,200,200,185,178,178,1,15,669.139
10.5,210,209,209,209,194,185,185,1,15,746.439
11.0,221,219,219,219,205,194,194,2,14,686.414
11.5,230,230,230,229,214,205,205,0,16,737.314
12.0,241,239,239,239,220,220,218,2,19,971.133
12.5,251,249,249,248,238,229,229,2,11,545.379
13.0,261,259,259,259,249,238,238,2,10,457.216
13.5,270,270,270,269,255,249,249,0,15,686.989
14.0,281,280,280,279,264,255,255,1,16,757.345
14.5,291,290,290,289,273,264,264,1,17,800.422
15.0,300,300,300,299,285,273,273,0,15,669.609
15.5,310,309,309,309,290,287,285,1,19,951.161
16.0,321,320,320,318,299,290,290,1,21,1010.526
16.5,331,329,329,329,309,299,299,2,20,959.327
17.0,341,339,339,338,322,322,309,2,17,832.419
17.5,351,349,349,349,338,328,328,2,11,528.789
18.0,361,360,359,359,345,338,338,1,15,685.756
18.5,371,370,370,369,356,345,345,1,14,639.578
19.0,381,379,379,379,364,356,356,2,15,721.302
19.5,391,390,389,389,374,364,364,1,16,731.63
20.0,400,400,400,399,382,377,374,0,18,841.349
20.5,400,400,400,400,400,399,399,0,0,0
21.0,400,400,400,400,400,400,400,0,0,0
