fact,member_url,validation_ms,storage_queue_ms,storage_callback_ms,storage_return_ms,vote_sign_ms
213a384869456999e52fa63de653bef4fa7af3afaea75a3697e200c2b920d54f,http://127.0.0.1:28002,18.598083,22.449875,0.050042,51.477041,0.013584
213a384869456999e52fa63de653bef4fa7af3afaea75a3697e200c2b920d54f,http://127.0.0.1:28000,23.675417,35.251416,0.357959,20.707208,0.016917
213a384869456999e52fa63de653bef4fa7af3afaea75a3697e200c2b920d54f,http://127.0.0.1:28001,1.971875,27.97325,0.064125,51.992916,0.013709
df2712b5197010417edbec44fa978801321acb1e9870485c6a3b9f0a03eacfe9,http://127.0.0.1:28002,16.307625,22.400292,0.052042,51.558583,0.017417
df2712b5197010417edbec44fa978801321acb1e9870485c6a3b9f0a03eacfe9,http://127.0.0.1:28000,23.828041,34.753666,0.046334,19.681,0.013291
df2712b5197010417edbec44fa978801321acb1e9870485c6a3b9f0a03eacfe9,http://127.0.0.1:28001,1.153292,27.043292,0.04575,51.567458,0.014375
02b2f9c64b6782e51688a0c23e2c536dfff57e458ef6d6830b1d619fb91b6a75,http://127.0.0.1:28002,0.820917,21.961625,0.042625,49.822709,0.013625
02b2f9c64b6782e51688a0c23e2c536dfff57e458ef6d6830b1d619fb91b6a75,http://127.0.0.1:28000,11.799375,12.353125,0.247792,32.356541,0.028584
02b2f9c64b6782e51688a0c23e2c536dfff57e458ef6d6830b1d619fb91b6a75,http://127.0.0.1:28003,1.153708,20.828625,0.108792,64.270833,0.013375
4b64e430bf9fc7198fb3eb5ff991d3a4a40a689528eb73f577c452371d522edb,http://127.0.0.1:28002,1.694875,15.966291,0.445084,22.054208,0.01375
4b64e430bf9fc7198fb3eb5ff991d3a4a40a689528eb73f577c452371d522edb,http://127.0.0.1:28000,23.132917,35.1985,0.101792,20.61875,0.014291
4b64e430bf9fc7198fb3eb5ff991d3a4a40a689528eb73f577c452371d522edb,http://127.0.0.1:28001,11.43875,14.08875,0.045833,50.988542,0.126208
7f54226f7c77afc943a99baee467d0aa79c19af6db78a435c5e68abe0cd7f8da,http://127.0.0.1:28002,0.448167,16.417542,1.367958,20.549375,0.01525
7f54226f7c77afc943a99baee467d0aa79c19af6db78a435c5e68abe0cd7f8da,http://127.0.0.1:28000,1.31825,20.648084,0.059125,34.948458,0.06025
7f54226f7c77afc943a99baee467d0aa79c19af6db78a435c5e68abe0cd7f8da,http://127.0.0.1:28001,0.932709,27.939333,0.062292,51.87425,0.014875
31d4676f0a0971480cd8dc3f76cf4c148f78cfb5b7275830c55d019dfceb569c,http://127.0.0.1:28002,16.042708,21.557042,0.048958,51.318292,0.013667
31d4676f0a0971480cd8dc3f76cf4c148f78cfb5b7275830c55d019dfceb569c,http://127.0.0.1:28000,3.161166,20.995209,0.106208,34.518417,0.015666
31d4676f0a0971480cd8dc3f76cf4c148f78cfb5b7275830c55d019dfceb569c,http://127.0.0.1:28003,33.64475,20.769,0.095791,64.360709,0.013375
8ce16634bf3345acf9bf7e57fe495642fe4301131ca00ad33a765e94a55f4860,http://127.0.0.1:28002,18.607625,22.712667,0.082333,52.077417,0.013666
8ce16634bf3345acf9bf7e57fe495642fe4301131ca00ad33a765e94a55f4860,http://127.0.0.1:28000,25.35625,34.851625,0.043084,19.300083,0.013583
8ce16634bf3345acf9bf7e57fe495642fe4301131ca00ad33a765e94a55f4860,http://127.0.0.1:28001,16.262667,14.075375,0.045292,51.116666,0.015417
ccc2790d24c1f0d70a67c59041023cc7407c3e6bd39b42bbe825a6786702df23,http://127.0.0.1:28002,18.9725,21.513833,0.046,51.331375,0.013583
ccc2790d24c1f0d70a67c59041023cc7407c3e6bd39b42bbe825a6786702df23,http://127.0.0.1:28000,24.729292,34.856125,0.044125,19.346208,0.015042
