elapsed_ms,sent,fast,durable,submitted,received,commit,wallet_durable,members_durable,saved_not_submitted,received_not_committed
0,0,0,0,0,0,0,0,0,0,0
250,64,64,31,5,5,0,0,0,26,5
500,64,64,64,24,24,1,0,0,40,23
750,64,64,64,48,48,1,0,0,16,47
1000,65,65,65,65,65,20,1,1,0,45
1250,65,65,65,65,65,20,1,1,0,45
1500,84,84,84,73,73,48,20,20,11,25
1750,84,84,84,84,84,48,20,20,0,36
2000,100,90,85,85,85,69,48,48,0,16
2250,100,100,100,100,100,69,48,48,0,31
2500,100,100,100,100,100,84,69,69,0,16
2750,100,100,100,100,100,84,69,69,0,16
3000,100,100,100,100,100,100,84,84,0,0
3250,100,100,100,100,100,100,100,100,0,0
