order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,submit_return_to_update_return_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
1,0,213a384869456999e52fa63de653bef4fa7af3afaea75a3697e200c2b920d54f,4,committee3,1789804133919952000,1789804134139897000,1789804134145776000,1789804134647111000,1789804134647282000,1789804135348795000,1789804135794777000,1789804135804819000,1789804135809853000,0.04,219.945,2.722,132.408,0.491,84.324,0.035,90.694,11.052,79.607,501.299,501.097,501.335,1.022,37.692,0.052,0.796,248.553,21.82,220.385,34.592,0.636,0.797,4.617,33.305,136.011,727.159,1428.843,1208.898,701.513,381.441,2.148,0.157,0.015,4.73,57.481,-20.042,456.024,5.034,425.94,1854.783,1889.901
2,2,df2712b5197010417edbec44fa978801321acb1e9870485c6a3b9f0a03eacfe9,4,committee3,1789804133919956000,1789804134139924000,1789804134192854000,1789804134571401000,1789804134571605000,1789804135348795000,1789804135794777000,1789804135804819000,1789804135809421000,0.044,219.968,10.976,120.399,0.317,88.276,0.02,141.517,94.458,47.045,378.53,378.246,378.547,2.178,46.202,0.041,1.939,323.087,21.82,220.385,26.865,0.625,0.795,12.357,33.305,136.011,651.445,1428.839,1208.871,777.19,381.441,2.148,0.157,0.015,4.73,57.481,-4.324,456.024,4.602,441.658,1870.497,1889.465
3,4,02b2f9c64b6782e51688a0c23e2c536dfff57e458ef6d6830b1d619fb91b6a75,3,committee0,1789804133919956000,1789804134139961000,1789804134145776000,1789804134220092000,1789804134220266000,1789804134827850000,1789804135172829000,1789804135199807000,1789804135191031000,0.044,220.005,7.746,128.021,0.122,84.116,0.031,90.061,10.471,79.551,74.275,74.044,74.316,1.037,30.713,0.052,0.815,161.825,12.067,349.865,10.526,0.552,0.823,16.801,24.978,29.331,300.136,907.894,687.889,607.584,301.247,1.525,0.276,0.029,3.553,38.335,-7.446,371.957,-8.776,337.533,1245.427,1271.075
4,5,4b64e430bf9fc7198fb3eb5ff991d3a4a40a689528eb73f577c452371d522edb,4,committee3,1789804133919957000,1789804134090972000,1789804134145776000,1789804134526121000,1789804134526334000,1789804135348795000,1789804135794777000,1789804135804819000,1789804135809595000,0.045,171.015,2.623,116.631,0.091,51.67,0.031,106.568,26.842,79.692,380.31,380.098,380.345,1.066,43.604,0.073,0.8,369.497,21.82,220.385,18.63,0.652,1.022,20.337,33.305,136.011,606.164,1428.838,1257.823,822.461,381.441,2.148,0.157,0.015,4.73,57.481,-3.787,456.024,4.776,442.195,1871.033,1889.638
5,1,7f54226f7c77afc943a99baee467d0aa79c19af6db78a435c5e68abe0cd7f8da,4,committee3,1789804133919961000,1789804134090930000,1789804134145776000,1789804134410248000,1789804134410439000,1789804135348795000,1789804135794777000,1789804135804819000,1789804135806689000,0.049,170.969,9.466,109.395,0.162,51.946,0.027,106.971,27.192,79.735,264.425,264.161,264.472,1.556,35.083,0.061,1.313,484.879,21.82,220.385,2.784,0.574,0.794,36.49,33.305,136.011,490.287,1428.834,1257.865,938.356,381.441,2.148,0.157,0.015,4.73,57.481,-3.791,456.024,1.87,442.191,1871.025,1886.728
6,7,31d4676f0a0971480cd8dc3f76cf4c148f78cfb5b7275830c55d019dfceb569c,3,committee0,1789804133919963000,1789804134139885000,1789804134192854000,1789804134289074000,1789804134289321000,1789804134827850000,1789804135172829000,1789804135199807000,1789804135190866000,0.051,219.922,2.536,143.917,0.125,73.344,0.019,126.624,79.443,46.976,96.013,84.933,96.22,1.114,59.668,0.065,0.822,92.763,12.067,349.865,18.014,0.665,0.845,9.178,24.978,29.331,369.111,907.887,687.965,538.529,301.247,1.525,0.276,0.029,3.553,38.335,0.135,371.957,-8.941,345.114,1253.001,1270.903
7,8,8ce16634bf3345acf9bf7e57fe495642fe4301131ca00ad33a765e94a55f4860,4,committee3,1789804133919969000,1789804134139905000,1789804134192854000,1789804134571266000,1789804134571456000,1789804135348795000,1789804135794777000,1789804135804819000,1789804135809383000,0.057,219.936,5.415,140.875,0.253,73.393,0.068,126.576,79.568,46.959,378.362,378.135,378.412,1.638,46.868,0.045,1.405,323.77,21.82,220.385,25.511,0.555,0.792,13.784,33.305,136.011,651.297,1428.826,1208.89,777.339,381.441,2.148,0.157,0.015,4.73,57.481,-4.357,456.024,4.564,441.625,1870.451,1889.414
8,10,ccc2790d24c1f0d70a67c59041023cc7407c3e6bd39b42bbe825a6786702df23,4,committee3,1789804133919970000,1789804134139962000,1789804134192854000,1789804134447625000,1789804134447828000,1789804135348795000,1789804135794777000,1789804135804819000,1789804135809857000,0.058,219.992,2.625,132.285,1.007,84.075,0.673,137.333,90.262,47.039,254.737,254.377,254.771,2.052,40.189,0.056,1.815,446.988,21.82,220.385,10.346,0.682,0.863,28.751,33.305,136.011,527.655,1428.825,1208.833,900.967,381.441,2.148,0.157,0.015,4.73,57.481,0.324,456.024,5.038,446.306,1875.131,1889.887
9,3,21bfa79249725aeaf3c942bf3b256cb9eb491c199d6bad730dfb89cb576e25d8,5,committee2,1789804133919971000,1789804134139944000,1789804134145776000,1789804134686146000,1789804134686319000,1789804135858794000,1789804136328792000,1789804136349787000,1789804136350637000,0.059,219.973,1.539,133.883,0.55,84.001,0.047,90.375,10.769,79.567,540.33,540.121,540.37,1.02,57.684,0.05,0.795,694.917,15.71,376.098,0.01,0.814,0.91,28.357,32.877,21.985,766.175,1938.823,1718.85,1172.475,419.512,1.283,0.14,0.018,2.954,46.089,-13.347,490.993,0.85,456.651,2395.474,2430.666
10,9,fb5a6e9e85219a8e55a434c14ad4b0fdb107dada54af01a06d38fd16deff27c2,5,committee2,1789804133919973000,1789804134139917000,1789804134145776000,1789804134814455000,1789804134814635000,1789804135858794000,1789804136328792000,1789804136349787000,1789804136341200000,0.061,219.944,8.872,122.499,0.063,88.51,0.023,94.469,14.9,79.509,668.618,668.445,668.679,36.999,40.331,0.052,36.77,530.626,15.71,376.098,14.622,0.585,0.755,14.13,32.877,21.985,894.482,1938.821,1718.877,1044.159,419.512,1.283,0.14,0.018,2.954,46.089,-13.305,490.993,-8.587,456.693,2395.514,2421.227
