run,member_foreground,gateway_memory,trace,public_slots,count,target_tps,actual_send_tps,successful_closure_tps,elapsed_s,fast_p50_ms,fast_p95_ms,wallet_final_p50_ms,members_done_p50_ms,failed,pending_limit_hits,peak_unfinished,oldest_unfinished_ms,committee_equal,outbox_pending,successful_executions,failed_executions,export_s
base,128,False,True,4,48000,800.0,671.4885773776045,653.5184755137327,73.448573833,6.423125,190.356375,1755.047,1780.969708,0,8326,2048,17811.867,True,0,48000,0,2.292836915999999
gmem,128,True,True,4,48000,800.0,797.2621050287474,781.1798741540237,61.445515416,1.787917,22.337,1151.868584,1203.335792,0,0,1229,1600.068,True,0,48000,0,8.358298500000004
gmem1000,128,True,True,4,48000,1000.0,995.8224378407132,975.6558890542459,49.197673625,2.664583,34.324333,1213.208708,1279.401208,0,0,1639,3241.78,True,0,48000,0,1.7263504170000061
cursor,128,True,True,4,48000,1000.0,995.9021920678888,974.9947827754957,49.231032666,2.691084,33.829083,1211.421209,1285.014875,0,0,1631,3439.909,True,0,48000,0,1.9064370840000038
hold800,128,True,True,4,144000,800.0,795.8604226436177,790.4863288736061,182.166338291,1.831375,21.132166,1152.005625,1198.544208,0,0,1227,3138.582,True,0,144000,0,18.141394332999994
hold1000,128,True,True,4,180000,1000.0,991.0530373073032,982.2539601270295,183.25199725,2.65925,30.60425,1377.810583,1453.950958,0,8301,2048,3815.428,True,0,180000,0,30.374120457999993
profile,128,True,True,4,90000,1000.0,995.8084187597077,981.7769587923012,91.670515583,2.631625,32.192375,1253.000125,1328.052,0,43,1808,3572.391,True,0,90000,0,4.270581542000002
slots8,128,True,True,4,90000,1200.0,1092.1448345277222,1075.9054052895885,83.650476666,4.14275,46.826791,1451.873167,1552.750541,0,9768,2048,3786.077,True,0,90000,0,17.640347665999997
slots4b,128,True,True,4,90000,1200.0,1011.3297042150251,995.9115006501472,90.369475542,2.596834,23.655042,1655.557916,1729.274666,0,14164,2048,3896.687,True,0,90000,0,3.999228708000004
confirm1000,128,True,False,8,180000,1000.0,982.0794332628169,977.0566633755924,184.226776959,2.973334,34.610542,1201.903792,1286.049916,0,8,1680,3412.635,True,0,180000,0,27.843281624999975
final1100b,128,True,True,8,198000,1100.0,1054.832460700127,1046.000271404662,189.287713792,3.792875,48.886791,1376.920542,1482.822125,5,12783,2053,128847.019,True,0,197995,0,46.09308029099998
limit1100b,128,True,True,8,198000,1100.0,1057.689711737179,1052.4444441042551,188.1305955,3.772916,44.493084,1363.717459,1479.460916,3,11424,2051,169718.353,True,0,197997,0,18.285231250000038
fg256,256,True,True,8,198000,1100.0,1059.101143059938,1051.427271763478,188.315450167,3.77225,44.556625,1377.618959,1485.56975,0,12428,2048,3650.693,True,0,198000,0,19.43994945899999
fg256b,256,True,False,8,198000,1100.0,1063.93935433375,1056.925948398538,187.335735583,3.752334,45.009708,1352.430875,1456.428416,0,10671,2048,3785.17,True,0,198000,0,19.47823333300005
