run,source,stage,n,mean,p50,p95,p99,max,negative
base,summary.json,all_stages_ms/send_to_response,48000,35.8336721875,6.088,189.201,533.994,856.775,0
base,summary.json,all_stages_ms/wallet_verify_save,48000,0.6651677916666666,0.204,1.066,10.134,173.824,0
base,summary.json,all_stages_ms/send_to_fast,48000,36.49883997916667,6.423,190.357,534.24,857.733,0
base,summary.json,all_stages_ms/fast_to_wallet_block,48000,2546.465364333333,1725.022,6450.046,9025.853,17950.098,0
base,summary.json,all_stages_ms/send_to_wallet_block,48000,2582.9642043125,1755.056,6501.932,9110.286,17978.57,0
base,summary.json,all_stages_ms/wallet_block_to_members,48000,34.33320225,26.189,100.158,124.848,152.222,0
base,summary.json,all_stages_ms/send_to_member_completion,48000,2617.2974065625,1780.979,6534.59,9136.941,17986.997,0
base,summary.json,gateway_ms/send_to_gateway,480,20.31545,0.687,116.015,390.636,643.718,0
base,summary.json,gateway_ms/gateway_decode,480,1.1474604166666666,0.131,1.325,17.28,163.697,0
base,summary.json,gateway_ms/gateway_authorize,480,1.2778791666666667,0.091,0.838,12.915,376.681,0
base,summary.json,gateway_ms/gateway_pre_fanout,480,2.5315354166666664,0.238,4.212,32.2,377.15,0
base,summary.json,gateway_ms/fanout_to_quorum,480,10.566172916666666,2.255,44.806,76.494,470.881,0
base,summary.json,gateway_ms/quorum_to_response,480,0.3314916666666667,0.091,0.563,4.005,27.181,0
base,summary.json,gateway_ms/gateway_response_to_wallet,480,1.0233375,0.217,4.637,10.183,36.173,0
base,summary.json,selected_member_ms/dispatch_schedule,1440,0.2874173611111111,0.024,0.588,5.647,60.114,0
base,summary.json,selected_member_ms/dispatch_to_handler,1440,2.981022916666667,0.258,15.719,41.702,267.7,0
base,summary.json,selected_member_ms/member_decode,1440,0.16781180555555555,0.124,0.387,0.534,3.691,0
base,summary.json,selected_member_ms/member_validation,1440,0.28478194444444443,0.232,0.683,0.765,11.571,0
base,summary.json,selected_member_ms/validation_to_commit_request,1440,0.0034347222222222223,0.002,0.006,0.011,0.645,0
base,summary.json,selected_member_ms/member_update_queue,1440,0.37216319444444446,0.002,0.425,12.197,48.166,0
base,summary.json,selected_member_ms/member_update_callback,1440,0.07495208333333334,0.063,0.139,0.183,2.826,0
base,summary.json,selected_member_ms/member_update_finish,1440,0.08221666666666666,0.01,0.5,1.226,4.258,0
base,summary.json,selected_member_ms/member_sign,1440,0.016639583333333333,0.014,0.04,0.047,0.433,0
base,summary.json,selected_member_ms/member_sign_to_response,1440,0.00012638888888888888,0.0,0.001,0.001,0.006,0
base,summary.json,selected_member_ms/member_response_to_selected,1440,3.162725,0.436,12.244,35.847,254.047,0
base,summary.json,selected_member_ms/member_handler_total,1440,1.002126388888889,0.473,2.101,13.448,50.687,0
