run,end_s,sent_tps,observed_public_tps,unfinished,fast_p50_ms,fast_p95_ms
base,30,726.0666666666667,692.9,1437,5.493709,52.433209
base,60,647.1,650.4333333333333,1068,6.827916,258.935292
base,90,226.83333333333334,256.6666666666667,0,12.987208,493.672709
gmem,30,797.8333333333334,786.2,819,1.801291,24.187292
gmem,60,796.7,796.8666666666667,823,1.779458,20.830459
gmem,90,5.466666666666667,16.933333333333334,0,1.355583,5.777667
gmem1000,30,995.6666666666666,969.3666666666667,1384,2.689125,36.552917
gmem1000,60,604.3333333333334,630.6333333333333,0,2.629667,29.631125
cursor,30,994.9666666666667,970.4333333333333,1361,2.647375,35.139834
cursor,60,605.0333333333333,629.5666666666667,0,2.75975,31.621292
hold800,30,797.2,788.9,1191,1.807458,23.615666
hold800,60,797.3333333333334,791.8,883,1.836042,21.193542
hold800,90,795.2666666666667,800.6,1179,1.832125,20.211458
hold800,120,796.5,786.9,1019,1.83075,20.382166
hold800,150,792.8,796.0,918,1.824292,20.324833
hold800,180,796.0,801.6333333333333,746,1.862,21.027042
hold800,210,24.9,34.166666666666664,0,1.73575,10.331042
hold1000,30,996.0333333333333,972.2,1332,2.641666,32.907917
hold1000,60,996.4333333333333,999.5,1245,2.727375,31.918
hold1000,90,996.5333333333333,979.7,1761,2.632,31.060583
hold1000,120,996.4,996.6666666666666,1613,2.686667,29.021041
hold1000,150,981.9333333333333,982.7,1631,2.626625,27.004875
hold1000,180,981.8333333333334,988.3666666666667,1549,2.650333,31.274833
hold1000,210,50.833333333333336,80.86666666666666,0,2.567083,24.539667
profile,30,994.9,975.1,1178,2.624958,34.331042
profile,60,997.3,1002.0,1105,2.641041,29.544958
profile,90,995.1666666666666,976.3333333333334,1583,2.631875,32.085292
profile,120,12.633333333333333,46.56666666666667,0,2.514083,30.523292
slots8,30,1112.8333333333333,1070.0333333333333,1981,4.468416,53.206791
slots8,60,1085.9333333333334,1086.5333333333333,1991,3.9635,42.76025
slots8,90,801.2333333333333,843.4333333333333,0,4.000916,41.702666
slots4b,30,1040.8,993.0666666666667,2048,2.73,32.505375
slots4b,60,1001.2,1003.4333333333333,1940,2.5765,19.199125
slots4b,90,958.0,1003.5,713,2.492291,17.293167
slots4b,120,0.0,0.0,0,,
confirm1000,30,985.2333333333333,963.0,1260,3.02175,42.462625
confirm1000,60,983.9333333333333,980.0666666666667,1343,3.044625,33.979625
confirm1000,90,983.8666666666667,979.3666666666667,1505,2.941417,33.874583
confirm1000,120,982.1333333333333,996.2,1091,2.926667,32.551
confirm1000,150,976.1333333333333,969.8,1255,2.873541,32.172333
confirm1000,180,981.3666666666667,977.8,1434,3.04475,32.425625
confirm1000,210,107.33333333333333,133.76666666666668,0,2.985209,31.198834
final1100b,30,1071.8333333333333,1036.8,1653,4.071291,60.407292
final1100b,60,1058.7,1071.6,1370,3.826417,49.828834
final1100b,90,1054.4333333333334,1033.2333333333333,1297,3.849,52.793166
final1100b,120,1055.4,1072.8,1481,3.738708,42.822959
final1100b,150,1054.6333333333334,1051.2333333333333,1558,3.7475,40.266042
final1100b,180,1042.8666666666666,1049.2,1387,3.685625,49.93925
final1100b,210,262.1333333333333,284.96666666666664,0,3.418875,42.950042
limit1100b,30,1075.9666666666667,1038.6333333333334,1679,4.174041,53.701042
limit1100b,60,1069.4333333333334,1069.5333333333333,1818,3.860375,46.170458
limit1100b,90,1058.2666666666667,1071.9666666666667,1361,3.688792,42.88975
limit1100b,120,1053.8333333333333,1048.6666666666667,1494,3.66625,44.870625
limit1100b,150,1055.4666666666667,1050.6,1676,3.767792,40.649667
limit1100b,180,1044.1666666666667,1032.8,1993,3.6935,43.080584
limit1100b,210,242.86666666666667,287.7,0,3.268583,29.50825
fg256,30,1076.6666666666667,1049.2333333333333,1453,4.065459,50.755375
fg256,60,1063.4666666666667,1072.7,1378,3.952416,44.976167
fg256,90,1059.9,1049.9333333333334,1589,3.601208,39.34875
fg256,120,1052.2,1044.1666666666667,1791,3.610917,42.810875
fg256,150,1052.8666666666666,1058.8,1581,3.685833,43.430084
fg256,180,1052.3,1059.7666666666667,1931,3.762625,43.227667
fg256,210,242.6,265.4,0,3.748542,55.827792
fg256b,30,1078.7666666666667,1058.9,1800,3.97375,52.151125
fg256b,60,1068.2333333333333,1069.8,1165,3.868875,45.582208
fg256b,90,1070.3,1053.1666666666667,1769,3.758458,41.582417
fg256b,120,1059.2,1047.4333333333334,1416,3.627083,39.947708
fg256b,150,1065.3,1082.9333333333334,1677,3.775333,44.68175
fg256b,180,1047.3666666666666,1055.4,1239,3.655958,47.55475
fg256b,210,210.83333333333334,232.36666666666667,0,3.355292,38.671375
