height,payments,proposer,prepare_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,prepare_to_finalize_ms,commit_offset_ms
2,1,committee1,0.813,0.671,1.818,0.836,0.941,14.893,202.751,428.097
3,2,committee3,1.541,1.272,2.856,1.302,1.517,34.953,147.557,713.174
5,1,committee0,0.68,0.644,1.568,0.681,0.861,14.965,266.445,1497.16
6,7,committee1,5.225,4.407,9.036,3.9560000000000004,4.963,31.996,251.649,1875.147
7,8,committee3,6.095,5.056,12.122,5.1290000000000004,6.861,51.96,257.098,2277.214
8,8,committee2,5.559,5.035,13.177,5.986,6.851,28.938,318.522,2699.126
9,13,committee0,8.355,8.448,18.179,7.888,10.103,30.982,335.593,3165.172
10,7,committee1,4.838,4.587,10.595,4.876,5.604,22.008,251.164,3490.203
11,8,committee3,6.495,5.042,11.834,5.024,6.677,36.073,215.278,3864.235
12,8,committee2,5.758,5.103,11.041,4.752,6.133,27.048,354.032,4340.236
13,12,committee0,7.87,7.782,17.287,7.385,9.591,25.97,253.094,4705.182
14,8,committee1,6.123,5.133,12.653,5.215,7.306,29.985,240.246,5079.13
15,12,committee3,8.964,7.544,17.41,7.7090000000000005,9.49,45.0,180.834,5453.144
16,5,committee2,3.886,3.158,7.775,3.2760000000000002,4.382,20.96,127.966,5657.138
