elapsed_ms,sent,fast,received,commit,wallet_durable,members_durable,sent_not_received,received_not_committed
0,0,0,0,0,0,0,0,0
250,64,64,3,0,0,0,61,3
500,64,64,3,1,0,0,61,2
750,65,64,3,3,1,1,62,0
1000,67,64,3,3,3,3,64,0
1250,67,67,7,3,3,3,60,4
1500,67,67,11,4,3,3,56,7
1750,67,67,19,4,3,3,48,15
2000,68,68,24,11,4,4,44,13
2250,73,68,31,11,11,11,42,20
2500,75,75,35,19,11,11,40,16
2750,83,76,43,27,19,19,40,16
3000,83,83,47,27,19,19,36,20
3250,91,91,51,40,27,27,40,11
3500,99,91,55,47,40,40,44,8
3750,100,100,59,47,40,40,41,12
4000,100,100,67,55,47,47,33,12
4250,100,100,72,55,47,47,28,17
4500,100,100,79,63,55,55,21,16
4750,100,100,87,75,63,63,13,12
5000,100,100,95,75,63,63,5,20
5250,100,100,100,83,75,75,0,17
5500,100,100,100,95,83,83,0,5
5750,100,100,100,100,95,95,0,0
6000,100,100,100,100,100,100,0,0
