order,index,height,fact,proposer,first_submitter,sent_ns,fast_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,send_offset_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,gateway_persist_ms,gateway_queue_ms,install_fanout_ms,response_to_committee_ms,fast_to_committee_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_observe_lag_ms,member_apply_from_commit_ms,block_observed_ms,members_observed_ms
1,4,6,febb72af6ded5524f9460bf53d0f1083d3bc7610531c09277707d27c683057b5,committee1,gateway0,1789784311699937000,1789784311924806000,1789784313073666000,1789784313574757000,1789784313911772000,1789784313907820000,0.327,224.870833,6.745,122.356,0.147,95.621,756.594,428.055,55.921,1244.628,1148.86,0.056,0.772,129.521,5.225,251.649,5.192,0.548,0.689,2.605,72.893,31.996,1874.82,283.442,1.157,0.368,0.017,5.255,46.751,0.259,5.671,333.063,2212.105166,2213.56525
2,2,7,137f2b90e9ac23d1630a951bd7da03b4a23211d4bf9bb70d52a0079ef99e004a,committee3,gateway0,1789784311699944000,1789784311924593000,1789784313271049000,1789784313976824000,1789784314341160000,1789784314340812000,0.334,224.649792,13.098,92.831,7.591,111.129,522.925,887.959,53.857,1465.176,1346.456,0.061,2.097,334.784,6.095,257.098,5.131,0.552,0.713,5.724,41.62,51.96,2276.88,324.17,1.01,0.306,0.011,3.746,35.076,8.5,39.531,363.988,2649.728459,2680.411792
3,6,7,1929624d4076ca7820897f95ea4288bf1ec2cbe1b431e31a49d47bbcfc9ea653,committee3,gateway0,1789784311699945000,1789784311924505000,1789784313402012000,1789784313976824000,1789784314341160000,1789784314340812000,0.335,224.560542,6.765,113.684,8.626,95.485,896.872,637.138,38.597,1581.618,1477.507,0.043,0.811,205.107,6.095,257.098,6.402,0.551,0.719,4.448,41.62,51.96,2276.879,324.17,1.01,0.306,0.011,3.746,35.076,8.458,39.276,363.988,2649.685917,2680.1555
4,3,12,c2975ea11c696d5d4dde3359787b19668e8694e07c968c0a48205f17babae70c,committee2,gateway0,1789784311699950000,1789784311924790000,1789784315289109000,1789784316039846000,1789784316345762000,1789784316348718000,0.34,224.841292,7.149,98.775,7.569,111.347,510.895,2899.008,72.797,3483.235,3364.319,0.138,0.812,324.093,5.758,354.032,0.008,0.662,0.769,9.599,27.955,27.048,4339.896,267.244,1.299,0.278,0.012,4.36,32.718,4.044,11.051,308.872,4649.878542,4659.84175
5,7,7,0b47729f34ee2523cd13dbed384a8c23bc7a302604c729568e8de69cb44be392,committee3,gateway0,1789784311699950000,1789784311924881000,1789784313271021000,1789784313976824000,1789784314341160000,1789784314340812000,0.34,224.932917,13.836,115.679,1.13,94.286,912.266,475.015,53.845,1441.556,1346.14,0.059,0.785,336.124,6.095,257.098,2.281,0.725,0.81,8.304,41.62,51.96,2276.874,324.17,1.01,0.306,0.011,3.746,35.076,8.918,39.549,363.988,2650.140709,2680.423542
6,8,6,f11b20cce4cec8c26fdb8c4a77835a29b4a09b463285d09564534e92246fd3c7,committee1,org0-member3,1789784311699962000,1789784311924980000,1789784312896323000,1789784313574757000,1789784313911772000,1789784313907820000,0.352,225.019333,12.818,116.485,1.336,94.379,848.457,179.069,62.742,1067.058,971.343,0.08,1.465,306.171,5.225,251.649,1.386,0.55,0.707,6.391,72.893,31.996,1874.795,283.442,1.157,0.368,0.017,5.255,46.751,0.361,5.765,333.063,2212.181958,2213.633541
7,9,11,a55f4bfa5b6111164d0de6a4192f187bc97170d4fc76dc35b573691a1e27d0e1,committee3,org0-member3,1789784311699970000,1789784311923868000,1789784315095574000,1789784315563845000,1789784315987753000,1789784315987799000,0.36,223.899334,6.826,98.682,6.278,112.112,337.333,2897.077,68.873,3290.096,3171.706,0.043,2.18,149.227,6.495,215.278,10.268,0.65,0.856,0.057,47.186,36.073,3863.875,375.412,1.283,0.277,0.013,4.196,42.721,-13.729,0.236,423.954,4274.075084,4288.085542
8,10,3,d5c009e497a648428f51fb83142d454227d32bacc17e9b47bfe94b7d82dd3f5a,committee3,org0-member0,1789784311699970000,1789784311770759000,1789784311873919000,1789784312412784000,1789784312623882000,1789784312673768000,0.36,70.789417,3.253,46.215,0.193,21.128,17.274,50.019,62.82,124.481,103.16,0.273,2.073,320.89,1.541,147.557,1.547,0.56,0.726,0.022,28.995,34.953,712.814,187.535,0.548,0.259,0.011,1.311,21.431,-2.465,2.604,260.984,921.451167,976.406209
9,11,13,cdae178e11b4e631792b15bf32f3706edea223067c75406acdc5fb19daf6d1fd,committee0,gateway0,1789784311699978000,1789784311924485000,1789784315686037000,1789784316404792000,1789784316741819000,1789784316769822000,0.368,224.508583,7.962,112.426,0.087,104.032,879.435,2939.012,46.766,3865.671,3761.552,0.075,1.469,376.356,7.87,253.094,2.862,0.626,0.8,12.997,36.711,25.97,4704.814,295.42,1.141,0.274,0.012,6.3,33.876,7.668,-13.529,365.03,5049.533541,5056.339416
10,13,8,3ed87f852ecfb2e034fbae5436825d15d1ff19fd40d15a6642b364eea4718833,committee2,gateway0,1789784311699985000,1789784311924082000,1789784313689053000,1789784314398736000,1789784314776822000,1789784314800872000,0.375,224.097875,14.663,90.889,6.631,111.914,360.218,1481.005,41.856,1883.516,1764.971,0.06,0.81,284.768,5.559,318.522,6.541,1.368,0.996,4.269,57.91,28.938,2698.751,342.525,1.664,0.275,0.013,4.532,29.068,-2.481,-19.992,402.136,3074.371291,3080.909458
