Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,223,223,277
2,1000,1000,723,723,277
3,1500,1500,1214,1214,286
4,2000,2000,1706,1706,294
5,2500,2500,2208,2208,292
6,3000,3000,2704,2704,296
7,3500,3500,3204,3204,296
8,3999,3999,3714,3714,285
9,4499,4499,4203,4203,296
10,4999,4999,4703,4703,296
11,5499,5499,5201,5201,298
12,5999,5999,5700,5700,299
13,6499,6499,6185,6185,314
14,6998,6998,6681,6681,317
15,7498,7498,7185,7185,313
16,7998,7998,7695,7695,303
17,8498,8498,8199,8199,299
18,8998,8998,8710,8710,288
19,9498,9498,9209,9209,289
20,9998,9998,9709,9709,289
21,10498,10498,10218,10218,280
22,10998,10998,10725,10725,273
23,11498,11498,11217,11217,281
24,11997,11997,11718,11718,279
25,12495,12495,12213,12213,282
26,12993,12993,12711,12711,282
27,13492,13492,13198,13198,294
28,13992,13992,13709,13709,283
29,14492,14492,14200,14200,292
30,14992,14992,14709,14709,283
31,15492,15492,15212,15212,280
32,15992,15992,15709,15709,283
33,16492,16492,16205,16205,287
34,16992,16991,16710,16710,282
35,17491,17491,17206,17206,285
36,17991,17990,17717,17717,274
37,18491,18490,18226,18226,265
38,18990,18990,18719,18719,271
39,19490,19490,19213,19213,277
40,19988,19988,19719,19719,269
41,20486,20485,20206,20206,280
42,20986,20985,20707,20707,279
43,21486,21485,21206,21206,280
44,21985,21985,21708,21708,277
45,22483,22483,22208,22208,275
46,22983,22983,22705,22705,278
47,23483,23483,23195,23195,288
48,23983,23982,23704,23704,279
49,24483,24482,24193,24193,290
50,24982,24981,24692,24692,290
51,25480,25479,25195,25195,285
52,25979,25978,25689,25689,290
53,26479,26478,26191,26191,288
54,26979,26978,26685,26685,294
55,27479,27478,27181,27181,298
56,27979,27978,27689,27689,290
57,28479,28478,28180,28180,299
58,28979,28978,28673,28673,306
59,29478,29477,29167,29167,311
60,29978,29977,29675,29675,303
61,30963,30961,30373,30373,590
62,31936,31935,31375,31375,561
63,32910,32908,32369,32369,541
64,33902,33900,33328,33276,626
65,34870,34862,34334,34002,868
66,35859,35858,35320,35116,743
67,36842,36841,36311,36260,582
68,37819,37802,36968,36968,851
69,38803,38786,37985,37985,818
70,39785,39757,39304,38980,805
71,40760,40736,40275,39950,810
72,41736,41714,41251,40924,812
73,42702,42694,41903,41903,799
74,43687,43682,42892,42892,795
75,44667,44665,43881,43881,786
76,45167,45166,44941,44771,396
77,45665,45665,45427,45264,401
78,46165,46165,45924,45754,411
79,46665,46661,46429,46261,404
80,47165,47165,46935,46768,397
81,47665,47665,47419,47419,246
82,48164,48164,47915,47915,249
83,48663,48663,48406,48406,257
84,49163,49163,48894,48894,269
85,49662,49662,49395,49237,425
86,50161,50161,49903,49852,309
87,50660,50660,50394,50394,266
88,51159,51159,50880,50880,279
89,51659,51659,51366,51366,293
90,52159,52159,51853,51853,306
91,52656,52656,52352,52352,304
92,53156,53156,52856,52856,300
93,53655,53655,53360,53360,295
94,54155,54155,53853,53853,302
95,54655,54655,54358,54358,297
96,55155,55155,54850,54850,305
97,55655,55655,55342,55342,313
98,56155,56155,55834,55834,321
99,56655,56655,56337,56337,318
100,57155,57155,56839,56839,316
101,57655,57655,57337,57337,318
102,58153,58153,57832,57832,321
103,58653,58653,58338,58338,315
104,59153,59153,58841,58841,312
105,59653,59653,59336,59336,317
106,60152,60152,59841,59841,311
107,60650,60650,60351,60351,299
108,61150,61150,60840,60840,310
109,61650,61650,61347,61347,303
110,62149,62149,61846,61846,303
111,62649,62649,62370,62370,279
112,63149,63149,62880,62880,269
113,63648,63648,63389,63389,259
114,64148,64148,63886,63886,262
115,64645,64645,64390,64390,255
116,65144,65144,64878,64878,266
117,65644,65644,65385,65385,259
118,66144,66144,65880,65880,264
119,66642,66642,66371,66371,271
120,67140,67140,66873,66873,267
121,67640,67640,67380,67380,260
122,68140,68140,67881,67881,259
123,68640,68640,68380,68380,260
124,69140,69140,68865,68865,275
125,69640,69640,69364,69364,276
126,70140,70140,69862,69862,278
127,70639,70639,70369,70369,270
128,71137,71137,70859,70859,278
129,71635,71635,71358,71358,277
130,72135,72135,71860,71860,275
131,72634,72634,72375,72375,259
132,73133,73133,72879,72879,254
133,73632,73632,73372,73308,324
134,74132,74132,73872,73872,260
135,74632,74632,74366,74366,266
136,75132,75132,74864,74864,268
137,75630,75630,75369,75369,261
138,76130,76130,75864,75864,266
139,76626,76626,76368,76368,258
140,77126,77126,76859,76859,267
141,77626,77626,77378,77378,248
142,78126,78126,77868,77868,258
143,78625,78625,78354,78354,271
144,79125,79125,78848,78848,277
145,79621,79621,79332,79332,289
146,80119,80119,79831,79831,288
147,80619,80619,80340,80340,279
148,81119,81119,80832,80832,287
149,81616,81616,81330,81330,286
150,82116,82116,81829,81829,287
151,82616,82616,82329,82329,287
152,83116,83116,82822,82822,294
153,83616,83616,83329,83329,287
154,84113,84113,83833,83833,280
155,84613,84613,84313,84313,300
156,85113,85113,84813,84813,300
157,85613,85613,85316,85316,297
158,86113,86113,85812,85812,301
159,86612,86612,86321,86321,291
160,87107,87106,86819,86819,288
161,87607,87606,87313,87313,294
162,88106,88106,87813,87813,293
163,88607,88606,88304,88304,303
164,89107,89106,88804,88803,304
165,89607,89606,89301,89300,307
166,90106,90106,89801,89801,305
167,90604,90604,90302,90302,302
168,91105,91104,90797,90797,308
169,91605,91604,91298,91298,307
170,92105,92104,91800,91800,305
171,92604,92603,92333,92333,271
172,93101,93100,92830,92830,271
173,93601,93600,93327,93327,274
174,94100,94099,93827,93827,273
175,94600,94599,94323,94323,277
176,95100,95099,94816,94816,284
177,95597,95596,95317,95317,280
178,96097,96096,95813,95813,284
179,96596,96595,96300,96300,296
180,97094,97093,96806,96806,288
181,97594,97593,97298,97298,296
182,98094,98093,97800,97799,295
183,98594,98593,98297,98296,298
184,99092,99091,98795,98795,297
185,99591,99590,99287,99287,304
186,100091,100090,99787,99787,304
187,100590,100589,100288,100288,302
188,101090,101089,100775,100775,315
189,101590,101589,101272,101272,318
190,102090,102089,101764,101764,326
191,102590,102589,102266,102266,324
192,103089,103088,102761,102761,328
193,103588,103587,103252,103252,336
194,104088,104087,103742,103742,346
195,104587,104587,104246,104246,341
196,104587,104587,104587,104587,0
