Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,186,186,314
2,1000,1000,681,681,319
3,1500,1500,1171,1171,329
4,2000,2000,1672,1672,328
5,2500,2496,2157,2157,343
6,3000,2998,2646,2646,354
7,3500,3500,3149,3149,351
8,4000,4000,3639,3639,361
9,4500,4500,4137,4137,363
10,5000,5000,4641,4641,359
11,5500,5500,5129,5129,371
12,6000,5997,5612,5612,388
13,6500,6496,6105,6105,395
14,7000,7000,6606,6606,394
15,7500,7497,7109,7109,391
16,8000,7997,7769,7602,398
17,8500,8500,8272,8102,398
18,9000,8999,8766,8599,401
19,9499,9499,9257,9092,407
20,9999,9999,9754,9754,245
21,10499,10499,10261,10085,414
22,10999,10999,10767,10595,404
23,11499,11499,11267,11267,232
24,11999,11999,11755,11755,244
25,12499,12499,12258,12086,413
26,12998,12998,12759,12759,239
27,13498,13498,13245,13245,253
28,13998,13998,13742,13742,256
29,14498,14498,14225,14225,273
30,14998,14997,14717,14717,281
31,14998,14998,14998,14998,0
