Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,497,161,161,339
2,1000,1000,643,643,357
3,1500,1500,1135,1135,365
4,2000,2000,1781,1620,380
5,2500,2500,2265,2149,351
6,3000,3000,2756,2756,244
7,3500,3500,3251,3084,416
8,4000,4000,3750,3750,250
9,4500,4500,4246,4246,254
10,5000,5000,4745,4745,255
11,5500,5500,5238,5238,262
12,6000,6000,5731,5731,269
13,6500,6500,6229,6229,271
14,7000,7000,6720,6720,280
15,7500,7500,7215,7215,285
16,8000,8000,7718,7718,282
17,8500,8500,8205,8205,295
18,8999,8999,8703,8703,296
19,9499,9499,9198,9198,301
20,9999,9999,9688,9688,311
21,10499,10499,10175,10175,324
22,10999,10999,10668,10668,331
23,11499,11499,11171,11171,328
24,11999,11999,11661,11661,338
25,12499,12499,12151,12151,348
26,12999,12992,12643,12643,356
27,13499,13499,13150,13150,349
28,13999,13999,13635,13635,364
29,14499,14499,14125,14125,374
30,14999,14994,14778,14618,381
31,14999,14999,14999,14999,0
